number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
0,0.9347481389709953,2025-04-24 21:00:37.487790,2025-04-24 21:00:38.093810,0 days 00:00:00.606020,friedman_mse,12,sqrt,9,14,random,RandomSampler,COMPLETE
1,0.8913351576037826,2025-04-24 21:00:37.504142,2025-04-24 21:00:38.099213,0 days 00:00:00.595071,friedman_mse,21,sqrt,3,15,best,RandomSampler,COMPLETE
2,0.9494322793442198,2025-04-24 21:00:37.600347,2025-04-24 21:00:38.266875,0 days 00:00:00.666528,friedman_mse,20,log2,10,12,random,RandomSampler,COMPLETE
3,0.9494322793442198,2025-04-24 21:00:38.329616,2025-04-24 21:00:39.143659,0 days 00:00:00.814043,friedman_mse,1,log2,8,7,best,TPESampler,COMPLETE
4,0.922426147955362,2025-04-24 21:00:38.395862,2025-04-24 21:00:39.046196,0 days 00:00:00.650334,friedman_mse,15,log2,4,7,random,TPESampler,COMPLETE
5,1.028030364428894,2025-04-24 21:00:38.698213,2025-04-24 21:00:39.361399,0 days 00:00:00.663186,absolute_error,21,sqrt,5,10,best,TPESampler,COMPLETE
6,0.9524425849299664,2025-04-24 21:00:39.314250,2025-04-24 21:00:40.075076,0 days 00:00:00.760826,squared_error,1,sqrt,2,16,best,TPESampler,COMPLETE
7,1.028030364428894,2025-04-24 21:00:39.391770,2025-04-24 21:00:40.167475,0 days 00:00:00.775705,absolute_error,26,sqrt,6,13,best,TPESampler,COMPLETE
8,0.7194883123745602,2025-04-24 21:00:39.683091,2025-04-24 21:00:40.373073,0 days 00:00:00.689982,absolute_error,32,sqrt,2,5,best,TPESampler,COMPLETE
9,0.922426147955362,2025-04-24 21:00:40.320047,2025-04-24 21:00:41.148660,0 days 00:00:00.828613,friedman_mse,26,log2,3,2,random,TPESampler,COMPLETE
10,0.922426147955362,2025-04-24 21:00:40.396591,2025-04-24 21:00:41.228329,0 days 00:00:00.831738,squared_error,27,log2,5,4,random,TPESampler,COMPLETE
11,0.894550859606008,2025-04-24 21:00:40.582231,2025-04-24 21:00:41.362811,0 days 00:00:00.780580,squared_error,28,sqrt,7,6,best,TPESampler,COMPLETE
12,0.7766630874097967,2025-04-24 21:00:41.370464,2025-04-24 21:00:42.070907,0 days 00:00:00.700443,absolute_error,30,sqrt,3,2,best,TPESampler,COMPLETE
13,0.6408021405408113,2025-04-24 21:00:41.433838,2025-04-24 21:00:42.381087,0 days 00:00:00.947249,friedman_mse,25,sqrt,2,17,best,TPESampler,COMPLETE
14,0.7712088672102367,2025-04-24 21:00:41.583695,2025-04-24 21:00:42.555185,0 days 00:00:00.971490,absolute_error,34,sqrt,4,5,best,TPESampler,COMPLETE
15,0.9245771875115085,2025-04-24 21:00:42.417956,2025-04-24 21:00:43.160318,0 days 00:00:00.742362,friedman_mse,33,sqrt,3,15,random,TPESampler,COMPLETE
16,0.8898655866291454,2025-04-24 21:00:42.682196,2025-04-24 21:00:43.600447,0 days 00:00:00.918251,absolute_error,29,sqrt,1,14,best,TPESampler,COMPLETE
17,0.6806094890723541,2025-04-24 21:00:42.813552,2025-04-24 21:00:43.795708,0 days 00:00:00.982156,friedman_mse,27,log2,1,12,best,TPESampler,COMPLETE
18,0.7975493713728398,2025-04-24 21:00:43.475044,2025-04-24 21:00:44.347883,0 days 00:00:00.872839,friedman_mse,24,log2,2,11,best,TPESampler,COMPLETE
19,0.7975493713728398,2025-04-24 21:00:43.937171,2025-04-24 21:00:44.606314,0 days 00:00:00.669143,friedman_mse,35,log2,3,17,best,TPESampler,COMPLETE
20,0.922426147955362,2025-04-24 21:00:44.193060,2025-04-24 21:00:44.972404,0 days 00:00:00.779344,friedman_mse,18,log2,2,17,random,TPESampler,COMPLETE
