number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
0,0.5148211250847317,2025-04-24 21:35:23.462082,2025-04-24 21:35:24.514365,0 days 00:00:01.052283,0.05621511040717092,5,log2,2,2,287,0.6741090557544546,RandomSampler,COMPLETE
1,0.597576043954002,2025-04-24 21:35:23.474859,2025-04-24 21:35:25.146017,0 days 00:00:01.671158,0.013515114407117872,4,,9,16,498,0.8593351600845422,RandomSampler,COMPLETE
2,0.6056799933470818,2025-04-24 21:35:23.550058,2025-04-24 21:35:24.642687,0 days 00:00:01.092629,0.05027879133857618,3,,9,20,306,0.824970922655109,RandomSampler,COMPLETE
3,0.537332188399629,2025-04-24 21:35:24.689501,2025-04-24 21:35:26.060466,0 days 00:00:01.370965,0.020079417509736432,5,log2,2,20,663,0.8342094462586056,TPESampler,COMPLETE
4,0.3482971290027229,2025-04-24 21:35:24.897437,2025-04-24 21:35:26.363048,0 days 00:00:01.465611,0.037399273729280424,7,sqrt,1,20,493,0.6763022755583494,TPESampler,COMPLETE
5,0.7379773446738715,2025-04-24 21:35:25.364461,2025-04-24 21:35:26.196386,0 days 00:00:00.831925,0.012320978325719045,8,sqrt,4,4,163,0.7326978893137135,TPESampler,COMPLETE
6,0.30147318288501274,2025-04-24 21:35:26.247950,2025-04-24 21:35:27.809292,0 days 00:00:01.561342,0.03633472807271973,7,,1,4,413,0.618525329945269,TPESampler,COMPLETE
7,0.6600263410894074,2025-04-24 21:35:26.484561,2025-04-24 21:35:28.688133,0 days 00:00:02.203572,0.015407624872516696,5,sqrt,10,8,1082,0.6975187635349815,TPESampler,COMPLETE
8,0.3731402060354847,2025-04-24 21:35:26.566620,2025-04-24 21:35:29.188979,0 days 00:00:02.622359,0.04752893126029572,11,sqrt,4,19,1172,0.8005581526000674,TPESampler,COMPLETE
9,0.3466847543748029,2025-04-24 21:35:28.025872,2025-04-24 21:35:29.583630,0 days 00:00:01.557758,0.059063984557503266,12,sqrt,2,18,615,0.9400547147467336,TPESampler,COMPLETE
10,0.44058255634482096,2025-04-24 21:35:28.881611,2025-04-24 21:35:30.722079,0 days 00:00:01.840468,0.013627100426939412,4,sqrt,3,4,861,0.7894700108818995,TPESampler,COMPLETE
11,0.7065530036870162,2025-04-24 21:35:29.410262,2025-04-24 21:35:30.822399,0 days 00:00:01.412137,0.055858202298530675,10,log2,9,4,717,0.8802018078712355,TPESampler,COMPLETE
12,0.3745526471885229,2025-04-24 21:35:29.761238,2025-04-24 21:35:33.160804,0 days 00:00:03.399566,0.09362354304498939,9,,3,6,1019,0.7453367564775115,TPESampler,COMPLETE
13,0.3386058361323782,2025-04-24 21:35:30.880530,2025-04-24 21:35:32.604896,0 days 00:00:01.724366,0.031089093881854712,9,sqrt,1,15,770,0.9660844762445793,TPESampler,COMPLETE
14,0.39056406597657267,2025-04-24 21:35:31.118188,2025-04-24 21:35:32.058427,0 days 00:00:00.940239,0.0791015215046543,12,sqrt,2,13,133,0.911712254526071,TPESampler,COMPLETE
15,0.3108347809326442,2025-04-24 21:35:32.246969,2025-04-24 21:35:33.877889,0 days 00:00:01.630920,0.02768506777393917,8,,1,5,381,0.6120820854869344,TPESampler,COMPLETE
16,0.3356116133264608,2025-04-24 21:35:32.881817,2025-04-24 21:35:35.363089,0 days 00:00:02.481272,0.027120540360502175,8,sqrt,1,16,1421,0.9897329483906092,TPESampler,COMPLETE
17,0.37547109677203,2025-04-24 21:35:33.348651,2025-04-24 21:35:35.227589,0 days 00:00:01.878938,0.02407030094000927,9,sqrt,3,11,548,0.9336211772316835,TPESampler,COMPLETE
18,0.31830810706710355,2025-04-24 21:35:34.072169,2025-04-24 21:35:35.314802,0 days 00:00:01.242633,0.02898304607343533,9,,1,6,253,0.6515862408483916,TPESampler,COMPLETE
19,0.3274508313990407,2025-04-24 21:35:35.449903,2025-04-24 21:35:38.203062,0 days 00:00:02.753159,0.025412478465117523,7,,3,2,817,0.6521659649661175,TPESampler,COMPLETE
20,0.3537318956854278,2025-04-24 21:35:35.460514,2025-04-24 21:35:37.103541,0 days 00:00:01.643027,0.018645965989977482,6,,1,14,324,0.7071777230280782,TPESampler,COMPLETE
21,0.3296441960870891,2025-04-24 21:35:35.524078,2025-04-24 21:35:37.966919,0 days 00:00:02.442841,0.03250914335704977,6,,3,11,715,0.6417534794291825,TPESampler,COMPLETE
22,0.4924915842857428,2025-04-24 21:35:37.279358,2025-04-24 21:35:38.673226,0 days 00:00:01.393868,0.017043749620619116,12,log2,2,4,760,0.6952546572724646,TPESampler,COMPLETE
23,0.3278726290057013,2025-04-24 21:35:38.157624,2025-04-24 21:35:39.455953,0 days 00:00:01.298329,0.04945775271859119,11,,2,8,280,0.6433594844903573,TPESampler,COMPLETE
24,0.3164818560429605,2025-04-24 21:35:38.474033,2025-04-24 21:35:39.890942,0 days 00:00:01.416909,0.029362207935014352,9,,1,2,294,0.6436835402495686,TPESampler,COMPLETE
25,0.37108225804335354,2025-04-24 21:35:38.889808,2025-04-24 21:35:39.893155,0 days 00:00:01.003347,0.026671303179172247,5,,3,5,246,0.6686021884189637,TPESampler,COMPLETE
26,0.47622179116934,2025-04-24 21:35:39.628154,2025-04-24 21:35:40.667747,0 days 00:00:01.039593,0.03153101729845894,8,sqrt,2,2,134,0.6308188184536767,TPESampler,COMPLETE
27,0.3343654768418553,2025-04-24 21:35:40.070722,2025-04-24 21:35:42.197898,0 days 00:00:02.127176,0.05889915501769746,7,,2,4,564,0.6298412582332665,TPESampler,COMPLETE
28,0.3263637545610543,2025-04-24 21:35:40.116816,2025-04-24 21:35:41.686055,0 days 00:00:01.569239,0.06410842885697504,8,,3,3,372,0.6074735497448052,TPESampler,COMPLETE
29,0.45674248654840727,2025-04-24 21:35:40.849007,2025-04-24 21:35:41.846842,0 days 00:00:00.997835,0.024588252090187997,8,log2,1,3,278,0.7636973620063536,TPESampler,COMPLETE
30,0.40054005694479894,2025-04-24 21:35:41.865966,2025-04-24 21:35:43.063393,0 days 00:00:01.197427,0.02833515596006432,9,log2,1,10,455,0.6147438299284772,TPESampler,COMPLETE
31,0.4270453874598602,2025-04-24 21:35:42.069776,2025-04-24 21:35:43.098105,0 days 00:00:01.028329,0.018933971226784287,6,,1,4,108,0.6160543382933575,TPESampler,COMPLETE
32,0.35414960659267497,2025-04-24 21:35:42.404763,2025-04-24 21:35:43.876621,0 days 00:00:01.471858,0.03786177705817233,8,,2,2,307,0.7845262213425053,TPESampler,COMPLETE
33,0.3085491905466674,2025-04-24 21:35:43.195175,2025-04-24 21:35:45.173495,0 days 00:00:01.978320,0.029018531112347166,9,,1,6,530,0.6995112519801217,TPESampler,COMPLETE
34,0.3102382063504603,2025-04-24 21:35:43.249622,2025-04-24 21:35:45.231351,0 days 00:00:01.981729,0.016265589939994548,12,,1,6,461,0.6554119412723634,TPESampler,COMPLETE
35,0.341961079454192,2025-04-24 21:35:44.048950,2025-04-24 21:35:45.269453,0 days 00:00:01.220503,0.053994900830055315,6,sqrt,1,7,534,0.6671318673786542,TPESampler,COMPLETE
36,0.3205799136114089,2025-04-24 21:35:45.337188,2025-04-24 21:35:48.303734,0 days 00:00:02.966546,0.011039721572942387,12,,3,10,879,0.6524182804192393,TPESampler,COMPLETE
37,0.40412992442004164,2025-04-24 21:35:45.361606,2025-04-24 21:35:46.968222,0 days 00:00:01.606616,0.010057827796017629,12,,2,4,211,0.6828901369751786,TPESampler,COMPLETE
38,0.3138586114404659,2025-04-24 21:35:45.428795,2025-04-24 21:35:47.984150,0 days 00:00:02.555355,0.011591440766049892,9,,1,10,772,0.6345467731870337,TPESampler,COMPLETE
39,0.38288466782411446,2025-04-24 21:35:47.153846,2025-04-24 21:35:48.055587,0 days 00:00:00.901741,0.02092952062773717,11,,3,9,157,0.780762433762755,TPESampler,COMPLETE
40,0.34968528139183913,2025-04-24 21:35:48.120800,2025-04-24 21:35:51.305776,0 days 00:00:03.184976,0.02223352015644782,12,,2,5,851,0.7489048239301045,TPESampler,COMPLETE
41,0.3488415505474028,2025-04-24 21:35:48.214849,2025-04-24 21:35:49.477594,0 days 00:00:01.262745,0.01743378208591447,12,sqrt,1,5,376,0.7260435682879828,TPESampler,COMPLETE
