number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_channels,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_num_layers,params_num_timesteps,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.12644781172275543,2025-04-26 12:41:18.629835,2025-04-26 12:41:33.563956,0 days 00:00:14.934121,0.26253168288263445,64,96,112,,,2,4,1,0.0007016077993555097,0.6,/work3/arnaou/checkpoints/Omega_trial_0_best_state.pt,"{'learning_rate': 0.0007016077993555097, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.10257099568843842,2025-04-26 12:41:18.638549,2025-04-26 12:41:27.655316,0 days 00:00:09.016767,0.19224882110418026,144,240,64,,,2,4,2,0.0010585001934279366,0.6,/work3/arnaou/checkpoints/Omega_trial_1_best_state.pt,"{'learning_rate': 0.0010585001934279366, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.09094785898923874,2025-04-26 12:41:18.693116,2025-04-26 12:41:31.900744,0 days 00:00:13.207628,0.09580951873029495,224,144,32,80.0,176.0,4,2,1,0.0007339235274255037,0.6,/work3/arnaou/checkpoints/Omega_trial_2_best_state.pt,"{'learning_rate': 0.0007339235274255037, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.11087823659181595,2025-04-26 12:41:27.821397,2025-04-26 12:41:46.256817,0 days 00:00:18.435420,0.12750438781679116,144,48,256,240.0,80.0,4,3,4,0.00031687324357571,0.6,/work3/arnaou/checkpoints/Omega_trial_3_best_state.pt,"{'learning_rate': 0.00031687324357571, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.09165430068969727,2025-04-26 12:41:32.062137,2025-04-26 12:41:46.328289,0 days 00:00:14.266152,0.0586966229426025,192,112,160,48.0,,3,3,3,0.0056137224918838295,0.6,/work3/arnaou/checkpoints/Omega_trial_4_best_state.pt,"{'learning_rate': 0.0056137224918838295, 'lr_reduce': 0.6}",TPESampler,COMPLETE
5,0.35546040534973145,2025-04-26 12:41:33.745112,2025-04-26 12:41:52.465094,0 days 00:00:18.719982,0.1063735270016632,80,32,112,208.0,96.0,4,2,3,0.00011714126945682313,0.6,/work3/arnaou/checkpoints/Omega_trial_5_best_state.pt,"{'learning_rate': 0.00011714126945682313, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.1060098186135292,2025-04-26 12:41:46.384848,2025-04-26 12:41:54.976984,0 days 00:00:08.592136,0.2782250354446519,176,256,112,64.0,,3,3,2,0.003349973572266989,0.6,/work3/arnaou/checkpoints/Omega_trial_6_best_state.pt,"{'learning_rate': 0.003349973572266989, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.07872772216796875,2025-04-26 12:41:46.541723,2025-04-26 12:41:55.983152,0 days 00:00:09.441429,0.24022276725629016,240,224,256,192.0,,3,1,3,0.00166208599177625,0.6,/work3/arnaou/checkpoints/Omega_trial_7_best_state.pt,"{'learning_rate': 0.00166208599177625, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.13001121580600739,2025-04-26 12:41:52.619372,2025-04-26 12:42:08.642889,0 days 00:00:16.023517,0.28998600693065896,144,144,64,,,2,3,3,0.000501057931242717,0.6,/work3/arnaou/checkpoints/Omega_trial_8_best_state.pt,"{'learning_rate': 0.000501057931242717, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.10186154395341873,2025-04-26 12:41:55.342622,2025-04-26 12:42:05.774457,0 days 00:00:10.431835,0.22589063660271053,224,80,240,144.0,224.0,4,4,1,0.005664024628324034,0.6,/work3/arnaou/checkpoints/Omega_trial_9_best_state.pt,"{'learning_rate': 0.005664024628324034, 'lr_reduce': 0.6}",TPESampler,COMPLETE
