number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.06871358305215836,2025-04-25 13:47:16.137372,2025-04-25 13:48:30.160597,0 days 00:01:14.023225,0.23153722144298833,224,1,4,128,0.06508437934095476,112,3,2,96,0.05451875152733158,128,4,2,80,0.24152341814018696,152,,,1,2,0.0005284907862532015,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_0_best_state.pt,"{'learning_rate': 0.0005284907862532015, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.26709452271461487,2025-04-25 13:47:16.142797,2025-04-25 13:48:29.500014,0 days 00:01:13.357217,0.09084310949510252,128,2,3,96,0.23908856887749608,64,4,4,112,0.15069571601002718,64,3,1,64,0.003582651159727057,288,232.0,,2,1,0.0008297412319354852,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_1_best_state.pt,"{'learning_rate': 0.0008297412319354852, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.23203147947788239,2025-04-25 13:47:16.190141,2025-04-25 13:49:53.156640,0 days 00:02:36.966499,0.29393963767064213,80,1,1,48,0.29667775421973813,80,2,4,112,0.27426086377361547,48,4,2,64,0.19887286923189335,264,448.0,,2,2,0.00011657421414403631,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_2_best_state.pt,"{'learning_rate': 0.00011657421414403631, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.06747668236494064,2025-04-25 13:48:29.626188,2025-04-25 13:50:09.108458,0 days 00:01:39.482270,0.08023860174763243,144,3,4,112,0.13434277376962353,96,1,1,112,0.2789972608560737,32,2,4,112,0.05599516931000707,448,424.0,,2,1,0.0012632068651565885,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_3_best_state.pt,"{'learning_rate': 0.0012632068651565885, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.08021457493305206,2025-04-25 13:48:30.331829,2025-04-25 13:50:34.527671,0 days 00:02:04.195842,0.08337024220416343,256,3,1,48,0.27946295525003145,224,4,1,64,0.2789252656402412,112,4,4,128,0.2709143409682564,456,,,1,2,0.004672890644011817,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_4_best_state.pt,"{'learning_rate': 0.004672890644011817, 'lr_reduce': 0.6}",TPESampler,COMPLETE
5,0.07592897862195969,2025-04-25 13:49:53.295213,2025-04-25 13:51:15.779864,0 days 00:01:22.484651,0.1410887043927438,256,2,1,64,0.04051983266951276,112,1,4,80,0.09965626784547468,80,1,3,32,0.18839197740861802,416,320.0,104.0,3,1,0.00018200473019087314,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_5_best_state.pt,"{'learning_rate': 0.00018200473019087314, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.06732145696878433,2025-04-25 13:50:09.247210,2025-04-25 13:51:27.943723,0 days 00:01:18.696513,0.1577332831223198,224,2,1,64,0.11277048165421591,64,2,2,112,0.23617227903048735,96,4,4,96,0.20670099952896448,488,,,1,2,0.0016575336111942455,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_6_best_state.pt,"{'learning_rate': 0.0016575336111942455, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.0763218104839325,2025-04-25 13:50:34.659931,2025-04-25 13:51:52.079803,0 days 00:01:17.419872,0.17056988837577994,160,1,3,80,0.189009384389473,112,1,1,32,0.1051690949758693,64,2,1,128,0.11794706236122679,376,352.0,96.0,3,2,0.00029374798533670195,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_7_best_state.pt,"{'learning_rate': 0.00029374798533670195, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.0910593792796135,2025-04-25 13:51:15.952772,2025-04-25 13:52:44.113036,0 days 00:01:28.160264,0.23277129394275128,80,4,1,32,0.2617595010435548,208,4,1,64,0.26555980154158193,96,1,2,32,0.19693698463856402,136,,,1,2,0.00022277379818246902,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_8_best_state.pt,"{'learning_rate': 0.00022277379818246902, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.07183127105236053,2025-04-25 13:51:28.212482,2025-04-25 13:52:47.931081,0 days 00:01:19.718599,0.09252277202593363,64,4,4,64,0.002549212100471765,176,4,1,64,0.10910006848752653,32,2,2,128,0.22164035192121326,432,472.0,432.0,3,2,0.0020371918318904184,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_9_best_state.pt,"{'learning_rate': 0.0020371918318904184, 'lr_reduce': 0.6}",TPESampler,COMPLETE
