number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.8884312510490417,2025-04-25 21:39:15.158578,2025-04-25 21:39:25.837026,0 days 00:00:10.678448,1,55,499,359.0,,,2,82,0.015013595348718739,0.000470345684692666,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_0_best_state.pt,"{'learning_rate': 0.000470345684692666, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.13818195462226868,2025-04-25 21:39:15.171484,2025-04-25 21:39:44.622850,0 days 00:00:29.451366,1,81,183,,,,1,93,0.22524357142768137,0.00887019730468729,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_1_best_state.pt,"{'learning_rate': 0.00887019730468729, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.8887547254562378,2025-04-25 21:39:15.192506,2025-04-25 21:39:26.201859,0 days 00:00:11.009353,4,76,502,189.0,,,2,69,0.04707131052141125,0.0014727175356744392,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_2_best_state.pt,"{'learning_rate': 0.0014727175356744392, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.89470374584198,2025-04-25 21:39:26.000734,2025-04-25 21:39:30.160896,0 days 00:00:04.160162,2,54,490,345.0,179.0,379.0,4,121,0.163507303552048,0.00022438705223955526,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_3_best_state.pt,"{'learning_rate': 0.00022438705223955526, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.5254107713699341,2025-04-25 21:39:26.436360,2025-04-25 21:39:32.759141,0 days 00:00:06.322781,1,126,451,184.0,388.0,468.0,4,102,0.0438355550159,0.005457807259970328,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_4_best_state.pt,"{'learning_rate': 0.005457807259970328, 'lr_reduce': 0.6}",GPSampler,COMPLETE
5,0.13214196264743805,2025-04-25 21:39:30.348189,2025-04-25 21:40:01.678086,0 days 00:00:31.329897,1,116,119,184.0,152.0,466.0,4,120,0.030984817407327198,0.0010336519414422952,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_5_best_state.pt,"{'learning_rate': 0.0010336519414422952, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.8984177112579346,2025-04-25 21:39:32.947222,2025-04-25 21:39:36.955253,0 days 00:00:04.008031,2,112,327,459.0,348.0,249.0,4,108,0.00782411783291953,0.0002747073997029687,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_6_best_state.pt,"{'learning_rate': 0.0002747073997029687, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.89695805311203,2025-04-25 21:39:37.135450,2025-04-25 21:39:40.507319,0 days 00:00:03.371869,1,110,472,287.0,497.0,352.0,4,125,0.02487227428118363,0.00015329307211782165,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_7_best_state.pt,"{'learning_rate': 0.00015329307211782165, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.8933756351470947,2025-04-25 21:39:40.678278,2025-04-25 21:39:44.605047,0 days 00:00:03.926769,4,81,110,487.0,,,2,45,0.20061497571042122,0.0005767440723268548,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_8_best_state.pt,"{'learning_rate': 0.0005767440723268548, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.8958160877227783,2025-04-25 21:39:44.771887,2025-04-25 21:39:48.806574,0 days 00:00:04.034687,3,73,512,92.0,215.0,199.0,4,119,0.20799291424864422,0.00022216342589193082,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_9_best_state.pt,"{'learning_rate': 0.00022216342589193082, 'lr_reduce': 0.6}",TPESampler,COMPLETE
