number,value,datetime_start,datetime_complete,duration,params_constant_value,params_kernel_type,params_length_scale,params_noise_level,params_nu,system_attrs_auto:sampler,state
0,0.949431772526283,2025-04-24 20:58:47.707889,2025-04-24 20:58:49.369605,0 days 00:00:01.661716,2.331110870323457e-07,Matern,0.09411712308380936,0.12178745784896079,2.5,RandomSampler,COMPLETE
1,0.9494317804803357,2025-04-24 20:58:47.720402,2025-04-24 20:58:49.444492,0 days 00:00:01.724090,7734.293660815979,Matern,0.017932403882389775,1.8367211971395856e-08,2.5,RandomSampler,COMPLETE
2,0.30268471019369686,2025-04-24 20:58:47.781091,2025-04-24 20:58:53.843193,0 days 00:00:06.062102,48.204638654980876,RBF,8991.413121101781,0.6642271182258591,0.5,RandomSampler,COMPLETE
3,0.9228200924119674,2025-04-24 20:58:49.546578,2025-04-24 20:58:51.507612,0 days 00:00:01.961034,0.2804078117466931,RBF,0.14665119924316536,0.09918292607167616,2.5,TPESampler,COMPLETE
4,0.9228200625785331,2025-04-24 20:58:49.590533,2025-04-24 20:58:51.482647,0 days 00:00:01.892114,0.002678495870129006,Matern,0.116270794948532,2.5349726407266545e-06,2.5,TPESampler,COMPLETE
5,0.33018884948664823,2025-04-24 20:58:51.635396,2025-04-24 20:58:54.510271,0 days 00:00:02.874875,2002.2556585004445,Matern,18648.86475515457,0.0004611167065672507,0.5,TPESampler,COMPLETE
6,0.9494311126223454,2025-04-24 20:58:51.692729,2025-04-24 20:58:53.805294,0 days 00:00:02.112565,5.354071123456183e-06,Matern,0.018853069401661583,0.024173438510676732,2.5,TPESampler,COMPLETE
7,0.9228200805344643,2025-04-24 20:58:53.938399,2025-04-24 20:58:55.319000,0 days 00:00:01.380601,52055.917808293656,Matern,0.003966843103238828,0.1782310020035207,2.5,TPESampler,COMPLETE
8,0.9228200913231355,2025-04-24 20:58:53.982982,2025-04-24 20:58:57.508370,0 days 00:00:03.525388,1.5526422144812796e-07,RBF,0.0018181551196453749,4.5650410789309834e-05,2.5,TPESampler,COMPLETE
9,0.28870740875807166,2025-04-24 20:58:54.704596,2025-04-24 20:58:58.244618,0 days 00:00:03.540022,4.109873767944501e-06,Matern,1.0832474547519162,3.9841187769492e-09,2.5,TPESampler,COMPLETE
10,0.9494317804775603,2025-04-24 20:58:55.509699,2025-04-24 20:58:57.024549,0 days 00:00:01.514850,395.24844491494594,RBF,0.16237321127370705,7.461824966395219e-10,2.5,TPESampler,COMPLETE
11,0.30268457809354476,2025-04-24 20:58:57.237990,2025-04-24 20:59:00.536424,0 days 00:00:03.298434,0.0006529749207938422,RBF,0.8889278101134643,0.0003010258237791599,2.5,TPESampler,COMPLETE
12,0.9494322793140216,2025-04-24 20:58:57.690289,2025-04-24 20:58:59.695825,0 days 00:00:02.005536,0.2880735295303702,RBF,33267.959750018155,0.0058619843285512285,0.5,TPESampler,COMPLETE
13,0.9228200917281517,2025-04-24 20:58:58.433837,2025-04-24 20:59:01.756235,0 days 00:00:03.322398,4.0186265166887537e-05,Matern,2439.7777342996815,8.829532141105663e-08,1.5,TPESampler,COMPLETE
14,0.9228200911054913,2025-04-24 20:58:59.880687,2025-04-24 20:59:01.754770,0 days 00:00:01.874083,1.922103512489731e-06,Matern,0.0002337415873372337,1.3957958965129988e-09,2.5,TPESampler,COMPLETE
15,0.9228200924544008,2025-04-24 20:59:00.727676,2025-04-24 20:59:03.035401,0 days 00:00:02.307725,1.6101314423947184e-07,Matern,3.9099029285963756,7.449343434367368e-10,2.5,TPESampler,COMPLETE
16,0.9228200924359724,2025-04-24 20:59:01.900291,2025-04-24 20:59:05.056523,0 days 00:00:03.156232,0.0001492605187423782,RBF,2611.194489138709,3.320183730941246e-08,2.5,TPESampler,COMPLETE
17,0.9494322729559168,2025-04-24 20:59:01.953883,2025-04-24 20:59:03.257760,0 days 00:00:01.303877,3.902262951294554e-06,RBF,1145.0597471557073,0.02176342672248472,1.5,TPESampler,COMPLETE
18,0.9228200924701953,2025-04-24 20:59:03.223017,2025-04-24 20:59:05.104126,0 days 00:00:01.881109,0.05939980047604059,RBF,2.517317916463295,4.570347156057538e-06,0.5,TPESampler,COMPLETE
19,0.9228200809293114,2025-04-24 20:59:03.488741,2025-04-24 20:59:05.018595,0 days 00:00:01.529854,0.00021275987379803992,RBF,4.628845510866982,1.8062210499197795e-05,2.5,TPESampler,COMPLETE
20,0.9228200933185395,2025-04-24 20:59:05.168851,2025-04-24 20:59:06.857582,0 days 00:00:01.688731,0.0003241189816532134,RBF,0.003559802441802488,8.58573542419088e-05,1.5,TPESampler,COMPLETE
21,0.9228200924424432,2025-04-24 20:59:05.177748,2025-04-24 20:59:07.435333,0 days 00:00:02.257585,40.23618430584019,Matern,26968.594301442838,1.344913493391549e-10,1.5,TPESampler,COMPLETE
22,0.9228200921565226,2025-04-24 20:59:05.234687,2025-04-24 20:59:07.432175,0 days 00:00:02.197488,0.09112905924537783,Matern,0.11166331508584255,5.240970090401424e-09,0.5,TPESampler,COMPLETE
