number,value,datetime_start,datetime_complete,duration,params_final_dropout,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.10956288874149323,2025-04-25 22:47:23.979952,2025-04-25 22:47:38.950042,0 days 00:00:14.970090,0.029149112515776475,64,96,128.0,48.0,4,0.0009334599537399417,0.6,checkpoints/mlp_Omega_trial_0_best_state.pt,"{'learning_rate': 0.0009334599537399417, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.12059994786977768,2025-04-25 22:47:23.992299,2025-04-25 22:47:40.849231,0 days 00:00:16.856932,0.228584796376677,208,288,144.0,,3,0.0006044835827418014,0.6,checkpoints/mlp_Omega_trial_1_best_state.pt,"{'learning_rate': 0.0006044835827418014, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.092919260263443,2025-04-25 22:47:24.056023,2025-04-25 22:47:35.410301,0 days 00:00:11.354278,0.27955433577239025,416,224,288.0,,3,0.007583907226719449,0.6,checkpoints/mlp_Omega_trial_2_best_state.pt,"{'learning_rate': 0.007583907226719449, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.10486827045679092,2025-04-25 22:47:35.649537,2025-04-25 22:47:51.441504,0 days 00:00:15.791967,0.26453264266920007,416,448,464.0,304.0,4,0.001045251764958792,0.6,checkpoints/mlp_Omega_trial_3_best_state.pt,"{'learning_rate': 0.001045251764958792, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.10083716362714767,2025-04-25 22:47:39.331264,2025-04-25 22:47:48.771340,0 days 00:00:09.440076,0.2282741625504753,240,208,80.0,,3,0.006527577380926738,0.6,checkpoints/mlp_Omega_trial_4_best_state.pt,"{'learning_rate': 0.006527577380926738, 'lr_reduce': 0.6}",TPESampler,COMPLETE
5,0.08667777478694916,2025-04-25 22:47:41.147706,2025-04-25 22:47:56.781431,0 days 00:00:15.633725,0.08360545876906601,400,112,480.0,,3,0.0009505995090305657,0.6,checkpoints/mlp_Omega_trial_5_best_state.pt,"{'learning_rate': 0.0009505995090305657, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.09998812526464462,2025-04-25 22:47:49.046498,2025-04-25 22:48:06.245051,0 days 00:00:17.198553,0.25277433336584976,384,128,208.0,,3,0.0013496172364942328,0.6,checkpoints/mlp_Omega_trial_6_best_state.pt,"{'learning_rate': 0.0013496172364942328, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.11009197682142258,2025-04-25 22:47:51.817496,2025-04-25 22:48:13.535878,0 days 00:00:21.718382,0.10780694723064854,416,352,320.0,336.0,4,0.0005403579754151177,0.6,checkpoints/mlp_Omega_trial_7_best_state.pt,"{'learning_rate': 0.0005403579754151177, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.10729920119047165,2025-04-25 22:47:57.075322,2025-04-25 22:48:12.858651,0 days 00:00:15.783329,0.1550872122372779,208,160,400.0,,3,0.0007190375392227791,0.6,checkpoints/mlp_Omega_trial_8_best_state.pt,"{'learning_rate': 0.0007190375392227791, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.10869940370321274,2025-04-25 22:48:06.548444,2025-04-25 22:48:27.697320,0 days 00:00:21.148876,0.18939870071867806,480,384,,,2,0.0004188506858531687,0.6,checkpoints/mlp_Omega_trial_9_best_state.pt,"{'learning_rate': 0.0004188506858531687, 'lr_reduce': 0.6}",TPESampler,COMPLETE
