number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
0,0.9483364804883275,2025-04-24 21:17:42.800173,2025-04-24 21:17:44.287797,0 days 00:00:01.487624,False,absolute_error,41,sqrt,10,3,495,RandomSampler,COMPLETE
1,0.46312872980683184,2025-04-24 21:17:42.812809,2025-04-24 21:18:17.249787,0 days 00:00:34.436978,False,absolute_error,12,,1,11,563,RandomSampler,COMPLETE
2,0.589742469095658,2025-04-24 21:17:42.891018,2025-04-24 21:17:44.507963,0 days 00:00:01.616945,True,squared_error,12,,13,5,411,RandomSampler,COMPLETE
3,0.3911566663045272,2025-04-24 21:17:44.560489,2025-04-24 21:17:51.187877,0 days 00:00:06.627388,True,absolute_error,43,sqrt,1,2,727,TPESampler,COMPLETE
4,0.841385581964725,2025-04-24 21:17:44.828476,2025-04-24 21:17:46.195435,0 days 00:00:01.366959,False,squared_error,35,sqrt,7,4,315,TPESampler,COMPLETE
5,0.6479751575215905,2025-04-24 21:17:46.485067,2025-04-24 21:17:48.147593,0 days 00:00:01.662526,True,squared_error,32,sqrt,2,2,500,TPESampler,COMPLETE
6,0.8789591916791011,2025-04-24 21:17:48.527006,2025-04-24 21:17:50.229037,0 days 00:00:01.702031,False,squared_error,39,log2,3,27,364,TPESampler,COMPLETE
7,0.4096015515530008,2025-04-24 21:17:50.530804,2025-04-24 21:17:55.673497,0 days 00:00:05.142693,False,squared_error,37,,1,5,850,TPESampler,COMPLETE
8,0.9525703020265828,2025-04-24 21:17:51.677048,2025-04-24 21:17:53.480466,0 days 00:00:01.803418,True,absolute_error,14,log2,3,25,997,TPESampler,COMPLETE
9,0.5070359621798383,2025-04-24 21:17:53.653112,2025-04-24 21:17:55.706851,0 days 00:00:02.053739,False,squared_error,13,,4,8,499,TPESampler,COMPLETE
10,0.4142347219326914,2025-04-24 21:17:55.377908,2025-04-24 21:17:57.566203,0 days 00:00:02.188295,True,squared_error,49,sqrt,1,10,482,TPESampler,COMPLETE
11,0.6036104259198758,2025-04-24 21:17:55.421644,2025-04-24 21:18:02.309000,0 days 00:00:06.887356,True,absolute_error,21,,9,3,971,TPESampler,COMPLETE
12,0.43327896957869894,2025-04-24 21:17:55.468536,2025-04-24 21:18:09.832311,0 days 00:00:14.363775,False,absolute_error,31,sqrt,1,8,952,TPESampler,COMPLETE
13,0.9409763010939288,2025-04-24 21:17:55.896999,2025-04-24 21:17:58.056333,0 days 00:00:02.159334,False,absolute_error,11,sqrt,9,10,746,TPESampler,COMPLETE
14,0.8848938841798638,2025-04-24 21:17:55.966380,2025-04-24 21:17:57.801230,0 days 00:00:01.834850,True,squared_error,27,log2,2,3,270,TPESampler,COMPLETE
15,0.3928704037315715,2025-04-24 21:17:57.788524,2025-04-24 21:18:06.392406,0 days 00:00:08.603882,True,absolute_error,41,sqrt,1,2,851,TPESampler,COMPLETE
16,0.38502651924998094,2025-04-24 21:17:58.006834,2025-04-24 21:18:03.099655,0 days 00:00:05.092821,True,absolute_error,50,sqrt,1,2,552,TPESampler,COMPLETE
17,0.42102671184201784,2025-04-24 21:17:58.397355,2025-04-24 21:18:02.351781,0 days 00:00:03.954426,False,squared_error,37,,1,6,736,TPESampler,COMPLETE
18,0.5761815500505834,2025-04-24 21:18:02.490100,2025-04-24 21:18:04.712887,0 days 00:00:02.222787,False,squared_error,27,log2,1,2,981,TPESampler,COMPLETE
19,0.42597375052860337,2025-04-24 21:18:02.523167,2025-04-24 21:18:06.025883,0 days 00:00:03.502716,True,squared_error,27,,2,2,774,TPESampler,COMPLETE
20,0.9551711982601562,2025-04-24 21:18:03.464097,2025-04-24 21:18:04.882455,0 days 00:00:01.418358,True,absolute_error,39,log2,3,2,568,TPESampler,COMPLETE
21,0.387876090743735,2025-04-24 21:18:04.887796,2025-04-24 21:18:08.118615,0 days 00:00:03.230819,True,absolute_error,47,sqrt,1,2,282,TPESampler,COMPLETE
22,0.39378534419057404,2025-04-24 21:18:05.080028,2025-04-24 21:18:08.034334,0 days 00:00:02.954306,True,absolute_error,43,sqrt,1,2,294,TPESampler,COMPLETE
23,0.49042384916664095,2025-04-24 21:18:06.199640,2025-04-24 21:18:11.061979,0 days 00:00:04.862339,False,absolute_error,42,log2,1,5,532,TPESampler,COMPLETE
24,0.45292760174691243,2025-04-24 21:18:06.582477,2025-04-24 21:18:11.420764,0 days 00:00:04.838287,True,absolute_error,49,log2,1,3,644,TPESampler,COMPLETE
25,0.9090095257794899,2025-04-24 21:18:08.206485,2025-04-24 21:18:09.084456,0 days 00:00:00.877971,True,absolute_error,48,sqrt,4,3,108,TPESampler,COMPLETE
26,0.6632593140814383,2025-04-24 21:18:08.299144,2025-04-24 21:18:11.032654,0 days 00:00:02.733510,True,absolute_error,49,sqrt,2,6,520,TPESampler,COMPLETE
27,0.3509076420738022,2025-04-24 21:18:09.248009,2025-04-24 21:18:24.187171,0 days 00:00:14.939162,True,absolute_error,40,,1,3,282,TPESampler,COMPLETE
28,0.44848703897026965,2025-04-24 21:18:10.011768,2025-04-24 21:18:11.672283,0 days 00:00:01.660515,False,squared_error,38,,2,2,241,TPESampler,COMPLETE
29,0.3932300362561557,2025-04-24 21:18:11.214111,2025-04-24 21:18:21.090195,0 days 00:00:09.876084,False,absolute_error,42,sqrt,1,2,537,TPESampler,COMPLETE
30,0.38245278800033905,2025-04-24 21:18:11.224040,2025-04-24 21:18:13.390240,0 days 00:00:02.166200,False,absolute_error,50,sqrt,1,2,101,TPESampler,COMPLETE
31,0.4431725828384159,2025-04-24 21:18:11.597330,2025-04-24 21:18:32.187349,0 days 00:00:20.590019,True,absolute_error,49,,2,3,657,TPESampler,COMPLETE
32,0.6574658745344343,2025-04-24 21:18:12.077104,2025-04-24 21:18:14.950346,0 days 00:00:02.873242,True,absolute_error,44,sqrt,2,2,505,TPESampler,COMPLETE
33,0.8923785142616363,2025-04-24 21:18:13.555502,2025-04-24 21:18:14.285516,0 days 00:00:00.730014,False,absolute_error,49,log2,2,2,111,TPESampler,COMPLETE
34,0.40289027661004756,2025-04-24 21:18:14.446629,2025-04-24 21:18:16.698424,0 days 00:00:02.251795,False,absolute_error,37,sqrt,1,3,148,TPESampler,COMPLETE
35,0.542979182904985,2025-04-24 21:18:15.118122,2025-04-24 21:18:18.809721,0 days 00:00:03.691599,False,absolute_error,49,sqrt,2,4,272,TPESampler,COMPLETE
36,0.6613560165303011,2025-04-24 21:18:16.874832,2025-04-24 21:18:17.832101,0 days 00:00:00.957269,True,squared_error,48,sqrt,2,2,170,TPESampler,COMPLETE
37,0.44842525442167197,2025-04-24 21:18:17.428309,2025-04-24 21:18:19.980559,0 days 00:00:02.552250,True,absolute_error,50,log2,1,3,294,TPESampler,COMPLETE
38,0.34347124986704153,2025-04-24 21:18:17.981668,2025-04-24 21:18:21.025694,0 days 00:00:03.044026,True,squared_error,43,,1,2,523,TPESampler,COMPLETE
39,0.3853011790344117,2025-04-24 21:18:18.970789,2025-04-24 21:18:37.471785,0 days 00:00:18.500996,False,absolute_error,44,,1,2,183,TPESampler,COMPLETE
40,0.3813606709712452,2025-04-24 21:18:20.147679,2025-04-24 21:18:25.529994,0 days 00:00:05.382315,True,absolute_error,47,sqrt,1,2,590,TPESampler,COMPLETE
41,0.42833263466768107,2025-04-24 21:18:21.203049,2025-04-24 21:18:23.326492,0 days 00:00:02.123443,True,squared_error,33,,2,2,486,TPESampler,COMPLETE
42,0.34334432945115106,2025-04-24 21:18:21.270971,2025-04-24 21:18:24.023104,0 days 00:00:02.752133,True,squared_error,41,,1,3,531,TPESampler,COMPLETE
43,0.38211788605235025,2025-04-24 21:18:23.495030,2025-04-24 21:18:26.984028,0 days 00:00:03.488998,False,absolute_error,50,sqrt,1,2,219,TPESampler,COMPLETE
44,0.3444196952103753,2025-04-24 21:18:24.180894,2025-04-24 21:18:27.752889,0 days 00:00:03.571995,True,squared_error,50,,1,2,672,TPESampler,COMPLETE
45,0.35519086567420205,2025-04-24 21:18:24.379893,2025-04-24 21:18:26.003432,0 days 00:00:01.623539,True,squared_error,44,,1,5,266,TPESampler,COMPLETE
46,0.359418731629703,2025-04-24 21:18:25.706548,2025-04-24 21:18:45.048093,0 days 00:00:19.341545,True,absolute_error,34,,1,5,368,TPESampler,COMPLETE
47,0.44951425871534234,2025-04-24 21:18:26.272089,2025-04-24 21:18:27.080523,0 days 00:00:00.808434,True,squared_error,46,,2,7,109,TPESampler,COMPLETE
48,0.3468092455958094,2025-04-24 21:18:27.168524,2025-04-24 21:18:30.291397,0 days 00:00:03.122873,True,squared_error,42,,1,4,545,TPESampler,COMPLETE
49,0.4743649645006595,2025-04-24 21:18:27.291345,2025-04-24 21:18:28.773059,0 days 00:00:01.481714,True,squared_error,41,log2,1,3,445,TPESampler,COMPLETE
50,0.43099146109172265,2025-04-24 21:18:27.982133,2025-04-24 21:18:33.708842,0 days 00:00:05.726709,False,squared_error,50,,1,2,872,TPESampler,COMPLETE
51,0.34497013631215817,2025-04-24 21:18:28.932288,2025-04-24 21:18:32.904385,0 days 00:00:03.972097,True,squared_error,47,,1,2,725,TPESampler,COMPLETE
52,0.406880648693922,2025-04-24 21:18:30.452565,2025-04-24 21:18:33.306831,0 days 00:00:02.854266,True,squared_error,37,,1,13,706,TPESampler,COMPLETE
53,0.3634592002779667,2025-04-24 21:18:32.362534,2025-04-24 21:18:39.255977,0 days 00:00:06.893443,True,absolute_error,42,,1,3,124,TPESampler,COMPLETE
54,0.3436221019525179,2025-04-24 21:18:33.067723,2025-04-24 21:18:36.296628,0 days 00:00:03.228905,True,squared_error,50,,1,2,556,TPESampler,COMPLETE
55,0.342785750520717,2025-04-24 21:18:33.465771,2025-04-24 21:18:37.533993,0 days 00:00:04.068222,True,squared_error,43,,1,3,772,TPESampler,COMPLETE
56,0.37598888937164454,2025-04-24 21:18:33.883513,2025-04-24 21:18:35.806212,0 days 00:00:01.922699,True,squared_error,48,sqrt,1,3,782,TPESampler,COMPLETE
57,0.343640281680789,2025-04-24 21:18:35.962549,2025-04-24 21:18:39.300532,0 days 00:00:03.337983,True,squared_error,36,,1,3,644,TPESampler,COMPLETE
58,0.3441064294884471,2025-04-24 21:18:36.522510,2025-04-24 21:18:40.283429,0 days 00:00:03.760919,True,squared_error,50,,1,2,664,TPESampler,COMPLETE
59,0.34274829165262083,2025-04-24 21:18:37.647161,2025-04-24 21:18:42.735520,0 days 00:00:05.088359,True,squared_error,44,,1,3,899,TPESampler,COMPLETE
60,0.3438362759198808,2025-04-24 21:18:37.713839,2025-04-24 21:18:42.204338,0 days 00:00:04.490499,True,squared_error,47,,1,2,836,TPESampler,COMPLETE
61,0.8809257739375336,2025-04-24 21:18:39.388530,2025-04-24 21:18:41.219465,0 days 00:00:01.830935,True,squared_error,40,log2,2,8,740,TPESampler,COMPLETE
62,0.4308006387437341,2025-04-24 21:18:39.448590,2025-04-24 21:18:42.867491,0 days 00:00:03.418901,False,squared_error,46,,1,3,420,TPESampler,COMPLETE
63,0.3595523757880651,2025-04-24 21:18:40.454085,2025-04-24 21:19:15.259722,0 days 00:00:34.805637,True,absolute_error,19,,1,3,713,TPESampler,COMPLETE
64,0.3439842091942555,2025-04-24 21:18:41.401776,2025-04-24 21:18:44.611679,0 days 00:00:03.209903,True,squared_error,41,,1,2,447,TPESampler,COMPLETE
