number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
0,14.174756996737106,2025-04-24 20:58:59.800864,2025-04-24 20:59:00.323823,0 days 00:00:00.522959,1.6470964898894922,0.10511700612620957,0.8135211897548091,sigmoid,RandomSampler,COMPLETE
1,0.7858832109280011,2025-04-24 20:58:59.815697,2025-04-24 20:59:00.270330,0 days 00:00:00.454633,0.12043805182841273,0.09075465578614403,0.0018267863471542612,rbf,RandomSampler,COMPLETE
2,0.42973030531230655,2025-04-24 20:58:59.886905,2025-04-24 20:59:00.295491,0 days 00:00:00.408586,0.1362111626360191,0.001049278067927531,0.006337109707644735,linear,RandomSampler,COMPLETE
3,0.8611807905633957,2025-04-24 20:59:00.436005,2025-04-24 20:59:00.928394,0 days 00:00:00.492389,0.048032161223411904,0.5048221429982653,0.1720448392121025,sigmoid,TPESampler,COMPLETE
4,0.9495959625828285,2025-04-24 20:59:00.445244,2025-04-24 20:59:00.987423,0 days 00:00:00.542179,0.11089381365282636,0.20183924004775727,0.000517081641699537,sigmoid,TPESampler,COMPLETE
5,0.600478070725565,2025-04-24 20:59:00.449863,2025-04-24 20:59:01.128668,0 days 00:00:00.678805,0.18023892676190298,0.9900586488520043,0.013838610271042742,linear,TPESampler,COMPLETE
6,0.37834244822343444,2025-04-24 20:59:01.089562,2025-04-24 20:59:01.697529,0 days 00:00:00.607967,97.2568083949786,0.46956894449252506,0.08002928966591275,rbf,TPESampler,COMPLETE
7,0.9486110983226114,2025-04-24 20:59:01.177163,2025-04-24 20:59:01.695964,0 days 00:00:00.518801,0.036145235237683974,0.0016500588585415794,0.9936479834534898,sigmoid,TPESampler,COMPLETE
8,0.6571924796950384,2025-04-24 20:59:01.305533,2025-04-24 20:59:01.927752,0 days 00:00:00.622219,13.42087795794705,0.030151347150907126,0.0006532130761051877,sigmoid,TPESampler,COMPLETE
9,0.35293370620069325,2025-04-24 20:59:01.888555,2025-04-24 20:59:02.443696,0 days 00:00:00.555141,2.315043441389853,0.481040143497038,0.0005653326786561808,linear,TPESampler,COMPLETE
10,0.5431065135848214,2025-04-24 20:59:01.937769,2025-04-24 20:59:02.434260,0 days 00:00:00.496491,0.0517302315863135,0.004050271078261391,0.06640975612566499,linear,TPESampler,COMPLETE
11,3.7286546308887814,2025-04-24 20:59:02.250924,2025-04-24 20:59:02.662915,0 days 00:00:00.411991,0.40913428782388733,0.003926061047534559,0.10208414275064179,sigmoid,TPESampler,COMPLETE
12,0.369589462081328,2025-04-24 20:59:02.626580,2025-04-24 20:59:03.258097,0 days 00:00:00.631517,64.5361479284325,0.43067437239633305,0.008003999156740696,rbf,TPESampler,COMPLETE
13,0.3697719042392573,2025-04-24 20:59:02.655977,2025-04-24 20:59:03.263125,0 days 00:00:00.607148,11.096892597718428,0.390621375972813,0.0006836502524690376,linear,TPESampler,COMPLETE
14,0.2942218302273165,2025-04-24 20:59:02.925796,2025-04-24 20:59:03.467970,0 days 00:00:00.542174,7.318078604666204,0.031823854649136916,0.12658788589506356,rbf,TPESampler,COMPLETE
15,0.3464618748589106,2025-04-24 20:59:03.428618,2025-04-24 20:59:04.109161,0 days 00:00:00.680543,29.49684792570118,0.017276857055994084,0.30236398432616385,rbf,TPESampler,COMPLETE
16,0.7479589315658312,2025-04-24 20:59:03.539109,2025-04-24 20:59:04.227592,0 days 00:00:00.688483,90.6006840719343,0.027753027102950485,0.008872737636648302,poly,TPESampler,COMPLETE
17,0.587858282975104,2025-04-24 20:59:03.670674,2025-04-24 20:59:04.321193,0 days 00:00:00.650519,0.27895109793230694,0.02701396133623498,0.06395266187478928,rbf,TPESampler,COMPLETE
18,0.3110718458918839,2025-04-24 20:59:04.292022,2025-04-24 20:59:04.839353,0 days 00:00:00.547331,26.89569893112846,0.0038766492661553476,0.17686528635837104,rbf,TPESampler,COMPLETE
19,1.3156210967572293,2025-04-24 20:59:04.415327,2025-04-24 22:00:02.547265,0 days 01:00:58.131938,78.76174549513647,0.008244157551624075,0.5014487591580301,poly,TPESampler,COMPLETE
20,0.3124469978053381,2025-04-24 20:59:04.729633,2025-04-24 20:59:05.286649,0 days 00:00:00.557016,16.654109154364782,0.002647525963805147,0.02458156891135231,rbf,TPESampler,COMPLETE
21,622.3712305333015,2025-04-24 20:59:05.029344,2025-04-24 20:59:05.604695,0 days 00:00:00.575351,85.54225222254355,0.0017663787022313237,0.04178256467991872,sigmoid,TPESampler,COMPLETE
22,0.31641064696116133,2025-04-24 20:59:05.538503,2025-04-24 20:59:06.165174,0 days 00:00:00.626671,8.765419319976084,0.002626477267506016,0.03439793435164529,rbf,TPESampler,COMPLETE
23,0.36426781103729017,2025-04-24 20:59:05.883771,2025-04-24 20:59:08.064910,0 days 00:00:02.181139,27.156512334774035,0.017319474376558543,0.026455336660109137,linear,TPESampler,COMPLETE
24,0.4728889529456186,2025-04-24 20:59:06.497897,2025-04-24 20:59:06.959059,0 days 00:00:00.461162,3.1566346711445883,0.0012784206818632327,0.6112571784088531,rbf,TPESampler,COMPLETE
25,0.36728611052411775,2025-04-24 20:59:07.128855,2025-04-24 20:59:13.719952,0 days 00:00:06.591097,88.57653459494793,0.0011176922471243485,0.7569062469056914,linear,TPESampler,COMPLETE
26,0.6709178393034294,2025-04-24 20:59:08.227674,2025-04-24 20:59:08.657566,0 days 00:00:00.429892,1.3724759009155265,0.005443617026751717,0.0026710652500167636,rbf,TPESampler,COMPLETE
27,0.3076806548061951,2025-04-24 20:59:08.815635,2025-04-24 20:59:09.263216,0 days 00:00:00.447581,50.7379456175405,0.00557723204335659,0.00932347873089435,rbf,TPESampler,COMPLETE
28,0.3204912463658254,2025-04-24 20:59:09.430361,2025-04-24 20:59:09.892425,0 days 00:00:00.462064,5.621371381417771,0.11245975702825563,0.07277696932391603,rbf,TPESampler,COMPLETE
29,0.48402638268469833,2025-04-24 20:59:10.060423,2025-04-24 20:59:10.480344,0 days 00:00:00.419921,72.0736669796415,0.005229394911791172,0.0005947841372213058,rbf,TPESampler,COMPLETE
30,0.8799879707857283,2025-04-24 20:59:10.635305,2025-04-24 20:59:11.320559,0 days 00:00:00.685254,0.7021064047378093,0.05046720192583861,0.10223673453678514,poly,TPESampler,COMPLETE
