number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
0,0.9928365741172522,2025-04-24 21:00:23.711162,2025-04-24 21:00:24.316245,0 days 00:00:00.605083,friedman_mse,1,log2,9,2,best,RandomSampler,COMPLETE
1,0.988192362972504,2025-04-24 21:00:23.727592,2025-04-24 21:00:24.311004,0 days 00:00:00.583412,friedman_mse,4,log2,4,11,best,RandomSampler,COMPLETE
2,0.7600001757728128,2025-04-24 21:00:23.807843,2025-04-24 21:00:24.384181,0 days 00:00:00.576338,friedman_mse,17,sqrt,1,20,random,RandomSampler,COMPLETE
3,0.9543211654238264,2025-04-24 21:00:24.495258,2025-04-24 21:00:25.231366,0 days 00:00:00.736108,absolute_error,2,sqrt,7,19,random,TPESampler,COMPLETE
4,0.971526010237953,2025-04-24 21:00:24.506150,2025-04-24 21:00:25.095047,0 days 00:00:00.588897,absolute_error,6,log2,6,15,random,TPESampler,COMPLETE
5,0.9368976210873065,2025-04-24 21:00:24.525547,2025-04-24 21:00:25.372027,0 days 00:00:00.846480,squared_error,21,log2,3,14,best,TPESampler,COMPLETE
6,0.679590395566603,2025-04-24 21:00:25.332150,2025-04-24 21:00:25.821429,0 days 00:00:00.489279,friedman_mse,28,sqrt,2,2,random,TPESampler,COMPLETE
7,0.7774448084602187,2025-04-24 21:00:25.549336,2025-04-24 21:00:26.092902,0 days 00:00:00.543566,friedman_mse,14,sqrt,10,14,best,TPESampler,COMPLETE
8,0.9740683440979027,2025-04-24 21:00:25.782782,2025-04-24 21:00:26.395052,0 days 00:00:00.612270,absolute_error,25,log2,10,11,random,TPESampler,COMPLETE
9,0.7238353318092209,2025-04-24 21:00:26.050067,2025-04-24 21:00:26.691390,0 days 00:00:00.641323,absolute_error,32,sqrt,6,5,best,TPESampler,COMPLETE
10,0.967750226038825,2025-04-24 21:00:26.293503,2025-04-24 21:00:26.833481,0 days 00:00:00.539978,squared_error,15,log2,2,9,random,TPESampler,COMPLETE
11,0.9680489899896118,2025-04-24 21:00:26.628388,2025-04-24 21:00:27.106337,0 days 00:00:00.477949,squared_error,5,sqrt,5,12,random,TPESampler,COMPLETE
12,0.7238353318092209,2025-04-24 21:00:26.901632,2025-04-24 21:00:27.591651,0 days 00:00:00.690019,absolute_error,34,sqrt,6,4,best,TPESampler,COMPLETE
13,0.6448501516931647,2025-04-24 21:00:27.104592,2025-04-24 21:00:27.881065,0 days 00:00:00.776473,friedman_mse,28,sqrt,1,6,random,TPESampler,COMPLETE
14,0.9737936641952643,2025-04-24 21:00:27.424405,2025-04-24 21:00:28.172282,0 days 00:00:00.747877,friedman_mse,22,sqrt,7,3,random,TPESampler,COMPLETE
15,0.6271160627848882,2025-04-24 21:00:27.954022,2025-04-24 21:00:28.538926,0 days 00:00:00.584904,friedman_mse,29,sqrt,1,8,random,TPESampler,COMPLETE
16,0.7483617814574448,2025-04-24 21:00:28.170811,2025-04-24 21:00:28.989442,0 days 00:00:00.818631,friedman_mse,34,sqrt,4,13,random,TPESampler,COMPLETE
17,0.7408501443798525,2025-04-24 21:00:28.425317,2025-04-24 21:00:29.132348,0 days 00:00:00.707031,friedman_mse,17,sqrt,1,9,random,TPESampler,COMPLETE
