number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
0,0.8516295735190483,2025-04-24 21:35:15.072412,2025-04-24 21:35:16.042545,0 days 00:00:00.970133,0.016942619609523212,6,log2,9,2,238,0.9453485827624214,RandomSampler,COMPLETE
1,0.4821074585165422,2025-04-24 21:35:15.085571,2025-04-24 21:35:17.698683,0 days 00:00:02.613112,0.035893152955522874,8,log2,7,5,1121,0.8214584997956894,RandomSampler,COMPLETE
2,0.9114547126957012,2025-04-24 21:35:15.147833,2025-04-24 21:35:16.439653,0 days 00:00:01.291820,0.014788678741191597,8,log2,8,9,285,0.6332049899048747,RandomSampler,COMPLETE
3,0.45518910923130645,2025-04-24 21:35:16.235313,2025-04-24 21:35:18.320098,0 days 00:00:02.084785,0.024747546653555618,10,log2,5,18,982,0.8903387950393851,TPESampler,COMPLETE
4,0.46309953301307116,2025-04-24 21:35:16.620717,2025-04-24 21:35:18.318820,0 days 00:00:01.698103,0.02087891616158135,7,log2,2,9,700,0.681552678475318,TPESampler,COMPLETE
5,0.3930889291181427,2025-04-24 21:35:17.897303,2025-04-24 21:35:19.256441,0 days 00:00:01.359138,0.043420765525429846,9,,6,14,206,0.8054075724075573,TPESampler,COMPLETE
6,0.43820411665896003,2025-04-24 21:35:18.469576,2025-04-24 21:35:21.007756,0 days 00:00:02.538180,0.013917107674561306,6,log2,1,9,1345,0.6683751221378331,TPESampler,COMPLETE
7,0.8162287246328156,2025-04-24 21:35:18.520846,2025-04-24 21:35:19.767097,0 days 00:00:01.246251,0.016194662685118245,7,log2,10,19,532,0.9512880859806422,TPESampler,COMPLETE
8,0.3406926765664554,2025-04-24 21:35:19.454643,2025-04-24 21:35:22.090150,0 days 00:00:02.635507,0.09654944248056749,4,,3,15,746,0.6586579764169116,TPESampler,COMPLETE
9,0.35512056965066047,2025-04-24 21:35:19.991934,2025-04-24 21:35:21.756215,0 days 00:00:01.764281,0.08659602060972164,6,sqrt,4,11,872,0.6793313596144935,TPESampler,COMPLETE
10,0.3959924407706918,2025-04-24 21:35:21.182136,2025-04-24 21:35:28.473586,0 days 00:00:07.291450,0.08030305458837098,10,,5,13,1377,0.9594244442256024,TPESampler,COMPLETE
