number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_channels,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_num_layers,params_num_timesteps,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.11304428428411484,2025-04-26 08:47:50.316028,2025-04-26 08:48:07.171876,0 days 00:00:16.855848,0.24658223614060865,96,32,48,176.0,,3,1,2,0.0012444117707011227,0.6,/work3/arnaou/checkpoints/Pc_trial_0_best_state.pt,"{'learning_rate': 0.0012444117707011227, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.05865659564733505,2025-04-26 08:47:50.320412,2025-04-26 08:48:03.852801,0 days 00:00:13.532389,0.07883632148275146,160,128,192,240.0,,3,1,4,0.004396686716876949,0.6,/work3/arnaou/checkpoints/Pc_trial_1_best_state.pt,"{'learning_rate': 0.004396686716876949, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.09189963340759277,2025-04-26 08:47:50.337807,2025-04-26 08:48:06.202213,0 days 00:00:15.864406,0.2901495597066682,80,64,80,240.0,,3,2,3,0.0010144634630709596,0.6,/work3/arnaou/checkpoints/Pc_trial_2_best_state.pt,"{'learning_rate': 0.0010144634630709596, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.05470465123653412,2025-04-26 08:48:04.020497,2025-04-26 08:48:13.674348,0 days 00:00:09.653851,0.038500158199018274,144,64,192,32.0,,3,1,2,0.003791696917195862,0.6,/work3/arnaou/checkpoints/Pc_trial_3_best_state.pt,"{'learning_rate': 0.003791696917195862, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.16695083677768707,2025-04-26 08:48:06.371762,2025-04-26 08:48:29.808381,0 days 00:00:23.436619,0.23768357586259936,48,128,144,,,2,4,1,0.00013020785335766418,0.6,/work3/arnaou/checkpoints/Pc_trial_4_best_state.pt,"{'learning_rate': 0.00013020785335766418, 'lr_reduce': 0.6}",GPSampler,COMPLETE
5,0.052459269762039185,2025-04-26 08:48:07.344412,2025-04-26 08:48:20.761130,0 days 00:00:13.416718,0.26430755926846916,128,176,224,144.0,,3,1,2,0.0005834543402791266,0.6,/work3/arnaou/checkpoints/Pc_trial_5_best_state.pt,"{'learning_rate': 0.0005834543402791266, 'lr_reduce': 0.6}",GPSampler,COMPLETE
6,0.04924972355365753,2025-04-26 08:48:13.836290,2025-04-26 08:48:26.861888,0 days 00:00:13.025598,0.029928875965686774,80,128,64,144.0,32.0,4,4,2,0.0036549986545436086,0.6,/work3/arnaou/checkpoints/Pc_trial_6_best_state.pt,"{'learning_rate': 0.0036549986545436086, 'lr_reduce': 0.6}",GPSampler,COMPLETE
7,0.0568966381251812,2025-04-26 08:48:20.911789,2025-04-26 08:48:39.335545,0 days 00:00:18.423756,0.2838116401981411,48,240,64,,,2,2,1,0.0006903819808535205,0.6,/work3/arnaou/checkpoints/Pc_trial_7_best_state.pt,"{'learning_rate': 0.0006903819808535205, 'lr_reduce': 0.6}",GPSampler,COMPLETE
8,0.07023721188306808,2025-04-26 08:48:27.036416,2025-04-26 08:48:45.943105,0 days 00:00:18.906689,0.2914364959818167,128,160,160,160.0,144.0,4,1,1,0.00023577927636702243,0.6,/work3/arnaou/checkpoints/Pc_trial_8_best_state.pt,"{'learning_rate': 0.00023577927636702243, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.05267002061009407,2025-04-26 08:48:29.958190,2025-04-26 08:48:45.694946,0 days 00:00:15.736756,0.21285898272990145,256,48,256,,,2,3,3,0.0003738985241521203,0.6,/work3/arnaou/checkpoints/Pc_trial_9_best_state.pt,"{'learning_rate': 0.0003738985241521203, 'lr_reduce': 0.6}",TPESampler,COMPLETE
