number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.057896923273801804,2025-04-25 00:30:34.275850,2025-04-25 00:32:55.280941,0 days 00:02:21.005091,0.16906950053353023,208,4,4,80,0.1672711790537384,80,1,1,80,0.08046251137029133,128,4,2,80,0.05685127339545495,336,168.0,40.0,3,2,0.0005399162347188898,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_0_best_state.pt,"{'learning_rate': 0.0005399162347188898, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.1001492366194725,2025-04-25 00:30:34.283300,2025-04-25 00:32:57.140611,0 days 00:02:22.857311,0.2116885116184006,96,3,4,128,0.09079465027043901,96,2,2,112,0.29624946597791846,32,4,3,96,0.07108844573857646,432,,,1,2,0.00021976733944759237,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_1_best_state.pt,"{'learning_rate': 0.00021976733944759237, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.0618206225335598,2025-04-25 00:30:34.342073,2025-04-25 00:32:39.681430,0 days 00:02:05.339357,0.002480846723045771,192,2,2,48,0.23996463555148997,80,3,1,112,0.06065948375805525,32,4,1,96,0.06687735409671655,472,,,1,1,0.005112718681660471,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_2_best_state.pt,"{'learning_rate': 0.005112718681660471, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.04295717179775238,2025-04-25 00:32:39.913872,2025-04-25 00:34:25.020176,0 days 00:01:45.106304,0.13966316119554123,64,3,4,80,0.27689358630130895,64,3,4,80,0.128609900019425,128,4,3,128,0.123507894153671,320,296.0,,2,2,0.0033442947070586983,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_3_best_state.pt,"{'learning_rate': 0.0033442947070586983, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.054344721138477325,2025-04-25 00:32:55.521213,2025-04-25 00:34:59.635589,0 days 00:02:04.114376,0.28167187240380126,256,2,2,128,0.13483496242748144,80,1,2,64,0.2941674390151614,112,4,4,128,0.22574058441701078,136,,,1,1,0.007266675219302896,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_4_best_state.pt,"{'learning_rate': 0.007266675219302896, 'lr_reduce': 0.6}",TPESampler,COMPLETE
5,0.9397352337837219,2025-04-25 00:32:57.332357,2025-04-25 00:33:31.092247,0 days 00:00:33.759890,0.04897656139003916,160,4,4,48,0.15570397619237158,64,2,3,80,0.29949751166511984,112,1,4,48,0.026398263985188453,168,496.0,408.0,3,2,0.00036232798896694763,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_5_best_state.pt,"{'learning_rate': 0.00036232798896694763, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.05980060622096062,2025-04-25 00:33:31.310831,2025-04-25 00:34:54.917749,0 days 00:01:23.606918,0.22580977122091375,128,4,1,32,0.013310632892852491,192,1,4,96,0.06730154680696793,32,3,2,80,0.1308167590906106,376,296.0,,2,2,0.0015026871385139657,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_6_best_state.pt,"{'learning_rate': 0.0015026871385139657, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.05539080128073692,2025-04-25 00:34:25.249179,2025-04-25 00:38:32.603755,0 days 00:04:07.354576,0.07613164677201383,224,3,4,80,0.06744202844774218,192,2,2,80,0.02090576209317403,128,1,4,112,0.1311845896555627,440,,,1,2,0.00021296656470354936,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_7_best_state.pt,"{'learning_rate': 0.00021296656470354936, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.06775470823049545,2025-04-25 00:34:55.108943,2025-04-25 00:37:36.357872,0 days 00:02:41.248929,0.017690232422352146,64,1,4,96,0.08801884636706578,80,1,3,96,0.1738941776300321,96,3,2,96,0.21607989194556954,376,,,1,2,0.0013821650471281274,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_8_best_state.pt,"{'learning_rate': 0.0013821650471281274, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.9466049075126648,2025-04-25 00:35:00.029542,2025-04-25 00:35:43.821922,0 days 00:00:43.792380,0.1818648245535582,128,4,4,48,0.01727686035181266,96,4,4,128,0.2520386474612762,48,4,2,112,0.24834404960485137,160,296.0,448.0,3,1,0.00025788725595254306,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_9_best_state.pt,"{'learning_rate': 0.00025788725595254306, 'lr_reduce': 0.6}",TPESampler,COMPLETE
10,0.13085542619228363,2025-04-25 00:35:44.099614,2025-04-25 00:40:40.807961,0 days 00:04:56.708347,0.10735044941769406,64,4,3,128,0.2607788988363498,208,1,3,96,0.07056516036423365,96,1,4,112,0.1619275109213795,272,,,1,2,0.0006811290754418726,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_10_best_state.pt,"{'learning_rate': 0.0006811290754418726, 'lr_reduce': 0.6}",TPESampler,COMPLETE
11,0.06035114824771881,2025-04-25 00:37:36.605259,2025-04-25 00:39:28.516845,0 days 00:01:51.911586,0.07880779142378723,256,4,1,64,0.10190411731005253,64,3,1,80,0.29906304393259425,96,2,1,112,0.016374987521295625,376,224.0,,2,1,0.0011875495988328169,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_11_best_state.pt,"{'learning_rate': 0.0011875495988328169, 'lr_reduce': 0.6}",TPESampler,COMPLETE
12,0.053540702909231186,2025-04-25 00:38:32.754834,2025-04-25 00:40:16.135380,0 days 00:01:43.380546,0.09243659043904695,64,2,3,96,0.27589635716889005,144,4,4,64,0.16069039101998106,128,4,4,96,0.18369850221582962,368,32.0,,2,2,0.005764128940383008,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_12_best_state.pt,"{'learning_rate': 0.005764128940383008, 'lr_reduce': 0.6}",TPESampler,COMPLETE
13,0.053130511194467545,2025-04-25 00:39:41.345658,2025-04-25 00:42:00.003861,0 days 00:02:18.658203,0.29043329336841633,208,2,2,128,0.19406073961924983,144,1,3,80,0.2267319600522098,80,4,3,128,0.16767345850995555,88,,,1,2,0.005663799513791571,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_13_best_state.pt,"{'learning_rate': 0.005663799513791571, 'lr_reduce': 0.6}",TPESampler,COMPLETE
14,0.048421461135149,2025-04-25 00:40:16.396995,2025-04-25 00:42:03.748670,0 days 00:01:47.351675,0.09850042532087817,112,1,3,80,0.2119823305336866,128,4,4,80,0.1559402289621382,128,3,4,96,0.18819882438836946,144,40.0,,2,2,0.008457112501126905,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_14_best_state.pt,"{'learning_rate': 0.008457112501126905, 'lr_reduce': 0.6}",TPESampler,COMPLETE
15,0.24111415445804596,2025-04-25 00:40:40.949461,2025-04-25 00:43:21.054974,0 days 00:02:40.105513,0.1272586346184694,96,4,4,32,0.2165820941919466,80,4,4,64,0.09093633874395676,112,3,2,128,0.1699615941105162,376,,,1,2,0.0009387599627722278,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_15_best_state.pt,"{'learning_rate': 0.0009387599627722278, 'lr_reduce': 0.6}",TPESampler,COMPLETE
16,0.05005782097578049,2025-04-25 00:42:00.138726,2025-04-25 00:43:39.790895,0 days 00:01:39.652169,0.18903548222867353,192,1,2,112,0.20524417168368614,144,2,3,80,0.1437320855634887,48,4,2,128,0.09448745929220277,144,,,1,2,0.00892026391895338,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_16_best_state.pt,"{'learning_rate': 0.00892026391895338, 'lr_reduce': 0.6}",TPESampler,COMPLETE
17,0.04919861629605293,2025-04-25 00:42:03.929119,2025-04-25 00:43:49.832471,0 days 00:01:45.903352,0.13412265771710993,128,1,3,64,0.1675014051039781,160,3,4,112,0.11441254482727495,96,3,4,80,0.2284268145539206,104,112.0,,2,2,0.005696343847787453,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_17_best_state.pt,"{'learning_rate': 0.005696343847787453, 'lr_reduce': 0.6}",TPESampler,COMPLETE
18,0.057353779673576355,2025-04-25 00:43:21.247230,2025-04-25 00:45:11.681333,0 days 00:01:50.434103,0.22464225121009496,96,4,3,80,0.2998861561295922,96,2,4,96,0.03507418657914409,128,4,3,112,0.07959565035459255,296,392.0,224.0,3,2,0.006350426665560499,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_18_best_state.pt,"{'learning_rate': 0.006350426665560499, 'lr_reduce': 0.6}",TPESampler,COMPLETE
19,0.04910852760076523,2025-04-25 00:43:39.922288,2025-04-25 00:46:11.091133,0 days 00:02:31.168845,0.11903366305414001,112,3,4,96,0.22199444501504922,112,3,4,96,0.2608763588204187,112,4,2,96,0.0743573759401096,448,,,1,2,0.003631016823012177,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_19_best_state.pt,"{'learning_rate': 0.003631016823012177, 'lr_reduce': 0.6}",TPESampler,COMPLETE
20,0.04314442723989487,2025-04-25 00:43:49.973879,2025-04-25 00:45:47.498912,0 days 00:01:57.525033,0.17577529380154022,64,3,3,128,0.1905068553365023,64,3,3,64,0.15326011746174711,128,4,3,112,0.07929578613271995,176,96.0,,2,2,0.0024026353093965914,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_20_best_state.pt,"{'learning_rate': 0.0024026353093965914, 'lr_reduce': 0.6}",TPESampler,COMPLETE
21,0.04844064265489578,2025-04-25 00:45:11.824883,2025-04-25 00:47:00.269245,0 days 00:01:48.444362,0.13828514893108368,128,2,3,48,0.15824057455585064,160,4,3,48,0.18161977617441868,128,2,2,112,0.17015460097552335,184,40.0,,2,2,0.007726848963346119,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_21_best_state.pt,"{'learning_rate': 0.007726848963346119, 'lr_reduce': 0.6}",TPESampler,COMPLETE
22,0.05491931363940239,2025-04-25 00:45:47.803516,2025-04-25 00:47:23.064789,0 days 00:01:35.261273,0.09451463386778787,96,3,3,128,0.11042314158047246,64,3,2,96,0.18071749851248328,128,4,4,80,0.10735617217075363,280,208.0,264.0,3,1,0.0032950860706006503,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_22_best_state.pt,"{'learning_rate': 0.0032950860706006503, 'lr_reduce': 0.6}",TPESampler,COMPLETE
23,0.045083072036504745,2025-04-25 00:46:11.352845,2025-04-25 00:47:39.940502,0 days 00:01:28.587657,0.058758870567500274,112,1,4,96,0.25027653950264905,96,4,4,96,0.23821149813126152,128,3,4,96,0.20936052817945822,120,104.0,,2,1,0.00726180802103409,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_23_best_state.pt,"{'learning_rate': 0.00726180802103409, 'lr_reduce': 0.6}",TPESampler,COMPLETE
24,0.05004313215613365,2025-04-25 00:47:00.469245,2025-04-25 00:49:27.747125,0 days 00:02:27.277880,0.16189288400815094,64,3,4,128,0.25436277741935526,112,3,3,48,0.21697681384729578,128,3,3,112,0.13909724602511037,168,,,1,2,0.0027724113900684405,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_24_best_state.pt,"{'learning_rate': 0.0027724113900684405, 'lr_reduce': 0.6}",TPESampler,COMPLETE
25,0.0642416775226593,2025-04-25 00:47:23.204860,2025-04-25 00:50:27.175674,0 days 00:03:03.970814,0.25355107187270853,64,3,4,112,0.17824882179017026,64,3,3,112,0.08374213022227578,128,4,2,112,0.11575382052778124,176,32.0,,2,2,0.0013700382223604903,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_25_best_state.pt,"{'learning_rate': 0.0013700382223604903, 'lr_reduce': 0.6}",TPESampler,COMPLETE
26,0.06925617158412933,2025-04-25 00:47:40.141439,2025-04-25 00:52:25.167167,0 days 00:04:45.025728,0.02069369318789832,80,1,4,112,0.2877309931680746,160,3,4,80,0.297352813490038,112,3,4,96,0.22379631935312072,176,160.0,,2,1,0.0009424956596546472,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_26_best_state.pt,"{'learning_rate': 0.0009424956596546472, 'lr_reduce': 0.6}",TPESampler,COMPLETE
27,0.08365598320960999,2025-04-25 00:49:27.880856,2025-04-25 00:52:11.548933,0 days 00:02:43.668077,0.06843242856974109,96,2,4,64,0.2602909541760303,64,2,4,80,0.16942298202731482,128,4,2,128,0.08664301759609977,224,152.0,,2,2,0.0007905510285709287,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_27_best_state.pt,"{'learning_rate': 0.0007905510285709287, 'lr_reduce': 0.6}",TPESampler,COMPLETE
28,0.054172828793525696,2025-04-25 00:50:27.336883,2025-04-25 00:51:56.682119,0 days 00:01:29.345236,0.07103221315180817,144,3,4,80,0.26034145008369963,64,4,2,96,0.2924646806009476,128,3,4,64,0.20302068772523094,112,360.0,,2,1,0.006885909024583917,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_28_best_state.pt,"{'learning_rate': 0.006885909024583917, 'lr_reduce': 0.6}",TPESampler,COMPLETE
29,0.03710086643695831,2025-04-25 00:51:56.853581,2025-04-25 00:53:26.986191,0 days 00:01:30.132610,0.08701896109947423,112,1,4,96,0.24802058563994014,80,4,4,96,0.2175153437362114,128,3,3,112,0.2844444180737014,144,144.0,,2,1,0.00398468556165222,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_29_best_state.pt,"{'learning_rate': 0.00398468556165222, 'lr_reduce': 0.6}",TPESampler,COMPLETE
30,0.049254972487688065,2025-04-25 00:52:11.806831,2025-04-25 00:53:45.340183,0 days 00:01:33.533352,0.18141682020520536,80,3,1,112,0.16406749531863632,64,3,4,64,0.09000143269561973,112,3,3,112,0.001123016168346716,256,264.0,,2,2,0.004261868732255365,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_30_best_state.pt,"{'learning_rate': 0.004261868732255365, 'lr_reduce': 0.6}",TPESampler,COMPLETE
31,0.2807858884334564,2025-04-25 00:52:25.302814,2025-04-25 00:53:42.406729,0 days 00:01:17.103915,0.21924617509718564,160,4,3,96,0.24665220068996443,80,4,3,48,0.15280740183361366,128,4,3,96,0.03214298263143499,80,128.0,,2,2,0.001703073632928614,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_31_best_state.pt,"{'learning_rate': 0.001703073632928614, 'lr_reduce': 0.6}",TPESampler,COMPLETE
32,0.2061147689819336,2025-04-25 00:53:27.138814,2025-04-25 00:54:08.253393,0 days 00:00:41.114579,0.005283755153739869,192,2,3,112,0.2462378156685187,80,4,3,96,0.2263657219805633,112,2,2,128,0.2605886210585286,168,224.0,,2,1,0.0023539790745993818,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_32_best_state.pt,"{'learning_rate': 0.0023539790745993818, 'lr_reduce': 0.6}",TPESampler,COMPLETE
33,0.04683772101998329,2025-04-25 00:53:42.608495,2025-04-25 00:54:42.368699,0 days 00:00:59.760204,0.1325675161677919,64,1,3,128,0.19238832673392753,112,3,4,96,0.237265305907546,112,3,2,128,0.24487263189658326,160,136.0,136.0,3,1,0.004289044179110575,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_33_best_state.pt,"{'learning_rate': 0.004289044179110575, 'lr_reduce': 0.6}",TPESampler,COMPLETE
34,0.053237345069646835,2025-04-25 00:53:45.486277,2025-04-25 00:54:36.490545,0 days 00:00:51.004268,0.15443537946729635,80,1,4,128,0.21718002601416844,64,4,4,80,0.23606379094045046,128,2,4,64,0.19880535723486933,72,120.0,,2,1,0.006982126349273951,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_34_best_state.pt,"{'learning_rate': 0.006982126349273951, 'lr_reduce': 0.6}",TPESampler,COMPLETE
35,0.05346081033349037,2025-04-25 00:54:08.482790,2025-04-25 00:55:10.024242,0 days 00:01:01.541452,0.01475870686233896,112,2,4,112,0.28127679034449515,80,4,4,112,0.19256917891474448,128,3,4,96,0.27719931126185493,80,120.0,,2,1,0.007260845779348982,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_35_best_state.pt,"{'learning_rate': 0.007260845779348982, 'lr_reduce': 0.6}",TPESampler,COMPLETE
36,0.04293857887387276,2025-04-25 00:54:36.753216,2025-04-25 00:55:31.747466,0 days 00:00:54.994250,0.06749469059200501,112,1,3,112,0.2603262828791282,64,4,4,128,0.2253523126730048,128,4,4,80,0.07287285883238301,96,120.0,,2,1,0.005883769316215781,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_36_best_state.pt,"{'learning_rate': 0.005883769316215781, 'lr_reduce': 0.6}",TPESampler,COMPLETE
37,0.261690229177475,2025-04-25 00:54:42.534386,2025-04-25 00:57:29.972434,0 days 00:02:47.438048,0.07700943349229794,64,3,4,128,0.18201542852828714,80,3,4,80,0.06383943359784643,128,4,4,112,0.04461131697570966,216,,,1,2,0.0012616558358672788,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_37_best_state.pt,"{'learning_rate': 0.0012616558358672788, 'lr_reduce': 0.6}",TPESampler,COMPLETE
38,0.04435942694544792,2025-04-25 00:55:10.161446,2025-04-25 00:57:31.556138,0 days 00:02:21.394692,0.19687982175779567,64,3,3,128,0.1462764833914852,64,2,3,80,0.12630821124807645,128,4,3,96,0.07225676276684212,120,336.0,496.0,3,2,0.006673355700018115,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_38_best_state.pt,"{'learning_rate': 0.006673355700018115, 'lr_reduce': 0.6}",TPESampler,COMPLETE
39,0.15488235652446747,2025-04-25 00:55:31.994602,2025-04-25 00:57:57.326042,0 days 00:02:25.331440,0.044032401589324296,64,1,2,112,0.2591740797932105,80,3,4,112,0.212960323432012,96,4,4,96,0.026827875199510215,32,200.0,,2,1,0.0021908114206273597,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_39_best_state.pt,"{'learning_rate': 0.0021908114206273597, 'lr_reduce': 0.6}",TPESampler,COMPLETE
40,0.048253756016492844,2025-04-25 00:57:30.265473,2025-04-25 00:58:56.135018,0 days 00:01:25.869545,0.12886112616686582,64,3,4,64,0.28083279872065153,64,3,4,32,0.09989046704502438,112,3,3,128,0.11324175828289862,304,128.0,296.0,3,1,0.004012606137680669,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_40_best_state.pt,"{'learning_rate': 0.004012606137680669, 'lr_reduce': 0.6}",TPESampler,COMPLETE
41,0.146852046251297,2025-04-25 00:57:31.857180,2025-04-25 01:01:11.776585,0 days 00:03:39.919405,0.09364073165469619,128,1,4,128,0.17501596067949338,80,4,4,112,0.1642609697131,128,3,4,112,0.004881406877169189,224,216.0,,2,1,0.0015710399123580266,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_41_best_state.pt,"{'learning_rate': 0.0015710399123580266, 'lr_reduce': 0.6}",TPESampler,COMPLETE
42,0.051278941333293915,2025-04-25 00:57:57.572503,2025-04-25 00:59:43.633674,0 days 00:01:46.061171,0.07361536212214123,176,1,4,80,0.2550375936069259,80,3,4,96,0.2744871078788495,128,4,3,32,0.02643576571794736,200,,,1,1,0.002547972413517076,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_42_best_state.pt,"{'learning_rate': 0.002547972413517076, 'lr_reduce': 0.6}",TPESampler,COMPLETE
43,0.05814595893025398,2025-04-25 00:58:56.303223,2025-04-25 01:00:28.401439,0 days 00:01:32.098216,0.19759587359518313,80,3,3,128,0.1012506802700121,96,1,2,80,0.14713315609972116,128,4,2,96,0.05736523342231548,152,400.0,512.0,3,2,0.009406676107898597,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_43_best_state.pt,"{'learning_rate': 0.009406676107898597, 'lr_reduce': 0.6}",TPESampler,COMPLETE
44,0.04895840212702751,2025-04-25 00:59:43.882439,2025-04-25 01:01:30.762993,0 days 00:01:46.880554,0.16667401149700453,144,2,4,96,0.16192134619014042,64,4,4,96,0.2275740853274524,96,3,2,112,0.29582683706607393,88,,,1,1,0.007632487157618614,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_44_best_state.pt,"{'learning_rate': 0.007632487157618614, 'lr_reduce': 0.6}",TPESampler,COMPLETE
45,0.06545757502317429,2025-04-25 01:00:28.591379,2025-04-25 01:02:12.644245,0 days 00:01:44.052866,0.18412827939283102,64,3,3,112,0.18387597033651829,96,2,2,48,0.11516251729683624,96,4,4,80,0.015287461961730309,80,336.0,,2,2,0.0016935312598049589,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_45_best_state.pt,"{'learning_rate': 0.0016935312598049589, 'lr_reduce': 0.6}",TPESampler,COMPLETE
46,0.051027312874794006,2025-04-25 01:01:12.012285,2025-04-25 01:03:50.900753,0 days 00:02:38.888468,0.09992850961629215,96,2,3,112,0.290718546982178,96,3,4,128,0.20239436428976426,128,4,4,80,0.0700154580716935,232,,,1,1,0.008347253340647882,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_46_best_state.pt,"{'learning_rate': 0.008347253340647882, 'lr_reduce': 0.6}",TPESampler,COMPLETE
47,0.04618316888809204,2025-04-25 01:01:30.971949,2025-04-25 01:03:53.218218,0 days 00:02:22.246269,0.16380435285203335,64,3,3,96,0.19628255974048747,80,2,4,64,0.1450803656884446,112,4,3,112,0.09296067956396772,248,312.0,,2,2,0.004955994004485703,0.6,/work3/arnaou/checkpoints/groupgat_Pc_trial_47_best_state.pt,"{'learning_rate': 0.004955994004485703, 'lr_reduce': 0.6}",TPESampler,COMPLETE
