number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.8867080211639404,2025-04-26 07:10:24.908223,2025-04-26 07:10:33.692113,0 days 00:00:08.783890,2,116,424,415.0,300.0,,3,47,0.1862368881260281,0.0001555569958937231,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_0_best_state.pt,"{'learning_rate': 0.0001555569958937231, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.8868734240531921,2025-04-26 07:10:24.913118,2025-04-26 07:10:33.866194,0 days 00:00:08.953076,1,66,371,482.0,329.0,428.0,4,69,0.009551786400850942,0.0003731491536848885,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1_best_state.pt,"{'learning_rate': 0.0003731491536848885, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.8863527178764343,2025-04-26 07:10:24.930396,2025-04-26 07:10:36.700341,0 days 00:00:11.769945,2,47,195,362.0,354.0,141.0,4,35,0.1714560230827727,0.00010224470615729455,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_2_best_state.pt,"{'learning_rate': 0.00010224470615729455, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.16363829374313354,2025-04-26 07:10:33.836625,2025-04-26 07:11:02.200019,0 days 00:00:28.363394,1,125,320,,,,1,102,0.18576260751159213,0.000271463361722098,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_3_best_state.pt,"{'learning_rate': 0.000271463361722098, 'lr_reduce': 0.6}",TPESampler,COMPLETE
4,0.886683464050293,2025-04-26 07:10:33.974123,2025-04-26 07:10:41.753172,0 days 00:00:07.779049,4,99,320,287.0,335.0,,3,35,0.04348970130644236,0.00019308062912037297,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_4_best_state.pt,"{'learning_rate': 0.00019308062912037297, 'lr_reduce': 0.6}",TPESampler,COMPLETE
5,0.18038062751293182,2025-04-26 07:10:36.833440,2025-04-26 07:11:05.056625,0 days 00:00:28.223185,1,128,275,348.0,162.0,,3,83,0.18430570251354936,0.0017775135014380934,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_5_best_state.pt,"{'learning_rate': 0.0017775135014380934, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.8869312405586243,2025-04-26 07:10:41.885994,2025-04-26 07:10:48.144267,0 days 00:00:06.258273,4,38,509,345.0,129.0,345.0,4,99,0.18843185599568185,0.006894303124363826,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_6_best_state.pt,"{'learning_rate': 0.006894303124363826, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.8874245882034302,2025-04-26 07:10:48.311471,2025-04-26 07:10:55.213504,0 days 00:00:06.902033,3,125,374,419.0,,,2,91,0.14119630259932633,0.00032449965629647817,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_7_best_state.pt,"{'learning_rate': 0.00032449965629647817, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.2028689831495285,2025-04-26 07:10:55.377561,2025-04-26 07:11:33.955471,0 days 00:00:38.577910,3,74,282,226.0,119.0,,3,94,0.1864239759141139,0.00414171723255765,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_8_best_state.pt,"{'learning_rate': 0.00414171723255765, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.15587331354618073,2025-04-26 07:11:02.348698,2025-04-26 07:11:27.464486,0 days 00:00:25.115788,2,40,352,,,,1,99,0.16680747845707766,0.0022215383635857287,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_9_best_state.pt,"{'learning_rate': 0.0022215383635857287, 'lr_reduce': 0.6}",TPESampler,COMPLETE
