number,value,datetime_start,datetime_complete,duration,params_constant_value,params_kernel_type,params_length_scale,params_noise_level,params_nu,system_attrs_auto:sampler,state
0,0.992835058390403,2025-04-24 20:57:15.387341,2025-04-24 20:57:18.157384,0 days 00:00:02.770043,1100.047440188234,Matern,0.003247341272468209,1.022989986773195e-06,1.5,RandomSampler,COMPLETE
1,0.2825175520807404,2025-04-24 20:57:15.403786,2025-04-24 20:57:20.579439,0 days 00:00:05.175653,0.9021010809636154,RBF,0.28321792106511157,8.733543334157903e-05,2.5,RandomSampler,COMPLETE
2,0.9329374977938542,2025-04-24 20:57:15.463070,2025-04-24 20:57:19.773068,0 days 00:00:04.309998,0.3574084819331545,RBF,0.010812990689221055,7.634893524572228e-05,0.5,RandomSampler,COMPLETE
3,0.28251741810608627,2025-04-24 20:57:18.357752,2025-04-24 20:57:37.372497,0 days 00:00:19.014745,1.2573772420921318e-06,RBF,46.646250310791544,0.27257356422363793,0.5,TPESampler,COMPLETE
4,0.932937497335416,2025-04-24 20:57:19.968895,2025-04-24 20:57:25.701714,0 days 00:00:05.732819,0.631168860161446,RBF,9.97200322379612e-05,3.0713180829227152e-06,0.5,TPESampler,COMPLETE
5,0.9329374977774733,2025-04-24 20:57:20.798451,2025-04-24 20:57:28.244266,0 days 00:00:07.445815,3.6864055968589934e-06,RBF,782.5984516072865,0.0012864859486576312,0.5,TPESampler,COMPLETE
6,0.9928365741163164,2025-04-24 20:57:25.991775,2025-04-24 20:57:30.995368,0 days 00:00:05.003593,0.00014633235055212966,Matern,81351.13198756389,0.9430741742409784,2.5,TPESampler,COMPLETE
7,0.932937497745685,2025-04-24 20:57:28.436572,2025-04-24 20:57:50.357740,0 days 00:00:21.921168,0.0007651296249835254,Matern,0.015838242784669106,0.0994086471881509,1.5,TPESampler,COMPLETE
8,0.9329374597977212,2025-04-24 20:57:31.513850,2025-04-24 20:57:49.095789,0 days 00:00:17.581939,0.9276014221014081,RBF,0.1727403738681817,1.6783173007355066e-06,0.5,TPESampler,COMPLETE
9,0.9329374977442654,2025-04-24 20:57:38.577826,2025-04-24 20:57:50.715511,0 days 00:00:12.137685,93772.66997357036,Matern,0.0002610110292728976,0.027944672532437716,2.5,TPESampler,COMPLETE
10,0.9329374977485281,2025-04-24 20:57:49.619420,2025-04-24 20:57:56.426000,0 days 00:00:06.806580,0.35693312718298376,RBF,18292.458034844316,6.383212073723508e-06,0.5,TPESampler,COMPLETE
11,0.9329374976923267,2025-04-24 20:57:50.536722,2025-04-24 20:57:56.266718,0 days 00:00:05.729996,0.0011470109861978011,Matern,20.123908077497113,3.581110293060797e-07,2.5,TPESampler,COMPLETE
12,0.2623834784491581,2025-04-24 20:57:50.906486,2025-04-24 20:57:57.047512,0 days 00:00:06.141026,4.901465329313476e-07,Matern,0.1920643912513235,0.005104325403389845,0.5,TPESampler,COMPLETE
13,0.28251755402165496,2025-04-24 20:57:56.424581,2025-04-24 20:58:08.104774,0 days 00:00:11.680193,0.006053583488709491,RBF,1.0080611666546297,0.042094663569051935,2.5,TPESampler,COMPLETE
14,0.2825175420254021,2025-04-24 20:57:56.589985,2025-04-24 20:58:10.060606,0 days 00:00:13.470621,4.357365664533176e-06,RBF,7.784610903756648,0.45500037401976734,0.5,TPESampler,COMPLETE
15,0.9329374978680524,2025-04-24 20:57:57.255498,2025-04-24 20:58:05.239480,0 days 00:00:07.983982,0.0002819499804239925,Matern,0.01149203336434703,7.59689056096307e-05,0.5,TPESampler,COMPLETE
16,0.9329374971155003,2025-04-24 20:58:05.449661,2025-04-24 20:58:12.641312,0 days 00:00:07.191651,1.6086774903949267e-05,Matern,2602.3898798659875,2.77012013809366e-06,0.5,TPESampler,COMPLETE
17,0.2634372147210833,2025-04-24 20:58:08.297607,2025-04-24 20:58:15.860894,0 days 00:00:07.563287,6.399744351573078e-07,Matern,0.4294586540605583,0.02928744729239688,0.5,TPESampler,COMPLETE
18,0.26238350412942835,2025-04-24 20:58:10.282216,2025-04-24 20:58:14.589612,0 days 00:00:04.307396,0.15322725703481108,Matern,18.366560190053328,0.4647299804539658,0.5,TPESampler,COMPLETE
19,0.9928349895828595,2025-04-24 20:58:12.865594,2025-04-24 20:58:15.632325,0 days 00:00:02.766731,1.4217175924467217e-06,RBF,0.00017750835986428024,0.10547298213276787,0.5,TPESampler,COMPLETE
20,0.2678746923380371,2025-04-24 20:58:14.781277,2025-04-24 20:58:19.506014,0 days 00:00:04.724737,3.1271679247042727,Matern,817.3343396763598,0.087070669736286,1.5,TPESampler,COMPLETE
21,0.2623834919588474,2025-04-24 20:58:15.809787,2025-04-24 20:58:21.210673,0 days 00:00:05.400886,0.041675985554480065,Matern,7.105129136920007,0.06069458747231863,0.5,TPESampler,COMPLETE
22,0.26238352636885837,2025-04-24 20:58:16.043208,2025-04-24 20:58:19.760612,0 days 00:00:03.717404,15866.78658205419,Matern,1.0408931380049566,0.026615194187650078,0.5,TPESampler,COMPLETE
23,0.26238347937282064,2025-04-24 20:58:19.699963,2025-04-24 20:58:23.420561,0 days 00:00:03.720598,4816.7467896215285,Matern,13.827950368707636,0.19775768761260393,0.5,TPESampler,COMPLETE
24,0.9928350578917916,2025-04-24 20:58:19.929896,2025-04-24 20:58:22.954296,0 days 00:00:03.024400,64982.832325160474,Matern,0.10020467045904796,1.9001729902549337e-05,0.5,TPESampler,COMPLETE
25,0.2623837714060621,2025-04-24 20:58:21.406713,2025-04-24 20:58:26.708630,0 days 00:00:05.301917,0.014332719267811832,Matern,0.7966319831786745,0.06947139634083455,0.5,TPESampler,COMPLETE
26,0.26238347899574604,2025-04-24 20:58:23.310770,2025-04-24 20:58:28.622906,0 days 00:00:05.312136,9621.960235043647,Matern,17387.576861439742,0.015856258349376377,0.5,TPESampler,COMPLETE
27,0.282517602797519,2025-04-24 20:58:23.583230,2025-04-24 20:58:35.501827,0 days 00:00:11.918597,15613.285451311445,RBF,4.782570648777861,0.23555366355126714,1.5,TPESampler,COMPLETE
28,0.9329374955563334,2025-04-24 20:58:26.930704,2025-04-24 20:58:30.565953,0 days 00:00:03.635249,6.503403349440837,RBF,0.024200607076435676,0.6932539836222319,0.5,TPESampler,COMPLETE
29,0.932937497394598,2025-04-24 20:58:28.856590,2025-04-24 20:58:35.552478,0 days 00:00:06.695888,1121.4451509086527,RBF,9337.800425993633,0.01671542351838697,0.5,TPESampler,COMPLETE
