number,value,datetime_start,datetime_complete,duration,params_final_dropout,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,,2025-04-25 16:46:13.613930,2025-04-25 16:46:14.083266,0 days 00:00:00.469336,0.2701583574384436,48,80,,,2,0.0009280498838742325,0.6,,,RandomSampler,FAIL
1,,2025-04-25 16:46:13.629066,2025-04-25 16:46:14.088013,0 days 00:00:00.458947,0.0660293439319925,224,512,432.0,,3,0.0002195491488845299,0.6,,,RandomSampler,FAIL
2,,2025-04-25 16:46:13.696096,2025-04-25 16:46:14.282257,0 days 00:00:00.586161,0.04879471271805639,464,208,496.0,384.0,4,0.005234136275556681,0.6,,,RandomSampler,FAIL
3,,2025-04-25 16:49:24.900661,2025-04-25 16:49:25.394489,0 days 00:00:00.493828,0.19672750334714414,208,256,,,2,0.0002418857616418515,0.6,,,RandomSampler,FAIL
4,,2025-04-25 16:49:24.914271,2025-04-25 16:49:25.412070,0 days 00:00:00.497799,0.0475089402965135,464,496,,,2,0.0004885920597272616,0.6,,,RandomSampler,FAIL
5,,2025-04-25 16:49:24.972099,2025-04-25 16:49:25.515482,0 days 00:00:00.543383,0.09013042423853333,384,384,336.0,,3,0.004971647839637665,0.6,,,RandomSampler,FAIL
6,0.08809211850166321,2025-04-25 16:55:47.417080,2025-04-25 16:55:57.227262,0 days 00:00:09.810182,0.12838299436441084,64,432,128.0,,3,0.007529967522310334,0.6,checkpoints/mlp_Pc_trial_6_best_state.pt,"{'learning_rate': 0.007529967522310334, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
7,0.08462473750114441,2025-04-25 16:55:47.430130,2025-04-25 16:55:55.566564,0 days 00:00:08.136434,0.20725302333549547,256,352,112.0,,3,0.009657478295603554,0.6,checkpoints/mlp_Pc_trial_7_best_state.pt,"{'learning_rate': 0.009657478295603554, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
8,0.08469945192337036,2025-04-25 16:55:47.488674,2025-04-25 16:55:57.228404,0 days 00:00:09.739730,0.0900851695360609,240,272,432.0,,3,0.00732398525969702,0.6,checkpoints/mlp_Pc_trial_8_best_state.pt,"{'learning_rate': 0.00732398525969702, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
9,0.0892491340637207,2025-04-25 16:55:55.771420,2025-04-25 16:56:04.013890,0 days 00:00:08.242470,0.23614319392514047,176,192,,,2,0.004777005977126313,0.6,checkpoints/mlp_Pc_trial_9_best_state.pt,"{'learning_rate': 0.004777005977126313, 'lr_reduce': 0.6}",GPSampler,COMPLETE
10,0.10596390068531036,2025-04-25 16:55:57.406257,2025-04-25 16:56:07.553524,0 days 00:00:10.147267,0.12022614960512423,192,32,,,2,0.002777367561054658,0.6,checkpoints/mlp_Pc_trial_10_best_state.pt,"{'learning_rate': 0.002777367561054658, 'lr_reduce': 0.6}",GPSampler,COMPLETE
11,0.10006390511989594,2025-04-25 16:55:57.527167,2025-04-25 16:56:06.597165,0 days 00:00:09.069998,0.2180187109466268,64,448,480.0,144.0,4,0.005946484626646306,0.6,checkpoints/mlp_Pc_trial_11_best_state.pt,"{'learning_rate': 0.005946484626646306, 'lr_reduce': 0.6}",GPSampler,COMPLETE
12,0.08596409112215042,2025-04-25 16:56:04.215993,2025-04-25 16:56:11.915266,0 days 00:00:07.699273,0.22715438605685287,336,240,,,2,0.009463766699126958,0.6,checkpoints/mlp_Pc_trial_12_best_state.pt,"{'learning_rate': 0.009463766699126958, 'lr_reduce': 0.6}",TPESampler,COMPLETE
13,0.11029224842786789,2025-04-25 16:56:06.841809,2025-04-25 16:56:32.494925,0 days 00:00:25.653116,0.033677050491501846,304,144,,,2,0.0002888769304557441,0.6,checkpoints/mlp_Pc_trial_13_best_state.pt,"{'learning_rate': 0.0002888769304557441, 'lr_reduce': 0.6}",TPESampler,COMPLETE
14,0.08295676112174988,2025-04-25 16:56:07.811982,2025-04-25 16:56:17.110759,0 days 00:00:09.298777,0.12398117630039301,64,400,,,2,0.004057970743627167,0.6,checkpoints/mlp_Pc_trial_14_best_state.pt,"{'learning_rate': 0.004057970743627167, 'lr_reduce': 0.6}",TPESampler,COMPLETE
15,0.11691173166036606,2025-04-25 16:56:12.133055,2025-04-25 16:56:21.720904,0 days 00:00:09.587849,0.22818852790960203,80,144,512.0,,3,0.0019828784909608093,0.6,checkpoints/mlp_Pc_trial_15_best_state.pt,"{'learning_rate': 0.0019828784909608093, 'lr_reduce': 0.6}",TPESampler,COMPLETE
