number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
0,0.7408295896593907,2025-04-24 21:17:43.527673,2025-04-24 21:17:45.195753,0 days 00:00:01.668080,False,squared_error,22,sqrt,6,20,532,RandomSampler,COMPLETE
1,0.6649744744321603,2025-04-24 21:17:43.542335,2025-04-24 21:17:45.190836,0 days 00:00:01.648501,False,squared_error,9,,11,25,185,RandomSampler,COMPLETE
2,0.6598587210117527,2025-04-24 21:17:43.605160,2025-04-24 21:17:48.018403,0 days 00:00:04.413243,False,squared_error,7,,15,47,955,RandomSampler,COMPLETE
3,0.6283955771119427,2025-04-24 21:17:45.456156,2025-04-24 21:18:01.640505,0 days 00:00:16.184349,False,absolute_error,28,log2,1,16,789,TPESampler,COMPLETE
4,0.8604903459044672,2025-04-24 21:17:45.620435,2025-04-24 21:17:48.019932,0 days 00:00:02.399497,True,squared_error,42,sqrt,7,23,933,TPESampler,COMPLETE
5,0.7243059080687451,2025-04-24 21:17:48.250064,2025-04-24 21:17:51.233814,0 days 00:00:02.983750,True,squared_error,10,sqrt,2,26,999,TPESampler,COMPLETE
6,0.8514227742088778,2025-04-24 21:17:48.348161,2025-04-24 21:17:50.571798,0 days 00:00:02.223637,True,squared_error,50,log2,2,18,243,TPESampler,COMPLETE
7,0.9711363243872986,2025-04-24 21:17:50.798946,2025-04-24 21:17:52.442159,0 days 00:00:01.643213,True,squared_error,7,log2,11,5,607,TPESampler,COMPLETE
8,0.572751233629288,2025-04-24 21:17:51.421986,2025-04-24 21:17:59.772441,0 days 00:00:08.350455,True,absolute_error,11,,8,35,447,TPESampler,COMPLETE
9,0.5248068653099038,2025-04-24 21:17:52.792434,2025-04-24 21:18:07.982435,0 days 00:00:15.190001,True,absolute_error,37,,6,27,667,TPESampler,COMPLETE
10,0.938286901248003,2025-04-24 21:17:59.937770,2025-04-24 21:18:01.932584,0 days 00:00:01.994814,False,absolute_error,19,log2,11,2,857,TPESampler,COMPLETE
11,0.5168813452229517,2025-04-24 21:18:01.806640,2025-04-24 21:18:13.222731,0 days 00:00:11.416091,False,absolute_error,28,,7,15,292,TPESampler,COMPLETE
12,0.8420656699078768,2025-04-24 21:18:02.058842,2025-04-24 21:18:03.352209,0 days 00:00:01.293367,True,absolute_error,17,sqrt,6,24,224,TPESampler,COMPLETE
13,0.5839728897711854,2025-04-24 21:18:03.534584,2025-04-24 21:18:24.522953,0 days 00:00:20.988369,False,absolute_error,36,log2,1,20,842,TPESampler,COMPLETE
14,0.5712884080618045,2025-04-24 21:18:08.144340,2025-04-24 21:18:20.936942,0 days 00:00:12.792602,True,absolute_error,35,,8,36,610,TPESampler,COMPLETE
15,0.536489213682455,2025-04-24 21:18:13.382961,2025-04-24 21:18:24.868457,0 days 00:00:11.485496,False,absolute_error,29,,5,35,179,TPESampler,COMPLETE
16,0.6022785554188624,2025-04-24 21:18:21.095979,2025-04-24 21:18:37.529226,0 days 00:00:16.433247,False,absolute_error,36,,14,16,778,TPESampler,COMPLETE
17,0.5104465522193805,2025-04-24 21:18:24.690478,2025-04-24 21:18:55.589221,0 days 00:00:30.898743,False,absolute_error,22,,3,4,433,TPESampler,COMPLETE
18,0.4668174684189632,2025-04-24 21:18:25.058990,2025-04-24 21:18:36.253049,0 days 00:00:11.194059,True,absolute_error,43,,3,9,307,TPESampler,COMPLETE
19,0.4717328099565087,2025-04-24 21:18:36.425252,2025-04-24 21:18:42.415734,0 days 00:00:05.990482,True,absolute_error,43,,3,15,156,TPESampler,COMPLETE
20,0.6080191376643632,2025-04-24 21:18:37.695292,2025-04-24 21:18:39.998024,0 days 00:00:02.302732,True,absolute_error,28,,14,8,195,TPESampler,COMPLETE
21,0.9340889329419002,2025-04-24 21:18:40.163150,2025-04-24 21:18:40.953012,0 days 00:00:00.789862,False,absolute_error,36,log2,7,9,153,TPESampler,COMPLETE
22,0.44880001104928624,2025-04-24 21:18:41.118263,2025-04-24 21:19:01.150978,0 days 00:00:20.032715,False,absolute_error,40,,1,4,130,TPESampler,COMPLETE
23,0.46259292870024676,2025-04-24 21:18:42.580160,2025-04-24 21:18:49.002086,0 days 00:00:06.421926,True,absolute_error,39,,2,24,124,TPESampler,COMPLETE
24,0.43101676109693215,2025-04-24 21:18:49.154715,2025-04-24 21:18:58.571958,0 days 00:00:09.417243,True,absolute_error,43,,2,13,173,TPESampler,COMPLETE
25,0.6045673937430096,2025-04-24 21:18:55.747552,2025-04-24 21:18:59.466923,0 days 00:00:03.719371,True,absolute_error,34,log2,1,21,254,TPESampler,COMPLETE
26,0.4881984964957741,2025-04-24 21:18:58.730068,2025-04-24 21:18:59.765821,0 days 00:00:01.035753,True,squared_error,25,,2,36,171,TPESampler,COMPLETE
27,0.4712386542526541,2025-04-24 21:18:59.636798,2025-04-24 21:19:02.083827,0 days 00:00:02.447029,True,squared_error,44,,3,10,469,TPESampler,COMPLETE
28,0.449831942349336,2025-04-24 21:18:59.925928,2025-04-24 21:19:24.733671,0 days 00:00:24.807743,True,absolute_error,48,,1,32,295,TPESampler,COMPLETE
29,0.44877999137140784,2025-04-24 21:19:01.322204,2025-04-24 21:19:45.198986,0 days 00:00:43.876782,False,absolute_error,41,,1,4,289,TPESampler,COMPLETE
