number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
0,0.5061893041596127,2025-04-24 20:59:18.732922,2025-04-24 20:59:27.033829,0 days 00:00:08.300907,29.58897108191009,0.0015112750024161993,0.34579926397319916,linear,RandomSampler,COMPLETE
1,0.7175755595364873,2025-04-24 20:59:18.746779,2025-04-24 20:59:19.373233,0 days 00:00:00.626454,0.23194494152392664,0.03895500175106487,0.020736757649539223,poly,RandomSampler,COMPLETE
2,0.7436178025924379,2025-04-24 20:59:18.815285,2025-04-24 20:59:19.455117,0 days 00:00:00.639832,0.002918912911200501,0.0016149934262824257,0.07349428184795857,poly,RandomSampler,COMPLETE
3,0.9493821543716722,2025-04-24 20:59:19.522956,2025-04-24 20:59:19.998781,0 days 00:00:00.475825,0.289279537626177,0.008602998414392006,0.0012233688795757498,poly,TPESampler,COMPLETE
4,0.6176972138218957,2025-04-24 20:59:19.711432,2025-04-24 20:59:23.965038,0 days 00:00:04.253606,24.51171944630659,0.01381456243625953,0.014032411166658708,poly,TPESampler,COMPLETE
5,0.5731928750184752,2025-04-24 20:59:20.188318,2025-04-24 20:59:20.621740,0 days 00:00:00.433422,0.11248426225552349,0.0058152990517799175,0.009061696585173118,rbf,TPESampler,COMPLETE
6,0.5675805584257645,2025-04-24 20:59:20.788871,2025-04-24 20:59:21.242901,0 days 00:00:00.454030,0.9293894394243175,0.02261134197779498,0.0013081723882043138,rbf,TPESampler,COMPLETE
7,0.930793932301096,2025-04-24 20:59:21.399890,2025-04-24 20:59:21.835304,0 days 00:00:00.435414,0.0014211493399133932,0.0036406848181320625,0.031520632394658396,sigmoid,TPESampler,COMPLETE
8,0.5049778768706651,2025-04-24 20:59:22.004671,2025-04-24 20:59:28.406094,0 days 00:00:06.401423,20.004950178138277,0.0012493795337533934,0.004309917636115583,linear,TPESampler,COMPLETE
9,0.5025216165752103,2025-04-24 20:59:24.133936,2025-04-24 20:59:24.505591,0 days 00:00:00.371655,9.74417507089712,0.6981959530232806,0.01177626917911661,rbf,TPESampler,COMPLETE
10,0.8740773118260153,2025-04-24 20:59:24.654014,2025-04-24 20:59:25.198473,0 days 00:00:00.544459,31.26279008652971,0.010711075410083757,0.0013623276993924623,poly,TPESampler,COMPLETE
11,0.9648833516006922,2025-04-24 20:59:25.352917,2025-04-24 20:59:25.768351,0 days 00:00:00.415434,0.003052500296423289,0.0026787623332953886,0.0002937743187623164,poly,TPESampler,COMPLETE
12,0.6634737218931531,2025-04-24 20:59:25.922409,2025-04-24 20:59:26.373302,0 days 00:00:00.450893,41.71578582837833,0.9100706609090474,0.001328920350334117,rbf,TPESampler,COMPLETE
13,0.374887875116568,2025-04-24 20:59:26.731882,2025-04-24 20:59:27.145929,0 days 00:00:00.414047,1.211565443329907,0.3540130326000864,0.1630476019538684,rbf,TPESampler,COMPLETE
14,0.3456240630453135,2025-04-24 20:59:27.201968,2025-04-24 20:59:27.802576,0 days 00:00:00.600608,0.9449622753489764,0.2657482810101448,0.13080551834745996,rbf,TPESampler,COMPLETE
15,0.37718131386808823,2025-04-24 20:59:27.329511,2025-04-24 20:59:27.927988,0 days 00:00:00.598477,5.493698531357996,0.1286594378796755,0.3528918139912685,rbf,TPESampler,COMPLETE
16,0.7074922568648128,2025-04-24 20:59:27.974639,2025-04-24 20:59:29.606064,0 days 00:00:01.631425,0.046042063450351514,0.6823210967488569,0.0884022233754188,poly,TPESampler,COMPLETE
17,0.500634034887068,2025-04-24 20:59:28.307271,2025-04-24 20:59:29.109187,0 days 00:00:00.801916,0.07273202150303475,0.13784840982158866,0.05397194379006058,rbf,TPESampler,COMPLETE
18,24.779249713310243,2025-04-24 20:59:28.608819,2025-04-24 20:59:29.338911,0 days 00:00:00.730092,0.9128664551284748,0.9007606728355241,0.4985910454368615,sigmoid,TPESampler,COMPLETE
19,3.815308903943741,2025-04-24 20:59:29.279430,2025-04-24 20:59:29.926631,0 days 00:00:00.647201,0.12897647083091449,0.023078415530554182,0.45217849622401685,sigmoid,TPESampler,COMPLETE
20,0.8351101266454652,2025-04-24 20:59:29.555815,2025-04-24 20:59:30.305752,0 days 00:00:00.749937,0.10359877461347715,0.40552189662412863,0.7081954578479569,rbf,TPESampler,COMPLETE
