number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
0,0.8737590921917946,2025-04-24 21:00:29.995097,2025-04-24 21:00:30.926345,0 days 00:00:00.931248,friedman_mse,24,sqrt,8,20,random,RandomSampler,COMPLETE
1,0.6300687996731097,2025-04-24 21:00:30.015470,2025-04-24 21:00:30.597970,0 days 00:00:00.582500,friedman_mse,22,sqrt,3,16,best,RandomSampler,COMPLETE
2,0.8737590921917946,2025-04-24 21:00:30.102587,2025-04-24 21:00:30.749081,0 days 00:00:00.646494,friedman_mse,35,sqrt,7,6,random,RandomSampler,COMPLETE
3,0.8786994273045032,2025-04-24 21:00:30.866950,2025-04-24 21:00:31.472947,0 days 00:00:00.605997,absolute_error,13,log2,4,18,random,TPESampler,COMPLETE
4,0.90157797490464,2025-04-24 21:00:30.979780,2025-04-24 21:00:31.761283,0 days 00:00:00.781503,squared_error,27,log2,10,19,best,TPESampler,COMPLETE
5,0.6854620540251789,2025-04-24 21:00:31.360006,2025-04-24 21:00:32.040655,0 days 00:00:00.680649,friedman_mse,20,sqrt,4,18,best,TPESampler,COMPLETE
6,0.878930627702796,2025-04-24 21:00:31.759093,2025-04-24 21:00:32.498847,0 days 00:00:00.739754,friedman_mse,2,log2,7,13,random,TPESampler,COMPLETE
7,0.6858428787475002,2025-04-24 21:00:32.036251,2025-04-24 21:00:33.041866,0 days 00:00:01.005615,absolute_error,17,sqrt,8,9,best,TPESampler,COMPLETE
8,0.8737590921917946,2025-04-24 21:00:32.393779,2025-04-24 21:00:33.232600,0 days 00:00:00.838821,friedman_mse,7,sqrt,7,20,random,TPESampler,COMPLETE
9,0.9018784399194749,2025-04-24 21:00:32.951301,2025-04-24 21:00:33.662507,0 days 00:00:00.711206,squared_error,35,log2,8,18,random,TPESampler,COMPLETE
10,0.9015251732962958,2025-04-24 21:00:33.328071,2025-04-24 21:00:34.066631,0 days 00:00:00.738560,absolute_error,20,log2,7,16,best,TPESampler,COMPLETE
11,0.6504215924944643,2025-04-24 21:00:33.545534,2025-04-24 21:00:34.217311,0 days 00:00:00.671777,friedman_mse,23,sqrt,3,9,best,TPESampler,COMPLETE
12,0.6504215924944643,2025-04-24 21:00:33.990169,2025-04-24 21:00:34.732352,0 days 00:00:00.742183,friedman_mse,29,sqrt,3,10,best,TPESampler,COMPLETE
13,0.5840558270072688,2025-04-24 21:00:34.396083,2025-04-24 21:00:35.272309,0 days 00:00:00.876226,squared_error,16,sqrt,1,16,best,TPESampler,COMPLETE
14,0.6589532298970542,2025-04-24 21:00:34.447977,2025-04-24 21:00:35.269331,0 days 00:00:00.821354,friedman_mse,13,sqrt,1,8,best,TPESampler,COMPLETE
15,0.6735376320468349,2025-04-24 21:00:35.020953,2025-04-24 21:00:35.642467,0 days 00:00:00.621514,friedman_mse,24,sqrt,1,14,random,TPESampler,COMPLETE
16,0.6481658257093826,2025-04-24 21:00:35.538599,2025-04-24 21:00:36.340740,0 days 00:00:00.802141,squared_error,12,sqrt,1,20,best,TPESampler,COMPLETE
17,0.6137680826708861,2025-04-24 21:00:35.589001,2025-04-24 21:00:36.423725,0 days 00:00:00.834724,squared_error,31,sqrt,2,20,best,TPESampler,COMPLETE
18,0.6958991525030052,2025-04-24 21:00:36.022263,2025-04-24 21:00:36.727402,0 days 00:00:00.705139,squared_error,19,sqrt,5,14,best,TPESampler,COMPLETE
19,0.6138554829851675,2025-04-24 21:00:36.594676,2025-04-24 21:00:37.433450,0 days 00:00:00.838774,squared_error,35,sqrt,2,19,best,TPESampler,COMPLETE
20,0.6045660424306688,2025-04-24 21:00:36.654286,2025-04-24 21:00:37.488189,0 days 00:00:00.833903,squared_error,30,sqrt,2,18,best,TPESampler,COMPLETE
21,0.7235995033015992,2025-04-24 21:00:37.114073,2025-04-24 21:00:37.803410,0 days 00:00:00.689337,squared_error,20,sqrt,4,17,random,TPESampler,COMPLETE
22,0.6512567899837967,2025-04-24 21:00:37.698124,2025-04-24 21:00:38.493422,0 days 00:00:00.795298,squared_error,34,log2,1,18,random,TPESampler,COMPLETE
23,0.7432319216441641,2025-04-24 21:00:37.753098,2025-04-24 21:00:38.618387,0 days 00:00:00.865289,squared_error,19,log2,2,15,best,TPESampler,COMPLETE
24,0.5458802277469731,2025-04-24 21:00:38.191936,2025-04-24 21:00:38.814490,0 days 00:00:00.622554,squared_error,23,sqrt,1,12,best,TPESampler,COMPLETE
25,0.5667823799395514,2025-04-24 21:00:38.762145,2025-04-24 21:00:39.566665,0 days 00:00:00.804520,squared_error,21,sqrt,1,10,best,TPESampler,COMPLETE
26,0.6289323974475082,2025-04-24 21:00:38.869349,2025-04-24 21:00:39.726690,0 days 00:00:00.857341,squared_error,22,sqrt,2,10,best,TPESampler,COMPLETE
27,0.5892731747707569,2025-04-24 21:00:39.243539,2025-04-24 21:00:39.944173,0 days 00:00:00.700634,absolute_error,24,sqrt,2,20,best,TPESampler,COMPLETE
28,0.7788255277953922,2025-04-24 21:00:39.880925,2025-04-24 21:00:40.644354,0 days 00:00:00.763429,squared_error,10,sqrt,1,11,best,TPESampler,COMPLETE
29,0.6046885654304703,2025-04-24 21:00:40.080337,2025-04-24 21:00:41.045101,0 days 00:00:00.964764,squared_error,23,sqrt,1,7,random,TPESampler,COMPLETE
30,0.5843909180658454,2025-04-24 21:00:40.241445,2025-04-24 21:00:41.252667,0 days 00:00:01.011222,squared_error,30,sqrt,1,8,random,TPESampler,COMPLETE
31,0.532551168457955,2025-04-24 21:00:40.984222,2025-04-24 21:00:41.830936,0 days 00:00:00.846714,absolute_error,26,sqrt,1,11,best,TPESampler,COMPLETE
32,0.6936943281344881,2025-04-24 21:00:41.325935,2025-04-24 21:00:42.212491,0 days 00:00:00.886556,squared_error,20,log2,1,5,best,TPESampler,COMPLETE
33,0.5126597929451711,2025-04-24 21:00:41.511281,2025-04-24 21:00:42.412793,0 days 00:00:00.901512,absolute_error,33,sqrt,1,7,best,TPESampler,COMPLETE
34,0.5622024994745835,2025-04-24 21:00:42.122716,2025-04-24 21:00:42.878568,0 days 00:00:00.755852,absolute_error,27,sqrt,2,3,best,TPESampler,COMPLETE
35,0.5547152952683243,2025-04-24 21:00:42.531686,2025-04-24 21:00:43.477785,0 days 00:00:00.946099,absolute_error,34,sqrt,1,5,best,TPESampler,COMPLETE
36,0.49169508102649473,2025-04-24 21:00:42.630554,2025-04-24 21:00:43.470481,0 days 00:00:00.839927,absolute_error,35,sqrt,1,10,best,TPESampler,COMPLETE
