number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
0,0.3765224403332717,2025-04-24 22:01:02.472010,2025-04-24 22:01:05.045539,0 days 00:00:02.573529,0.013350396661349068,6,sqrt,6,2,1238,0.8092590210675361,RandomSampler,COMPLETE
1,0.5661977037625435,2025-04-24 22:01:02.487020,2025-04-24 22:01:03.353513,0 days 00:00:00.866493,0.01431036327038398,11,sqrt,8,8,193,0.9143764720381161,RandomSampler,COMPLETE
2,0.3327661422882135,2025-04-24 22:01:02.554195,2025-04-24 22:01:04.514602,0 days 00:00:01.960407,0.04112924606984042,3,sqrt,1,6,941,0.9634679958727967,RandomSampler,COMPLETE
3,0.3687024853651145,2025-04-24 22:01:03.536229,2025-04-24 22:01:06.363252,0 days 00:00:02.827023,0.01719064145608021,6,,7,7,558,0.818102386327069,TPESampler,COMPLETE
4,0.38228118087984414,2025-04-24 22:01:04.691625,2025-04-24 22:01:06.130207,0 days 00:00:01.438582,0.08872918842112082,11,sqrt,8,12,852,0.7168298222992557,TPESampler,COMPLETE
5,0.3816083273078144,2025-04-24 22:01:05.235598,2025-04-24 22:01:10.226174,0 days 00:00:04.990576,0.06299768268263778,9,,9,10,1031,0.6848068384319246,TPESampler,COMPLETE
6,0.5830796042109857,2025-04-24 22:01:06.297225,2025-04-24 22:01:07.243372,0 days 00:00:00.946147,0.024278918012522768,10,log2,8,12,447,0.9445491732296354,TPESampler,COMPLETE
7,0.4434202096732141,2025-04-24 22:01:06.545789,2025-04-24 22:01:07.615850,0 days 00:00:01.070061,0.01096091632615081,8,sqrt,5,8,388,0.9796503318169905,TPESampler,COMPLETE
8,0.4173775196556521,2025-04-24 22:01:07.432714,2025-04-24 22:01:08.653372,0 days 00:00:01.220658,0.016879363664869734,6,sqrt,7,4,531,0.9695951617442211,TPESampler,COMPLETE
9,0.5103969756834759,2025-04-24 22:01:07.784312,2025-04-24 22:01:09.587177,0 days 00:00:01.802865,0.02466173316066952,10,log2,10,20,1128,0.8665968345600874,TPESampler,COMPLETE
