number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_channels,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_num_layers,params_num_timesteps,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.025374501943588257,2025-04-26 12:29:53.044119,2025-04-26 12:30:17.672166,0 days 00:00:24.628047,0.2994858966525266,256,240,32,,,2,2,4,0.003015516676403717,0.6,/work3/arnaou/checkpoints/Tc_trial_0_best_state.pt,"{'learning_rate': 0.003015516676403717, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.02619132585823536,2025-04-26 12:29:53.051221,2025-04-26 12:30:15.316359,0 days 00:00:22.265138,0.22929353235452543,80,160,96,80.0,,3,2,4,0.0023397666456870326,0.6,/work3/arnaou/checkpoints/Tc_trial_1_best_state.pt,"{'learning_rate': 0.0023397666456870326, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.025300676003098488,2025-04-26 12:29:53.098619,2025-04-26 12:30:19.465175,0 days 00:00:26.366556,0.022506205094666675,176,64,208,128.0,80.0,4,3,2,0.0005274657688140748,0.6,/work3/arnaou/checkpoints/Tc_trial_2_best_state.pt,"{'learning_rate': 0.0005274657688140748, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.023808151483535767,2025-04-26 12:30:15.481649,2025-04-26 12:30:37.870180,0 days 00:00:22.388531,0.04287713143372202,96,96,224,112.0,,3,3,2,0.0037395978220952707,0.6,/work3/arnaou/checkpoints/Tc_trial_3_best_state.pt,"{'learning_rate': 0.0037395978220952707, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.047453392297029495,2025-04-26 12:30:17.827518,2025-04-26 12:30:44.853808,0 days 00:00:27.026290,0.041277979366106145,112,256,224,48.0,,3,4,3,0.0002620147680440968,0.6,/work3/arnaou/checkpoints/Tc_trial_4_best_state.pt,"{'learning_rate': 0.0002620147680440968, 'lr_reduce': 0.6}",TPESampler,COMPLETE
5,0.021267814561724663,2025-04-26 12:30:19.616963,2025-04-26 12:30:36.141135,0 days 00:00:16.524172,0.1572476624223228,192,176,112,,,2,2,1,0.001998019025615784,0.6,/work3/arnaou/checkpoints/Tc_trial_5_best_state.pt,"{'learning_rate': 0.001998019025615784, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.02621930092573166,2025-04-26 12:30:36.296779,2025-04-26 12:30:55.296850,0 days 00:00:19.000071,0.15143107671756478,128,64,128,,,2,1,1,0.004698009982690064,0.6,/work3/arnaou/checkpoints/Tc_trial_6_best_state.pt,"{'learning_rate': 0.004698009982690064, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.022267179563641548,2025-04-26 12:30:38.026907,2025-04-26 12:31:00.326460,0 days 00:00:22.299553,0.006170851239463004,160,112,80,,,2,2,1,0.0005687769396502378,0.6,/work3/arnaou/checkpoints/Tc_trial_7_best_state.pt,"{'learning_rate': 0.0005687769396502378, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.03487483039498329,2025-04-26 12:30:45.063888,2025-04-26 12:31:12.597034,0 days 00:00:27.533146,0.17604521640056994,256,224,80,,,2,3,4,0.00020398571052727794,0.6,/work3/arnaou/checkpoints/Tc_trial_8_best_state.pt,"{'learning_rate': 0.00020398571052727794, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.03670991584658623,2025-04-26 12:30:55.449665,2025-04-26 12:31:23.752673,0 days 00:00:28.303008,0.13778844344629412,224,176,32,64.0,,3,3,4,0.0003307213549575068,0.6,/work3/arnaou/checkpoints/Tc_trial_9_best_state.pt,"{'learning_rate': 0.0003307213549575068, 'lr_reduce': 0.6}",TPESampler,COMPLETE
