number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.021981723606586456,2025-04-25 13:21:04.766584,2025-04-25 13:22:46.366065,0 days 00:01:41.599481,0.09752180762635511,176,1,2,48,0.0045906156659444525,64,4,1,80,0.21470559200869732,96,2,1,128,0.18227950128075301,464,,,1,1,0.005074292616677655,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_0_best_state.pt,"{'learning_rate': 0.005074292616677655, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.06215684488415718,2025-04-25 13:21:04.774686,2025-04-25 13:24:09.124815,0 days 00:03:04.350129,0.27643313581206885,176,4,2,112,0.2858513712070512,208,4,4,128,0.07161123572245803,96,3,1,32,0.1870345412924093,136,264.0,,2,2,0.000560890841707503,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_1_best_state.pt,"{'learning_rate': 0.000560890841707503, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.021740354597568512,2025-04-25 13:21:04.828667,2025-04-25 13:23:59.600686,0 days 00:02:54.772019,0.24929107152362,144,1,4,32,0.02373620321399079,160,3,4,112,0.17904625143926683,48,4,1,32,0.296978192854954,48,312.0,,2,2,0.0014759908410897254,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_2_best_state.pt,"{'learning_rate': 0.0014759908410897254, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.022617150098085403,2025-04-25 13:22:47.152380,2025-04-25 13:25:57.165180,0 days 00:03:10.012800,0.10225222635760127,192,4,4,64,0.29387397545941,160,3,2,64,0.1874554907877983,96,2,4,64,0.1305314025945265,88,104.0,,2,2,0.00022841684375965357,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_3_best_state.pt,"{'learning_rate': 0.00022841684375965357, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.026942536234855652,2025-04-25 13:23:59.753100,2025-04-25 13:27:13.461197,0 days 00:03:13.708097,0.2956946860407769,80,3,1,48,0.08583717590962618,240,1,1,112,0.08242359045191062,112,3,1,96,0.2728040254038806,304,,,1,1,0.0022626638885834623,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_4_best_state.pt,"{'learning_rate': 0.0022626638885834623, 'lr_reduce': 0.6}",TPESampler,COMPLETE
5,0.04322534799575806,2025-04-25 13:24:09.373851,2025-04-25 13:26:17.222006,0 days 00:02:07.848155,0.20571126638769746,112,4,3,112,0.1804844990454684,64,1,1,48,0.06879723219138274,112,4,2,48,0.12745143160043915,336,,,1,1,0.0008414642983396926,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_5_best_state.pt,"{'learning_rate': 0.0008414642983396926, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.03347088024020195,2025-04-25 13:25:57.347868,2025-04-25 13:29:23.185440,0 days 00:03:25.837572,0.17117318345539578,256,1,1,80,0.01412876305744769,176,3,4,80,0.26034527024036963,80,4,1,64,0.08710533263703145,48,128.0,336.0,3,1,0.00011121669177843955,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_6_best_state.pt,"{'learning_rate': 0.00011121669177843955, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.05293545871973038,2025-04-25 13:26:17.470742,2025-04-25 13:28:58.189110,0 days 00:02:40.718368,0.23081071168900913,208,4,2,32,0.1212230026027878,80,3,1,96,0.041632108456757466,128,2,2,96,0.011797854212454316,344,416.0,,2,1,0.00033659783486673293,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_7_best_state.pt,"{'learning_rate': 0.00033659783486673293, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.03208553418517113,2025-04-25 13:27:13.701862,2025-04-25 13:31:01.313476,0 days 00:03:47.611614,0.04568112901113771,224,1,1,96,0.054378139130257803,112,2,3,48,0.07425106864029091,48,2,4,80,0.11078778325568511,448,464.0,,2,2,0.00010187825751889979,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_8_best_state.pt,"{'learning_rate': 0.00010187825751889979, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.033190011978149414,2025-04-25 13:28:58.344574,2025-04-25 13:31:24.127397,0 days 00:02:25.782823,0.1812335941828803,112,3,2,48,0.2595563448780037,256,3,1,128,0.2683161237525088,32,2,1,32,0.009310985268404503,304,112.0,344.0,3,2,0.0007198169250552426,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_9_best_state.pt,"{'learning_rate': 0.0007198169250552426, 'lr_reduce': 0.6}",TPESampler,COMPLETE
10,0.08542957901954651,2025-04-25 13:29:23.319192,2025-04-25 13:31:35.444440,0 days 00:02:12.125248,0.10455393596466803,128,4,1,64,0.1652010283286865,112,3,2,64,0.10793784200424071,48,4,2,64,0.01753032885330332,288,392.0,,2,2,0.00013372284843417173,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_10_best_state.pt,"{'learning_rate': 0.00013372284843417173, 'lr_reduce': 0.6}",TPESampler,COMPLETE
11,0.05283170938491821,2025-04-25 13:31:01.459319,2025-04-25 13:33:16.990542,0 days 00:02:15.531223,0.24764689348648355,64,1,3,128,0.08725264696642362,224,3,2,112,0.2097947783714242,64,1,2,96,0.1403263965251981,496,,,1,2,0.000492368268221143,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_11_best_state.pt,"{'learning_rate': 0.000492368268221143, 'lr_reduce': 0.6}",TPESampler,COMPLETE
12,0.04076399654150009,2025-04-25 13:31:24.312786,2025-04-25 13:33:16.971520,0 days 00:01:52.658734,0.2559732918723976,160,3,4,48,0.1398363579526475,128,4,4,112,0.2071385767394745,64,3,1,32,0.24039345823810362,296,264.0,,2,2,0.0021485857578180845,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_12_best_state.pt,"{'learning_rate': 0.0021485857578180845, 'lr_reduce': 0.6}",TPESampler,COMPLETE
13,0.0242990143597126,2025-04-25 13:31:35.833934,2025-04-25 13:33:27.050759,0 days 00:01:51.216825,0.13552735270426208,176,1,3,48,0.0730510233942463,96,4,1,96,0.18062652737598756,80,1,1,112,0.13057370859725861,496,,,1,1,0.001379464267445116,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_13_best_state.pt,"{'learning_rate': 0.001379464267445116, 'lr_reduce': 0.6}",TPESampler,COMPLETE
14,0.624064564704895,2025-04-25 13:33:17.280657,2025-04-25 13:33:49.874179,0 days 00:00:32.593522,0.06162354400474867,208,3,2,48,0.07404579797145627,96,4,1,48,0.23467731801395492,112,2,1,128,0.2910142129546086,392,,,1,1,0.007796065435748038,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_14_best_state.pt,"{'learning_rate': 0.007796065435748038, 'lr_reduce': 0.6}",TPESampler,COMPLETE
15,0.022729996591806412,2025-04-25 13:33:17.321473,2025-04-25 13:35:08.224703,0 days 00:01:50.903230,0.16721590280454524,176,1,3,80,0.0026863919916082155,176,2,4,112,0.15676548902547793,48,4,2,48,0.2968498166769788,160,,,1,2,0.0022262474909997497,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_15_best_state.pt,"{'learning_rate': 0.0022262474909997497, 'lr_reduce': 0.6}",TPESampler,COMPLETE
