number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.45413196086883545,2025-04-26 02:10:25.368451,2025-04-26 02:10:47.198491,0 days 00:00:21.830040,3,56,371,169.0,275.0,91.0,4,67,0.022610861481253353,0.00014588617896403697,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_0_best_state.pt,"{'learning_rate': 0.00014588617896403697, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.06827763468027115,2025-04-26 02:10:25.375978,2025-04-26 02:11:14.984742,0 days 00:00:49.608764,2,65,459,166.0,496.0,,3,59,0.07635311637767594,0.001442907925165846,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_1_best_state.pt,"{'learning_rate': 0.001442907925165846, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.8074883818626404,2025-04-26 02:10:25.425798,2025-04-26 02:10:36.149968,0 days 00:00:10.724170,2,125,200,404.0,373.0,141.0,4,62,0.04461888783376522,0.0002649455031437805,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_2_best_state.pt,"{'learning_rate': 0.0002649455031437805, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.30684319138526917,2025-04-26 02:10:36.308293,2025-04-26 02:11:17.910471,0 days 00:00:41.602178,3,90,227,156.0,344.0,120.0,4,47,0.012547127758386345,0.00954881659214849,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_3_best_state.pt,"{'learning_rate': 0.00954881659214849, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.4680705964565277,2025-04-26 02:10:47.366508,2025-04-26 02:11:11.057961,0 days 00:00:23.691453,4,55,118,123.0,397.0,210.0,4,75,0.08600611786677906,0.0013646745481585775,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_4_best_state.pt,"{'learning_rate': 0.0013646745481585775, 'lr_reduce': 0.6}",GPSampler,COMPLETE
5,0.4785796105861664,2025-04-26 02:11:11.229489,2025-04-26 02:11:26.231522,0 days 00:00:15.002033,3,115,309,217.0,367.0,,3,45,0.1389618654136743,0.0008798419434572625,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_5_best_state.pt,"{'learning_rate': 0.0008798419434572625, 'lr_reduce': 0.6}",GPSampler,COMPLETE
6,0.45716768503189087,2025-04-26 02:11:15.351077,2025-04-26 02:11:43.432716,0 days 00:00:28.081639,4,75,510,351.0,509.0,426.0,4,74,0.0777649373107023,0.0001806101794706636,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_6_best_state.pt,"{'learning_rate': 0.0001806101794706636, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.13701674342155457,2025-04-26 02:11:18.076444,2025-04-26 02:12:00.075240,0 days 00:00:41.998796,1,51,472,126.0,196.0,403.0,4,89,0.0704311878494,0.00011900965706535876,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_7_best_state.pt,"{'learning_rate': 0.00011900965706535876, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.07605382055044174,2025-04-26 02:11:26.413598,2025-04-26 02:11:50.647345,0 days 00:00:24.233747,1,32,200,459.0,285.0,424.0,4,79,0.11516348801595527,0.0006226021954577338,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_8_best_state.pt,"{'learning_rate': 0.0006226021954577338, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.6115869283676147,2025-04-26 02:11:43.795099,2025-04-26 02:11:55.836395,0 days 00:00:12.041296,4,121,396,454.0,,,2,121,0.06907337605011177,0.0012746949892730914,0.6,/work3/arnaou/checkpoints/megnet_Tc_trial_9_best_state.pt,"{'learning_rate': 0.0012746949892730914, 'lr_reduce': 0.6}",TPESampler,COMPLETE
