number,value,datetime_start,datetime_complete,duration,params_constant_value,params_kernel_type,params_length_scale,params_noise_level,params_nu,system_attrs_auto:sampler,state
0,0.8703401340174886,2025-04-24 20:58:39.930998,2025-04-24 20:58:53.682719,0 days 00:00:13.751721,0.009324057163008456,Matern,54179.22730500401,2.6066162555868583e-06,0.5,RandomSampler,COMPLETE
1,0.8703401341791079,2025-04-24 20:58:39.944135,2025-04-24 20:58:54.927356,0 days 00:00:14.983221,4.215007015051681e-05,Matern,6196.815408502403,3.9388898074473943e-10,1.5,RandomSampler,COMPLETE
2,0.8703401340194818,2025-04-24 20:58:40.004048,2025-04-24 20:58:52.331012,0 days 00:00:12.326964,9983.19028791976,RBF,3322.761260404346,2.1395713886586316e-07,2.5,RandomSampler,COMPLETE
3,0.870340134125663,2025-04-24 20:58:52.574099,2025-04-24 20:58:57.243149,0 days 00:00:04.669050,0.7654676634535161,RBF,0.008441628555318652,0.22792252647277092,1.5,TPESampler,COMPLETE
4,0.8703401340201858,2025-04-24 20:58:53.883453,2025-04-24 20:59:03.516763,0 days 00:00:09.633310,0.3771920942913779,RBF,1.8619028054348379,1.800155837827319e-08,0.5,TPESampler,COMPLETE
5,0.8703401340237412,2025-04-24 20:58:55.156640,2025-04-24 20:59:02.244590,0 days 00:00:07.087950,2.569095950874724e-05,RBF,0.025768043586273135,2.0387903676264352e-05,1.5,TPESampler,COMPLETE
6,0.8703401340196633,2025-04-24 20:58:57.467319,2025-04-24 20:59:01.216251,0 days 00:00:03.748932,468.62525641884287,RBF,4.5792585334584965e-05,0.0710136706534846,2.5,TPESampler,COMPLETE
7,0.8703401339107237,2025-04-24 20:59:01.454752,2025-04-24 20:59:21.399722,0 days 00:00:19.944970,2.8287274797460416e-06,Matern,11830.015967818237,2.922834684267806e-06,0.5,TPESampler,COMPLETE
8,0.8703401340212522,2025-04-24 20:59:02.442267,2025-04-24 20:59:17.834443,0 days 00:00:15.392176,104.71470088051609,RBF,199.10601384855428,2.510162887663882e-07,1.5,TPESampler,COMPLETE
9,0.8703401340042605,2025-04-24 20:59:03.744120,2025-04-24 20:59:15.822472,0 days 00:00:12.078352,0.0036874209386965505,RBF,0.14469386567854428,7.818058890307556e-07,0.5,TPESampler,COMPLETE
