number,value,datetime_start,datetime_complete,duration,params_final_dropout,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.055719416588544846,2025-04-25 21:41:50.120553,2025-04-25 21:42:05.747761,0 days 00:00:15.627208,0.08038315133369903,352,288,,,2,0.000744536464440685,0.6,checkpoints/mlp_Tc_trial_0_best_state.pt,"{'learning_rate': 0.000744536464440685, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.06876060366630554,2025-04-25 21:41:50.132573,2025-04-25 21:42:14.082692,0 days 00:00:23.950119,0.1455583525701167,208,304,,,2,0.00038154304262512026,0.6,checkpoints/mlp_Tc_trial_1_best_state.pt,"{'learning_rate': 0.00038154304262512026, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.1077510416507721,2025-04-25 21:41:50.191643,2025-04-25 21:42:23.058170,0 days 00:00:32.866527,0.25127676474819366,80,384,,,2,0.00025103209422790845,0.6,checkpoints/mlp_Tc_trial_2_best_state.pt,"{'learning_rate': 0.00025103209422790845, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.09175585210323334,2025-04-25 21:42:06.017289,2025-04-25 21:42:14.906270,0 days 00:00:08.888981,0.2391748122811754,304,64,256.0,512.0,4,0.003533782521599988,0.6,checkpoints/mlp_Tc_trial_3_best_state.pt,"{'learning_rate': 0.003533782521599988, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.17280642688274384,2025-04-25 21:42:14.292415,2025-04-25 21:42:33.650958,0 days 00:00:19.358543,0.28032487511105175,384,160,96.0,272.0,4,0.00025761850804052294,0.6,checkpoints/mlp_Tc_trial_4_best_state.pt,"{'learning_rate': 0.00025761850804052294, 'lr_reduce': 0.6}",GPSampler,COMPLETE
5,0.05089111998677254,2025-04-25 21:42:15.187225,2025-04-25 21:42:24.922407,0 days 00:00:09.735182,0.2369205416933204,112,432,192.0,,3,0.003846867846079381,0.6,checkpoints/mlp_Tc_trial_5_best_state.pt,"{'learning_rate': 0.003846867846079381, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.051078636199235916,2025-04-25 21:42:23.291797,2025-04-25 21:42:41.832470,0 days 00:00:18.540673,0.2870873144526333,432,288,,,2,0.0018097196597939246,0.6,checkpoints/mlp_Tc_trial_6_best_state.pt,"{'learning_rate': 0.0018097196597939246, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.0519210584461689,2025-04-25 21:42:25.157417,2025-04-25 21:42:32.415285,0 days 00:00:07.257868,0.1683422566056214,496,96,240.0,,3,0.004405997976800096,0.6,checkpoints/mlp_Tc_trial_7_best_state.pt,"{'learning_rate': 0.004405997976800096, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.060945361852645874,2025-04-25 21:42:33.043829,2025-04-25 21:43:07.233781,0 days 00:00:34.189952,0.1171528926110956,480,192,,,2,0.00033087932437982103,0.6,checkpoints/mlp_Tc_trial_8_best_state.pt,"{'learning_rate': 0.00033087932437982103, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.09291918575763702,2025-04-25 21:42:33.946520,2025-04-25 21:43:19.480737,0 days 00:00:45.534217,0.0631777661475628,272,80,384.0,192.0,4,0.000184147919475925,0.6,checkpoints/mlp_Tc_trial_9_best_state.pt,"{'learning_rate': 0.000184147919475925, 'lr_reduce': 0.6}",TPESampler,COMPLETE
10,0.12046517431735992,2025-04-25 21:42:42.122592,2025-04-25 21:42:51.429143,0 days 00:00:09.306551,0.298185067042674,32,336,368.0,48.0,4,0.007292655216548455,0.6,checkpoints/mlp_Tc_trial_10_best_state.pt,"{'learning_rate': 0.007292655216548455, 'lr_reduce': 0.6}",TPESampler,COMPLETE
11,0.10365183651447296,2025-04-25 21:42:51.697189,2025-04-25 21:43:13.139426,0 days 00:00:21.442237,0.144217568327208,336,80,224.0,368.0,4,0.0002954670317627015,0.6,checkpoints/mlp_Tc_trial_11_best_state.pt,"{'learning_rate': 0.0002954670317627015, 'lr_reduce': 0.6}",TPESampler,COMPLETE
12,0.053835462778806686,2025-04-25 21:43:07.458686,2025-04-25 21:43:19.178328,0 days 00:00:11.719642,0.17941615716617998,160,464,32.0,,3,0.003307745473583787,0.6,checkpoints/mlp_Tc_trial_12_best_state.pt,"{'learning_rate': 0.003307745473583787, 'lr_reduce': 0.6}",TPESampler,COMPLETE
13,0.05095013976097107,2025-04-25 21:43:13.388888,2025-04-25 21:43:25.101208,0 days 00:00:11.712320,0.2805525605988156,432,480,,,2,0.004681777708617879,0.6,checkpoints/mlp_Tc_trial_13_best_state.pt,"{'learning_rate': 0.004681777708617879, 'lr_reduce': 0.6}",TPESampler,COMPLETE
14,0.05438370257616043,2025-04-25 21:43:19.405026,2025-04-25 21:43:34.332261,0 days 00:00:14.927235,0.24190318934970748,352,176,,,2,0.0014412946159040963,0.6,checkpoints/mlp_Tc_trial_14_best_state.pt,"{'learning_rate': 0.0014412946159040963, 'lr_reduce': 0.6}",TPESampler,COMPLETE
15,0.06508295983076096,2025-04-25 21:43:19.757339,2025-04-25 21:43:42.046505,0 days 00:00:22.289166,0.28971903778480407,464,400,,,2,0.0005764422560859239,0.6,checkpoints/mlp_Tc_trial_15_best_state.pt,"{'learning_rate': 0.0005764422560859239, 'lr_reduce': 0.6}",TPESampler,COMPLETE
16,0.05431493744254112,2025-04-25 21:43:25.326853,2025-04-25 21:43:38.880360,0 days 00:00:13.553507,0.259344152186843,464,496,,,2,0.007836960226993936,0.6,checkpoints/mlp_Tc_trial_16_best_state.pt,"{'learning_rate': 0.007836960226993936, 'lr_reduce': 0.6}",TPESampler,COMPLETE
17,0.07687593251466751,2025-04-25 21:43:34.575349,2025-04-25 21:43:49.261984,0 days 00:00:14.686635,0.2947603609417127,272,512,496.0,,3,0.001214902500189685,0.6,checkpoints/mlp_Tc_trial_17_best_state.pt,"{'learning_rate': 0.001214902500189685, 'lr_reduce': 0.6}",TPESampler,COMPLETE
18,0.05125480517745018,2025-04-25 21:43:39.162574,2025-04-25 21:43:50.262103,0 days 00:00:11.099529,0.2804042767377747,176,432,,,2,0.005833759635195508,0.6,checkpoints/mlp_Tc_trial_18_best_state.pt,"{'learning_rate': 0.005833759635195508, 'lr_reduce': 0.6}",TPESampler,COMPLETE
19,0.05329723656177521,2025-04-25 21:43:42.260004,2025-04-25 21:43:53.914373,0 days 00:00:11.654369,0.2757543374251623,368,384,144.0,,3,0.006353556707419421,0.6,checkpoints/mlp_Tc_trial_19_best_state.pt,"{'learning_rate': 0.006353556707419421, 'lr_reduce': 0.6}",TPESampler,COMPLETE
20,0.05869293957948685,2025-04-25 21:43:49.504172,2025-04-25 21:43:59.549095,0 days 00:00:10.044923,0.14139179442304145,128,208,320.0,,3,0.0016433852738751001,0.6,checkpoints/mlp_Tc_trial_20_best_state.pt,"{'learning_rate': 0.0016433852738751001, 'lr_reduce': 0.6}",TPESampler,COMPLETE
