number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
0,0.6192594525299817,2025-04-24 21:11:16.046530,2025-04-24 21:11:20.682303,0 days 00:00:04.635773,True,absolute_error,8,sqrt,1,3,331,RandomSampler,COMPLETE
1,0.35220585927035614,2025-04-24 21:11:16.063947,2025-04-24 21:11:31.321393,0 days 00:00:15.257446,True,absolute_error,47,sqrt,1,3,569,RandomSampler,COMPLETE
2,0.7050716695120895,2025-04-24 21:11:16.137030,2025-04-24 21:11:17.351444,0 days 00:00:01.214414,True,squared_error,42,sqrt,6,34,376,RandomSampler,COMPLETE
3,0.537113088648637,2025-04-24 21:11:17.622317,2025-04-24 21:11:23.299111,0 days 00:00:05.676794,True,absolute_error,15,sqrt,2,48,448,TPESampler,COMPLETE
4,0.43889491410504433,2025-04-24 21:11:20.864086,2025-04-24 21:11:24.674916,0 days 00:00:03.810830,False,squared_error,50,,3,4,490,TPESampler,COMPLETE
5,0.5600137597069029,2025-04-24 21:11:23.473392,2025-04-24 21:11:32.229980,0 days 00:00:08.756588,True,absolute_error,21,log2,1,10,665,TPESampler,COMPLETE
6,0.645583508417306,2025-04-24 21:11:24.867597,2025-04-24 21:11:25.710541,0 days 00:00:00.842944,True,squared_error,12,log2,1,2,206,TPESampler,COMPLETE
7,0.8123308535362348,2025-04-24 21:11:25.889117,2025-04-24 21:11:28.149718,0 days 00:00:02.260601,True,absolute_error,39,sqrt,13,15,844,TPESampler,COMPLETE
8,0.863562659622611,2025-04-24 21:11:28.352380,2025-04-24 21:11:29.401243,0 days 00:00:01.048863,True,absolute_error,31,log2,10,27,346,TPESampler,COMPLETE
9,0.47293833568113863,2025-04-24 21:11:29.607400,2025-04-24 21:11:41.687563,0 days 00:00:12.080163,True,absolute_error,32,log2,1,7,831,TPESampler,COMPLETE
10,0.45636381166531553,2025-04-24 21:11:31.499720,2025-04-24 21:14:39.681220,0 days 00:03:08.181500,False,absolute_error,44,,1,19,767,TPESampler,COMPLETE
11,0.3992444448318815,2025-04-24 21:11:32.414805,2025-04-24 21:11:36.855694,0 days 00:00:04.440889,False,squared_error,47,,1,3,402,TPESampler,COMPLETE
12,0.4183351682108911,2025-04-24 21:11:37.054115,2025-04-24 21:11:39.198590,0 days 00:00:02.144475,False,squared_error,44,sqrt,2,4,951,TPESampler,COMPLETE
13,0.5228405460126457,2025-04-24 21:11:39.375000,2025-04-24 21:11:43.338738,0 days 00:00:03.963738,True,absolute_error,49,sqrt,3,2,349,TPESampler,COMPLETE
14,0.4641661478654133,2025-04-24 21:11:41.882048,2025-04-24 21:12:55.639133,0 days 00:01:13.757085,False,absolute_error,36,,1,3,305,TPESampler,COMPLETE
15,0.363850233798934,2025-04-24 21:11:43.520323,2025-04-24 21:11:49.134908,0 days 00:00:05.614585,True,squared_error,42,,1,2,656,TPESampler,COMPLETE
16,0.36411619458913247,2025-04-24 21:11:49.311648,2025-04-24 21:11:56.307483,0 days 00:00:06.995835,True,squared_error,38,,1,2,846,TPESampler,COMPLETE
17,0.3550145980123331,2025-04-24 21:11:56.518058,2025-04-24 21:12:15.317100,0 days 00:00:18.799042,True,absolute_error,45,sqrt,1,3,801,TPESampler,COMPLETE
18,0.36389881597168516,2025-04-24 21:12:15.514897,2025-04-24 21:12:33.500308,0 days 00:00:17.985411,True,absolute_error,47,sqrt,1,6,736,TPESampler,COMPLETE
19,0.5266197944769144,2025-04-24 21:12:33.702206,2025-04-24 21:12:42.263317,0 days 00:00:08.561111,True,absolute_error,31,sqrt,3,2,658,TPESampler,COMPLETE
20,0.7816058092734199,2025-04-24 21:12:42.437289,2025-04-24 21:12:46.504212,0 days 00:00:04.066923,True,absolute_error,42,log2,3,2,943,TPESampler,COMPLETE
21,0.41130144339123986,2025-04-24 21:12:46.762067,2025-04-24 21:12:56.893585,0 days 00:00:10.131518,True,absolute_error,38,sqrt,1,23,446,TPESampler,COMPLETE
22,0.4068179464895896,2025-04-24 21:12:55.941431,2025-04-24 21:12:58.486108,0 days 00:00:02.544677,True,squared_error,39,sqrt,1,22,846,TPESampler,COMPLETE
23,0.6861440765496392,2025-04-24 21:12:57.134689,2025-04-24 21:12:58.485098,0 days 00:00:01.350409,True,squared_error,44,log2,2,3,484,TPESampler,COMPLETE
24,0.3429093996812772,2025-04-24 21:12:58.639723,2025-04-24 21:13:25.882921,0 days 00:00:27.243198,False,absolute_error,39,sqrt,1,3,608,TPESampler,COMPLETE
25,0.3576337787290167,2025-04-24 21:12:58.688354,2025-04-24 21:14:15.473377,0 days 00:01:16.785023,True,absolute_error,37,,1,2,525,TPESampler,COMPLETE
26,0.3451095565126864,2025-04-24 21:13:26.055887,2025-04-24 21:13:52.923123,0 days 00:00:26.867236,False,absolute_error,45,sqrt,1,2,616,TPESampler,COMPLETE
27,0.3694568686611754,2025-04-24 21:13:53.108804,2025-04-24 21:14:18.086409,0 days 00:00:24.977605,False,absolute_error,49,log2,1,2,697,TPESampler,COMPLETE
28,0.4225339871759917,2025-04-24 21:14:15.678095,2025-04-24 21:14:33.324484,0 days 00:00:17.646389,False,absolute_error,38,sqrt,2,2,734,TPESampler,COMPLETE
29,0.34368391763942374,2025-04-24 21:14:18.278194,2025-04-24 21:14:38.056891,0 days 00:00:19.778697,False,absolute_error,41,sqrt,1,6,547,TPESampler,COMPLETE
30,0.3456097693239724,2025-04-24 21:14:33.513441,2025-04-24 21:14:36.965078,0 days 00:00:03.451637,False,squared_error,49,sqrt,1,2,668,TPESampler,COMPLETE
31,0.3451287151229186,2025-04-24 21:14:37.139655,2025-04-24 21:14:39.922310,0 days 00:00:02.782655,False,squared_error,41,sqrt,1,3,658,TPESampler,COMPLETE
32,0.3515082643125971,2025-04-24 21:14:38.234913,2025-04-24 21:14:59.410526,0 days 00:00:21.175613,False,absolute_error,42,sqrt,1,8,584,TPESampler,COMPLETE
33,0.4068622831218431,2025-04-24 21:14:39.866637,2025-04-24 21:14:41.880852,0 days 00:00:02.014215,False,squared_error,24,sqrt,1,8,683,TPESampler,COMPLETE
34,0.4266094580932766,2025-04-24 21:14:40.192614,2025-04-24 21:14:54.125100,0 days 00:00:13.932486,False,absolute_error,19,sqrt,1,3,474,TPESampler,COMPLETE
35,0.3470282433447185,2025-04-24 21:14:42.057757,2025-04-24 21:14:58.071775,0 days 00:00:16.014018,False,absolute_error,44,sqrt,1,2,410,TPESampler,COMPLETE
36,0.41978259376109733,2025-04-24 21:14:54.299055,2025-04-24 21:15:07.283252,0 days 00:00:12.984197,False,absolute_error,34,log2,1,4,516,TPESampler,COMPLETE
37,0.3590746401043625,2025-04-24 21:14:58.240776,2025-04-24 21:15:01.468360,0 days 00:00:03.227584,False,squared_error,33,sqrt,1,2,701,TPESampler,COMPLETE
38,0.3508994431447578,2025-04-24 21:14:59.585908,2025-04-24 21:15:01.254315,0 days 00:00:01.668407,False,squared_error,48,sqrt,1,9,481,TPESampler,COMPLETE
39,0.34286889365025774,2025-04-24 21:15:01.523574,2025-04-24 21:15:29.004002,0 days 00:00:27.480428,False,absolute_error,49,sqrt,1,2,692,TPESampler,COMPLETE
40,0.4685945513863286,2025-04-24 21:15:01.750552,2025-04-24 21:17:33.634238,0 days 00:02:31.883686,False,absolute_error,49,,1,3,661,TPESampler,COMPLETE
41,0.7189205802427817,2025-04-24 21:15:07.450214,2025-04-24 21:15:09.772194,0 days 00:00:02.321980,False,absolute_error,41,log2,3,25,253,TPESampler,COMPLETE
42,0.8396580669772657,2025-04-24 21:15:09.938235,2025-04-24 21:15:11.453764,0 days 00:00:01.515529,True,squared_error,9,log2,5,9,967,TPESampler,COMPLETE
43,0.3859504594048934,2025-04-24 21:15:11.642805,2025-04-24 21:15:18.891608,0 days 00:00:07.248803,False,squared_error,31,,1,4,761,TPESampler,COMPLETE
44,0.33844997175972236,2025-04-24 21:15:19.080176,2025-04-24 21:15:21.387329,0 days 00:00:02.307153,False,squared_error,49,sqrt,1,3,551,TPESampler,COMPLETE
45,0.34627780844272765,2025-04-24 21:15:21.573570,2025-04-24 21:15:23.729030,0 days 00:00:02.155460,False,squared_error,42,sqrt,1,2,396,TPESampler,COMPLETE
46,0.7498736583082792,2025-04-24 21:15:23.902870,2025-04-24 21:15:25.653063,0 days 00:00:01.750193,False,absolute_error,7,log2,1,6,147,TPESampler,COMPLETE
47,0.37322705127176425,2025-04-24 21:15:25.824014,2025-04-24 21:15:27.855745,0 days 00:00:02.031731,False,squared_error,47,log2,1,3,543,TPESampler,COMPLETE
48,0.45022507707178105,2025-04-24 21:15:28.034433,2025-04-24 21:15:29.549718,0 days 00:00:01.515285,True,squared_error,46,sqrt,2,3,496,TPESampler,COMPLETE
49,0.3314706144468613,2025-04-24 21:15:29.200380,2025-04-24 21:15:57.277044,0 days 00:00:28.076664,False,absolute_error,45,sqrt,1,5,753,TPESampler,COMPLETE
50,0.3446163596474882,2025-04-24 21:15:29.994023,2025-04-24 21:15:51.982441,0 days 00:00:21.988418,False,absolute_error,45,sqrt,1,2,573,TPESampler,COMPLETE
51,0.4306348918560843,2025-04-24 21:15:52.191636,2025-04-24 21:16:01.956079,0 days 00:00:09.764443,False,absolute_error,31,sqrt,2,6,372,TPESampler,COMPLETE
52,0.34551345899928476,2025-04-24 21:15:57.451173,2025-04-24 21:16:29.112528,0 days 00:00:31.661355,False,absolute_error,36,sqrt,1,5,881,TPESampler,COMPLETE
53,0.3302283059075371,2025-04-24 21:16:02.134640,2025-04-24 21:16:28.745414,0 days 00:00:26.610774,False,absolute_error,48,sqrt,1,5,698,TPESampler,COMPLETE
54,0.3328867710227215,2025-04-24 21:16:28.912233,2025-04-24 21:17:01.028229,0 days 00:00:32.115996,False,absolute_error,50,sqrt,1,6,876,TPESampler,COMPLETE
55,0.40937334866009045,2025-04-24 21:16:29.339241,2025-04-24 21:18:12.856727,0 days 00:01:43.517486,False,absolute_error,35,,2,5,760,TPESampler,COMPLETE
56,0.3816336903613663,2025-04-24 21:17:01.220525,2025-04-24 21:17:28.014860,0 days 00:00:26.794335,False,absolute_error,50,log2,1,6,975,TPESampler,COMPLETE
57,0.33669982762933176,2025-04-24 21:17:28.180230,2025-04-24 21:17:59.937748,0 days 00:00:31.757518,False,absolute_error,47,sqrt,1,7,868,TPESampler,COMPLETE
58,0.4293557681776437,2025-04-24 21:17:33.792630,2025-04-24 21:17:52.759441,0 days 00:00:18.966811,False,absolute_error,49,sqrt,2,13,794,TPESampler,COMPLETE
59,0.33593274720529676,2025-04-24 21:17:53.071880,2025-04-24 21:18:25.232103,0 days 00:00:32.160223,False,absolute_error,46,sqrt,1,3,803,TPESampler,COMPLETE
60,0.3888428133401333,2025-04-24 21:17:56.923041,2025-04-24 21:18:05.347120,0 days 00:00:08.424079,False,squared_error,50,,1,7,761,TPESampler,COMPLETE
61,0.7032189966487011,2025-04-24 21:17:56.977951,2025-04-24 21:17:59.262932,0 days 00:00:02.284981,False,squared_error,37,sqrt,9,3,576,TPESampler,COMPLETE
62,0.8752186927065658,2025-04-24 21:17:57.042261,2025-04-24 21:17:59.109576,0 days 00:00:02.067315,True,squared_error,10,log2,14,4,217,TPESampler,COMPLETE
