number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
0,0.7894859241180064,2025-04-24 20:59:10.948292,2025-04-24 20:59:11.537962,0 days 00:00:00.589670,0.5800133824310928,0.005090439096047044,0.004907115998843565,poly,RandomSampler,COMPLETE
1,0.704895524211414,2025-04-24 20:59:10.960840,2025-04-24 20:59:11.966393,0 days 00:00:01.005553,3.2618108803844743,0.02793644081724864,0.018356947121573132,poly,RandomSampler,COMPLETE
2,0.5764236525669325,2025-04-24 20:59:11.022502,2025-04-24 20:59:11.570529,0 days 00:00:00.548027,2.293905126851257,0.13533908635786857,0.00016148634159960764,rbf,RandomSampler,COMPLETE
3,0.57951624371465,2025-04-24 20:59:11.702031,2025-04-24 20:59:12.215150,0 days 00:00:00.513119,4.26136546967334,0.624164632782229,0.0006708218154921089,sigmoid,TPESampler,COMPLETE
4,0.6984949893227295,2025-04-24 20:59:11.746029,2025-04-24 20:59:12.353461,0 days 00:00:00.607432,2.1269495977718753,0.0020016181679207144,0.008051028479705642,poly,TPESampler,COMPLETE
5,0.27652043210827854,2025-04-24 20:59:12.178732,2025-04-24 20:59:32.460191,0 days 00:00:20.281459,29.733834597260987,0.011211271640813193,0.02377211989537123,linear,TPESampler,COMPLETE
6,0.31496272388945157,2025-04-24 20:59:12.451417,2025-04-24 20:59:13.046981,0 days 00:00:00.595564,23.31801806398786,0.00572541134900018,0.0017331884034260743,rbf,TPESampler,COMPLETE
7,1.0647736289882581,2025-04-24 20:59:12.525815,2025-04-24 20:59:30.135871,0 days 00:00:17.610056,0.7913857217247817,0.9851768401481554,0.8370771835834402,poly,TPESampler,COMPLETE
8,0.8870255016405114,2025-04-24 20:59:13.210374,2025-04-24 20:59:13.664563,0 days 00:00:00.454189,0.0010231947757413395,0.11126865686830635,0.008245763189281838,poly,TPESampler,COMPLETE
9,0.262891712096597,2025-04-24 20:59:13.824733,2025-04-24 20:59:14.871320,0 days 00:00:01.046587,0.8393116271107669,0.004101329773643985,0.8521439379163919,linear,TPESampler,COMPLETE
10,0.8627959120292944,2025-04-24 20:59:15.301581,2025-04-24 20:59:15.806119,0 days 00:00:00.504538,0.004895922242473669,0.001378026099185703,0.2878301915417389,rbf,TPESampler,COMPLETE
11,0.7842836217763787,2025-04-24 20:59:15.961788,2025-04-24 20:59:16.435244,0 days 00:00:00.473456,0.0024260664555536956,0.0037912025552223564,0.03232444824962247,poly,TPESampler,COMPLETE
12,0.3518525654773928,2025-04-24 20:59:16.613698,2025-04-24 20:59:17.221790,0 days 00:00:00.608092,0.11565134635064091,0.002517967370381086,0.4538303729574535,linear,TPESampler,COMPLETE
13,0.3031989565206317,2025-04-24 20:59:17.390105,2025-04-24 20:59:17.996805,0 days 00:00:00.606700,73.17700840621299,0.003216447245274055,0.0008410489868662449,rbf,TPESampler,COMPLETE
14,0.2744107298409694,2025-04-24 20:59:18.162344,2025-04-24 20:59:32.177647,0 days 00:00:14.015303,19.309228934927294,0.0023862655924293307,0.5511397186517476,linear,TPESampler,COMPLETE
15,0.7560332735644762,2025-04-24 20:59:30.351266,2025-04-24 20:59:31.097760,0 days 00:00:00.746494,0.26887481701577093,0.018550396216544945,0.9436392871946809,rbf,TPESampler,COMPLETE
16,53.19747078767993,2025-04-24 20:59:31.281497,2025-04-24 20:59:31.911347,0 days 00:00:00.629850,1.741806397975041,0.0049257896184119136,0.5018534157767565,sigmoid,TPESampler,COMPLETE
17,0.2763236587070811,2025-04-24 20:59:32.104911,2025-04-24 21:00:11.051438,0 days 00:00:38.946527,67.89190415399233,0.0029025238847461277,0.8431772342708859,linear,TPESampler,COMPLETE
18,0.26293555669561997,2025-04-24 20:59:32.353368,2025-04-24 20:59:34.234375,0 days 00:00:01.881007,1.856910877094709,0.024520270749297815,0.2254836135142775,linear,TPESampler,COMPLETE
19,0.2726504039792563,2025-04-24 20:59:32.663757,2025-04-24 20:59:39.273840,0 days 00:00:06.610083,8.20382367692227,0.001362164489199423,0.05356348792581822,linear,TPESampler,COMPLETE
20,0.2927738480975311,2025-04-24 20:59:34.395437,2025-04-24 20:59:45.430982,0 days 00:00:11.035545,27.04801741565244,0.23968941070149166,0.774686308668055,linear,TPESampler,COMPLETE
21,0.2790695160925049,2025-04-24 20:59:39.430288,2025-04-24 20:59:40.258022,0 days 00:00:00.827734,0.36917022978724573,0.02318386904318831,0.04074623336686673,linear,TPESampler,COMPLETE
22,0.38021266304568563,2025-04-24 20:59:40.421699,2025-04-24 20:59:40.884642,0 days 00:00:00.462943,7.049776072615584,0.5165258454828209,0.01730685891405347,rbf,TPESampler,COMPLETE
23,0.27561234210922697,2025-04-24 20:59:41.044541,2025-04-24 20:59:42.018370,0 days 00:00:00.973829,0.5253325063188177,0.0016680450494989776,0.023857631402551954,linear,TPESampler,COMPLETE
24,0.26696711702046205,2025-04-24 20:59:42.185597,2025-04-24 20:59:43.095548,0 days 00:00:00.909951,0.5523422257350995,0.03868092901997097,0.7984822587223166,linear,TPESampler,COMPLETE
25,0.26341487718690365,2025-04-24 20:59:43.258258,2025-04-24 20:59:44.261532,0 days 00:00:01.003274,0.6646638702258444,0.039650259921931,0.9919062990180644,linear,TPESampler,COMPLETE
26,9.395715062391899,2025-04-24 20:59:44.410498,2025-04-24 20:59:44.925018,0 days 00:00:00.514520,0.3932854881861685,0.11099320464502425,0.23815869261950484,sigmoid,TPESampler,COMPLETE
27,11.555927849879664,2025-04-24 20:59:45.087876,2025-04-24 23:31:40.746412,0 days 02:31:55.658536,4.647974787160474,0.006710494303105048,0.9064694542239767,poly,TPESampler,COMPLETE
28,0.5140292794505185,2025-04-24 20:59:45.608117,2025-04-24 20:59:46.108034,0 days 00:00:00.499917,0.004059316992102368,0.07636266913470012,0.6406192180183642,linear,TPESampler,COMPLETE
29,0.5990246712841246,2025-04-24 20:59:46.260108,2025-04-24 20:59:46.794960,0 days 00:00:00.534852,12.078396735572335,0.06954921126457639,0.8108970605334599,rbf,TPESampler,COMPLETE
30,0.7489256416502602,2025-04-24 20:59:46.952632,2025-04-24 21:10:56.869180,0 days 00:11:09.916548,0.07144077251697485,0.048867164851335625,0.5897450407820432,poly,TPESampler,COMPLETE
31,0.8403700358990037,2025-04-24 21:00:11.222263,2025-04-24 21:00:11.763669,0 days 00:00:00.541406,0.08229622246357596,0.008594602108474436,0.00026523189268484943,sigmoid,TPESampler,COMPLETE
32,0.8724397063882301,2025-04-24 21:00:11.921854,2025-04-24 21:00:12.436292,0 days 00:00:00.514438,0.0013864053843778163,0.8868850491579657,0.3272823799568454,sigmoid,TPESampler,COMPLETE
33,0.2846377403672601,2025-04-24 21:00:12.609905,2025-04-24 21:00:13.345571,0 days 00:00:00.735666,0.31604453683453015,0.03428871626003877,0.9189244509988366,linear,TPESampler,COMPLETE
34,0.2635962188550845,2025-04-24 21:00:13.499891,2025-04-24 21:00:16.088649,0 days 00:00:02.588758,2.599271651473485,0.016760301131257815,0.15047571887494282,linear,TPESampler,COMPLETE
35,0.2730888148454045,2025-04-24 21:00:16.251901,2025-04-24 21:00:24.623154,0 days 00:00:08.371253,8.796921841343126,0.02787305085922509,0.18106840894715506,linear,TPESampler,COMPLETE
36,0.27829684408238736,2025-04-24 21:00:24.802579,2025-04-24 21:00:25.461996,0 days 00:00:00.659417,3.9382927290577823,0.015494723278326983,0.076533639139764,rbf,TPESampler,COMPLETE
37,0.2649865896504108,2025-04-24 21:00:25.646768,2025-04-24 21:00:28.639135,0 days 00:00:02.992367,2.994947513585291,0.01546326523636161,0.8670492601704036,linear,TPESampler,COMPLETE
38,0.5228465921931993,2025-04-24 21:00:28.815182,2025-04-24 21:00:29.270177,0 days 00:00:00.454995,0.23468516551501595,0.8912129821228113,0.06928709801506626,linear,TPESampler,COMPLETE
39,0.6922355273646281,2025-04-24 21:00:29.452571,2025-04-24 21:00:30.075775,0 days 00:00:00.623204,0.5967400781148786,0.0011382920141736314,0.00011703684297727065,rbf,TPESampler,COMPLETE
40,177.96790349048342,2025-04-24 21:00:30.273207,2025-04-24 21:00:30.987031,0 days 00:00:00.713824,7.912872463561587,0.01679805990990114,0.044421036573098274,sigmoid,TPESampler,COMPLETE
41,0.737186266800301,2025-04-24 21:00:31.200040,2025-04-24 21:00:31.761441,0 days 00:00:00.561401,0.03646460514286132,0.42612069196727376,0.002870243155805166,sigmoid,TPESampler,COMPLETE
42,0.9015111181677448,2025-04-24 21:00:31.952678,2025-04-24 21:00:32.712185,0 days 00:00:00.759507,0.0049627441403846135,0.0011522183778533142,0.0003234927926084171,poly,TPESampler,COMPLETE
43,0.26052938820427396,2025-04-24 21:00:32.945706,2025-04-24 21:00:35.170226,0 days 00:00:02.224520,2.0824167572583825,0.004420879340695988,0.7093613633929048,linear,TPESampler,COMPLETE
44,0.8888594156137889,2025-04-24 21:00:35.366972,2025-04-24 23:06:26.946750,0 days 02:05:51.579778,0.12096661470030017,0.0013791201729680598,0.8185449726357982,poly,TPESampler,COMPLETE
