number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
0,1.1579755495671251,2025-04-24 21:00:23.343717,2025-04-24 21:00:24.068158,0 days 00:00:00.724441,absolute_error,27,sqrt,2,20,best,RandomSampler,COMPLETE
1,1.4099363199826813,2025-04-24 21:00:23.361089,2025-04-24 21:00:23.894376,0 days 00:00:00.533287,absolute_error,24,log2,5,17,random,RandomSampler,COMPLETE
2,1.3408130340550188,2025-04-24 21:00:23.432652,2025-04-24 21:00:23.972291,0 days 00:00:00.539639,absolute_error,28,sqrt,7,7,best,RandomSampler,COMPLETE
3,1.321660496939291,2025-04-24 21:00:24.115891,2025-04-24 21:00:24.800070,0 days 00:00:00.684179,squared_error,2,sqrt,1,15,random,TPESampler,COMPLETE
4,1.2144909973673537,2025-04-24 21:00:24.170649,2025-04-24 21:00:24.793232,0 days 00:00:00.622583,absolute_error,19,sqrt,3,16,best,TPESampler,COMPLETE
5,1.1725983074554982,2025-04-24 21:00:24.326419,2025-04-24 21:00:24.966402,0 days 00:00:00.639983,friedman_mse,29,sqrt,3,2,random,TPESampler,COMPLETE
6,1.3677569516816517,2025-04-24 21:00:25.020859,2025-04-24 21:00:25.600107,0 days 00:00:00.579248,squared_error,3,log2,10,6,best,TPESampler,COMPLETE
7,1.4222892482905918,2025-04-24 21:00:25.073417,2025-04-24 21:00:25.912190,0 days 00:00:00.838773,absolute_error,1,sqrt,6,8,best,TPESampler,COMPLETE
8,1.0131068116827324,2025-04-24 21:00:25.194567,2025-04-24 21:00:26.065360,0 days 00:00:00.870793,absolute_error,12,log2,3,14,best,TPESampler,COMPLETE
9,1.146242075754961,2025-04-24 21:00:25.800012,2025-04-24 21:00:26.355301,0 days 00:00:00.555289,squared_error,11,sqrt,2,3,random,TPESampler,COMPLETE
10,1.344003918250421,2025-04-24 21:00:26.174577,2025-04-24 21:00:26.743553,0 days 00:00:00.568976,friedman_mse,20,log2,3,14,random,TPESampler,COMPLETE
11,1.3677569516816517,2025-04-24 21:00:26.253713,2025-04-24 21:00:26.937786,0 days 00:00:00.684073,friedman_mse,14,log2,4,15,best,TPESampler,COMPLETE
12,1.1809758727465913,2025-04-24 21:00:26.726462,2025-04-24 21:00:27.354073,0 days 00:00:00.627611,squared_error,6,sqrt,3,3,random,TPESampler,COMPLETE
13,0.9921451435368585,2025-04-24 21:00:27.057523,2025-04-24 21:00:27.843504,0 days 00:00:00.785981,absolute_error,16,log2,2,9,best,TPESampler,COMPLETE
14,1.0131068116827324,2025-04-24 21:00:27.126107,2025-04-24 21:00:27.927527,0 days 00:00:00.801420,absolute_error,8,log2,2,14,best,TPESampler,COMPLETE
15,1.0131068116827324,2025-04-24 21:00:27.630122,2025-04-24 21:00:28.183525,0 days 00:00:00.553403,absolute_error,23,log2,3,7,best,TPESampler,COMPLETE
16,1.4138971746431086,2025-04-24 21:00:28.072076,2025-04-24 21:00:28.758353,0 days 00:00:00.686277,absolute_error,9,log2,4,6,best,TPESampler,COMPLETE
17,1.0237524860707625,2025-04-24 21:00:28.149308,2025-04-24 21:00:28.855573,0 days 00:00:00.706265,absolute_error,4,log2,2,5,best,TPESampler,COMPLETE
18,0.856694216724409,2025-04-24 21:00:28.382558,2025-04-24 21:00:29.111753,0 days 00:00:00.729195,squared_error,14,log2,2,7,best,TPESampler,COMPLETE
19,0.7246988308181394,2025-04-24 21:00:28.972662,2025-04-24 21:00:29.705065,0 days 00:00:00.732403,squared_error,23,log2,1,3,best,TPESampler,COMPLETE
20,0.8297844106018962,2025-04-24 21:00:29.051493,2025-04-24 21:00:29.870454,0 days 00:00:00.818961,squared_error,20,log2,2,6,best,TPESampler,COMPLETE
21,0.8622037809680244,2025-04-24 21:00:29.321029,2025-04-24 21:00:30.075979,0 days 00:00:00.754950,squared_error,23,log2,3,12,best,TPESampler,COMPLETE
22,0.8294451661513046,2025-04-24 21:00:30.010472,2025-04-24 21:00:30.889242,0 days 00:00:00.878770,squared_error,27,log2,2,2,best,TPESampler,COMPLETE
23,0.6940885250748186,2025-04-24 21:00:30.107550,2025-04-24 21:00:31.218010,0 days 00:00:01.110460,squared_error,26,log2,1,2,best,TPESampler,COMPLETE
24,0.8116023347124355,2025-04-24 21:00:30.256644,2025-04-24 21:00:31.230085,0 days 00:00:00.973441,squared_error,13,log2,2,2,best,TPESampler,COMPLETE
25,0.736935003228652,2025-04-24 21:00:31.149739,2025-04-24 21:00:31.853184,0 days 00:00:00.703445,friedman_mse,30,log2,1,5,best,TPESampler,COMPLETE
26,0.6962347938275559,2025-04-24 21:00:31.435719,2025-04-24 21:00:32.416183,0 days 00:00:00.980464,friedman_mse,35,log2,1,3,best,TPESampler,COMPLETE
27,1.2144005393002264,2025-04-24 21:00:31.489299,2025-04-24 21:00:32.297414,0 days 00:00:00.808115,friedman_mse,34,log2,1,9,random,TPESampler,COMPLETE
28,1.3877582794236027,2025-04-24 21:00:32.150604,2025-04-24 21:00:33.331578,0 days 00:00:01.180974,absolute_error,33,log2,2,4,random,TPESampler,COMPLETE
29,0.705153727653071,2025-04-24 21:00:32.585989,2025-04-24 21:00:33.510942,0 days 00:00:00.924953,squared_error,34,sqrt,1,7,best,TPESampler,COMPLETE
30,0.6750603857551389,2025-04-24 21:00:32.772420,2025-04-24 21:00:33.893861,0 days 00:00:01.121441,squared_error,27,sqrt,1,2,best,TPESampler,COMPLETE
31,0.7572120212089476,2025-04-24 21:00:33.566939,2025-04-24 21:00:34.297510,0 days 00:00:00.730571,squared_error,30,sqrt,1,9,best,TPESampler,COMPLETE
32,0.7221749259799802,2025-04-24 21:00:33.764631,2025-04-24 21:00:34.548758,0 days 00:00:00.784127,squared_error,35,sqrt,2,4,best,TPESampler,COMPLETE
33,0.7418571718931632,2025-04-24 21:00:34.127416,2025-04-24 21:00:34.829496,0 days 00:00:00.702080,squared_error,23,sqrt,1,3,best,TPESampler,COMPLETE
34,1.0416889220350627,2025-04-24 21:00:34.600242,2025-04-24 21:00:35.336264,0 days 00:00:00.736022,absolute_error,33,sqrt,2,9,best,TPESampler,COMPLETE
35,1.1767590822151803,2025-04-24 21:00:34.779633,2025-04-24 21:00:35.493976,0 days 00:00:00.714343,squared_error,35,sqrt,1,8,random,TPESampler,COMPLETE
36,0.6527618645843418,2025-04-24 21:00:35.255258,2025-04-24 21:00:35.896989,0 days 00:00:00.641731,absolute_error,35,log2,1,4,best,TPESampler,COMPLETE
37,0.7131902576718143,2025-04-24 21:00:35.577843,2025-04-24 21:00:36.457948,0 days 00:00:00.880105,absolute_error,30,log2,1,3,best,TPESampler,COMPLETE
38,0.7225550674205817,2025-04-24 21:00:35.769171,2025-04-24 21:00:36.517837,0 days 00:00:00.748666,absolute_error,35,log2,1,5,best,TPESampler,COMPLETE
39,0.8294451661513046,2025-04-24 21:00:36.145096,2025-04-24 21:00:37.221735,0 days 00:00:01.076639,friedman_mse,33,log2,2,2,best,TPESampler,COMPLETE
40,1.01198968648017,2025-04-24 21:00:36.674092,2025-04-24 21:00:37.591019,0 days 00:00:00.916927,friedman_mse,21,sqrt,2,5,best,TPESampler,COMPLETE
41,1.2076965740491883,2025-04-24 21:00:36.728287,2025-04-24 21:00:37.548886,0 days 00:00:00.820599,absolute_error,31,sqrt,3,2,best,TPESampler,COMPLETE
42,0.7005142358620232,2025-04-24 21:00:37.486731,2025-04-24 21:00:38.156182,0 days 00:00:00.669451,friedman_mse,35,sqrt,1,8,best,TPESampler,COMPLETE
43,0.7210074432052395,2025-04-24 21:00:37.763945,2025-04-24 21:00:38.570606,0 days 00:00:00.806661,friedman_mse,30,sqrt,1,3,best,TPESampler,COMPLETE
44,0.9675646360410559,2025-04-24 21:00:37.817412,2025-04-24 21:00:38.566661,0 days 00:00:00.749249,friedman_mse,31,sqrt,2,14,best,TPESampler,COMPLETE
45,1.323365692598151,2025-04-24 21:00:38.377439,2025-04-24 21:00:39.446035,0 days 00:00:01.068596,squared_error,26,log2,2,5,random,TPESampler,COMPLETE
46,0.6827800452619114,2025-04-24 21:00:38.758946,2025-04-24 21:00:39.635791,0 days 00:00:00.876845,squared_error,35,log2,1,4,best,TPESampler,COMPLETE
47,1.4148597056909755,2025-04-24 21:00:38.808137,2025-04-24 21:00:39.771689,0 days 00:00:00.963552,absolute_error,24,sqrt,10,15,random,TPESampler,COMPLETE
48,1.3262151716400714,2025-04-24 21:00:39.660566,2025-04-24 21:00:40.413449,0 days 00:00:00.752883,squared_error,9,sqrt,10,4,random,TPESampler,COMPLETE
49,0.7814983001618244,2025-04-24 21:00:39.924768,2025-04-24 21:00:41.031869,0 days 00:00:01.107101,squared_error,33,log2,1,8,best,TPESampler,COMPLETE
50,1.3677569516816517,2025-04-24 21:00:40.014498,2025-04-24 21:00:40.802320,0 days 00:00:00.787822,squared_error,18,log2,8,18,best,TPESampler,COMPLETE
51,1.050290632693015,2025-04-24 21:00:40.747190,2025-04-24 21:00:41.446010,0 days 00:00:00.698820,friedman_mse,31,sqrt,3,8,best,TPESampler,COMPLETE
52,0.8294451661513046,2025-04-24 21:00:41.104176,2025-04-24 21:00:41.945687,0 days 00:00:00.841511,squared_error,34,log2,2,2,best,TPESampler,COMPLETE
53,0.6922245801195056,2025-04-24 21:00:41.323615,2025-04-24 21:00:42.054315,0 days 00:00:00.730700,squared_error,33,log2,1,3,best,TPESampler,COMPLETE
54,1.3677569516816517,2025-04-24 21:00:41.688203,2025-04-24 21:00:42.530262,0 days 00:00:00.842059,friedman_mse,29,log2,8,4,best,TPESampler,COMPLETE
55,1.0673201805126924,2025-04-24 21:00:42.157935,2025-04-24 21:00:42.946911,0 days 00:00:00.788976,squared_error,26,sqrt,5,4,best,TPESampler,COMPLETE
56,0.7236280706063103,2025-04-24 21:00:42.386882,2025-04-24 21:00:43.173530,0 days 00:00:00.786648,squared_error,33,log2,1,4,best,TPESampler,COMPLETE
57,1.3262151716400714,2025-04-24 21:00:42.800456,2025-04-24 21:00:43.476695,0 days 00:00:00.676239,squared_error,1,sqrt,8,19,random,TPESampler,COMPLETE
58,0.956874881353438,2025-04-24 21:00:43.211620,2025-04-24 21:00:43.980477,0 days 00:00:00.768857,squared_error,27,sqrt,6,16,best,TPESampler,COMPLETE
59,1.019101943004136,2025-04-24 21:00:43.479962,2025-04-24 21:00:44.548348,0 days 00:00:01.068386,squared_error,27,sqrt,1,2,random,TPESampler,COMPLETE
60,0.630903210521767,2025-04-24 21:00:43.881980,2025-04-24 21:00:44.714817,0 days 00:00:00.832837,friedman_mse,35,log2,1,7,best,TPESampler,COMPLETE
61,0.630903210521767,2025-04-24 21:00:44.467371,2025-04-24 21:00:45.211711,0 days 00:00:00.744340,friedman_mse,35,log2,1,7,best,TPESampler,COMPLETE
62,1.4138971746431086,2025-04-24 21:00:44.784966,2025-04-24 21:00:45.509873,0 days 00:00:00.724907,absolute_error,31,log2,4,5,best,TPESampler,COMPLETE
63,1.3677569516816517,2025-04-24 21:00:44.954797,2025-04-24 21:00:45.714026,0 days 00:00:00.759229,friedman_mse,35,log2,4,11,best,TPESampler,COMPLETE
64,1.3322345159230207,2025-04-24 21:00:45.458859,2025-04-24 21:00:46.114539,0 days 00:00:00.655680,friedman_mse,24,sqrt,8,3,random,TPESampler,COMPLETE
65,0.7404423285719909,2025-04-24 21:00:45.794996,2025-04-24 21:00:46.566487,0 days 00:00:00.771491,friedman_mse,34,log2,1,9,best,TPESampler,COMPLETE
66,0.6941102797207614,2025-04-24 21:00:45.998365,2025-04-24 21:00:46.761266,0 days 00:00:00.762901,friedman_mse,35,log2,1,9,best,TPESampler,COMPLETE
67,0.7236280706063103,2025-04-24 21:00:46.413118,2025-04-24 21:00:47.134356,0 days 00:00:00.721238,squared_error,33,log2,1,4,best,TPESampler,COMPLETE
68,1.0993459613881815,2025-04-24 21:00:46.798232,2025-04-24 21:00:47.489495,0 days 00:00:00.691263,absolute_error,28,sqrt,1,18,random,TPESampler,COMPLETE
69,1.3498283893880367,2025-04-24 21:00:47.042384,2025-04-24 21:00:47.783635,0 days 00:00:00.741251,friedman_mse,8,log2,2,19,random,TPESampler,COMPLETE
70,1.3625908614134468,2025-04-24 21:00:47.379099,2025-04-24 21:00:48.068449,0 days 00:00:00.689350,friedman_mse,8,log2,5,6,random,TPESampler,COMPLETE
71,1.3679729947669532,2025-04-24 21:00:47.741379,2025-04-24 21:00:48.419715,0 days 00:00:00.678336,friedman_mse,29,log2,9,14,random,TPESampler,COMPLETE
72,0.827471460821445,2025-04-24 21:00:48.062369,2025-04-24 21:00:48.715388,0 days 00:00:00.653019,friedman_mse,23,log2,2,10,best,TPESampler,COMPLETE
73,0.7694633557640977,2025-04-24 21:00:48.308553,2025-04-24 21:00:49.010928,0 days 00:00:00.702375,friedman_mse,33,log2,1,9,best,TPESampler,COMPLETE
74,0.6966010673464934,2025-04-24 21:00:48.668248,2025-04-24 21:00:49.371692,0 days 00:00:00.703444,squared_error,31,sqrt,1,2,best,TPESampler,COMPLETE
