number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
0,0.6488182182045165,2025-04-24 21:34:59.984063,2025-04-24 21:35:02.433233,0 days 00:00:02.449170,0.016826891576942185,4,log2,1,9,1115,0.8028193994890255,RandomSampler,COMPLETE
1,1.0691413522849011,2025-04-24 21:35:00.002391,2025-04-24 21:35:01.118025,0 days 00:00:01.115634,0.03675732420413807,5,log2,10,14,187,0.9927817120224615,RandomSampler,COMPLETE
2,0.2986685794337527,2025-04-24 21:35:00.073567,2025-04-24 21:35:02.279059,0 days 00:00:02.205492,0.0910873377812742,8,log2,2,18,898,0.7147364501594144,RandomSampler,COMPLETE
3,0.6843136212368741,2025-04-24 21:35:01.309368,2025-04-24 21:35:03.492287,0 days 00:00:02.182919,0.014118473165593224,6,sqrt,10,9,1120,0.6217810880136838,TPESampler,COMPLETE
4,0.6193596956432029,2025-04-24 21:35:02.451838,2025-04-24 21:35:04.255586,0 days 00:00:01.803748,0.051962730499187926,6,log2,8,9,1086,0.6314518047469128,TPESampler,COMPLETE
5,0.3725269274109654,2025-04-24 21:35:02.639748,2025-04-24 21:35:05.240095,0 days 00:00:02.600347,0.018291516232020796,12,,6,11,463,0.6379239735653496,TPESampler,COMPLETE
6,0.8531500330963745,2025-04-24 21:35:03.662832,2025-04-24 21:35:05.274204,0 days 00:00:01.611372,0.046068621033928635,12,log2,10,19,777,0.7040213049613804,TPESampler,COMPLETE
7,0.523823880347866,2025-04-24 21:35:04.431673,2025-04-24 21:35:07.056369,0 days 00:00:02.624696,0.01538482358179236,11,sqrt,10,11,1406,0.9008819226599322,TPESampler,COMPLETE
8,0.374116903394304,2025-04-24 21:35:05.388008,2025-04-24 21:35:08.834056,0 days 00:00:03.446048,0.021290939283130663,9,sqrt,6,18,1397,0.9670680228593076,TPESampler,COMPLETE
9,0.8927364141888579,2025-04-24 21:35:05.434669,2025-04-24 21:35:07.295860,0 days 00:00:01.861191,0.017992349315017128,8,log2,4,17,665,0.8380270181791318,TPESampler,COMPLETE
10,0.6473262997191602,2025-04-24 21:35:07.242825,2025-04-24 21:35:09.231938,0 days 00:00:01.989113,0.011098541549011354,5,sqrt,6,16,742,0.7052447697819823,TPESampler,COMPLETE
11,0.3797922599984012,2025-04-24 21:35:07.494811,2025-04-24 21:35:09.120578,0 days 00:00:01.625767,0.06826886400582294,11,log2,4,10,513,0.7775143336882999,TPESampler,COMPLETE
