number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_channels,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_num_layers,params_num_timesteps,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.03249881789088249,2025-04-26 09:17:09.419710,2025-04-26 09:17:27.755020,0 days 00:00:18.335310,0.2130017552849706,32,176,208,96.0,96.0,4,4,2,0.0006856662258945412,0.6,/work3/arnaou/checkpoints/Vc_trial_0_best_state.pt,"{'learning_rate': 0.0006856662258945412, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.04623696953058243,2025-04-26 09:17:09.432967,2025-04-26 09:17:19.977523,0 days 00:00:10.544556,0.2757543311479632,160,32,96,64.0,,3,1,1,0.0006633165285198089,0.6,/work3/arnaou/checkpoints/Vc_trial_1_best_state.pt,"{'learning_rate': 0.0006633165285198089, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.04687464237213135,2025-04-26 09:17:09.492390,2025-04-26 09:17:24.606801,0 days 00:00:15.114411,0.14655649847744542,48,32,144,128.0,128.0,4,3,3,0.0006427423126764161,0.6,/work3/arnaou/checkpoints/Vc_trial_2_best_state.pt,"{'learning_rate': 0.0006427423126764161, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.010602178983390331,2025-04-26 09:17:20.137190,2025-04-26 09:17:28.115765,0 days 00:00:07.978575,0.03294532391471012,176,176,96,240.0,128.0,4,1,1,0.002647259629390351,0.6,/work3/arnaou/checkpoints/Vc_trial_3_best_state.pt,"{'learning_rate': 0.002647259629390351, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.033109400421381,2025-04-26 09:17:24.787471,2025-04-26 09:17:32.836557,0 days 00:00:08.049086,0.23401135345551094,144,256,112,32.0,112.0,4,2,3,0.0013666426623156385,0.6,/work3/arnaou/checkpoints/Vc_trial_4_best_state.pt,"{'learning_rate': 0.0013666426623156385, 'lr_reduce': 0.6}",TPESampler,COMPLETE
5,0.02553020417690277,2025-04-26 09:17:27.924773,2025-04-26 09:17:39.569106,0 days 00:00:11.644333,0.08579399231010772,48,256,192,,,2,3,2,0.0008525780362510241,0.6,/work3/arnaou/checkpoints/Vc_trial_5_best_state.pt,"{'learning_rate': 0.0008525780362510241, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.02120811678469181,2025-04-26 09:17:28.272345,2025-04-26 09:17:43.854205,0 days 00:00:15.581860,0.0019308554031323144,240,80,160,256.0,144.0,4,1,3,0.00010756213418999038,0.6,/work3/arnaou/checkpoints/Vc_trial_6_best_state.pt,"{'learning_rate': 0.00010756213418999038, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.01903977058827877,2025-04-26 09:17:33.005077,2025-04-26 09:17:45.285946,0 days 00:00:12.280869,0.19415026477550434,192,176,80,,,2,2,2,0.000785751125679196,0.6,/work3/arnaou/checkpoints/Vc_trial_7_best_state.pt,"{'learning_rate': 0.000785751125679196, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.022160012274980545,2025-04-26 09:17:39.728955,2025-04-26 09:18:00.146887,0 days 00:00:20.417932,0.0878456011350787,224,240,208,,,2,4,2,0.0003266792917967683,0.6,/work3/arnaou/checkpoints/Vc_trial_8_best_state.pt,"{'learning_rate': 0.0003266792917967683, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.015773069113492966,2025-04-26 09:17:44.192004,2025-04-26 09:18:01.811000,0 days 00:00:17.618996,0.016447704896727155,160,48,64,208.0,128.0,4,3,4,0.00045770654343451006,0.6,/work3/arnaou/checkpoints/Vc_trial_9_best_state.pt,"{'learning_rate': 0.00045770654343451006, 'lr_reduce': 0.6}",TPESampler,COMPLETE
10,0.011208116076886654,2025-04-26 09:17:45.693444,2025-04-26 09:17:55.605563,0 days 00:00:09.912119,0.1557385430674412,208,64,192,,,2,2,2,0.005998698556687795,0.6,/work3/arnaou/checkpoints/Vc_trial_10_best_state.pt,"{'learning_rate': 0.005998698556687795, 'lr_reduce': 0.6}",TPESampler,COMPLETE
11,0.04128265753388405,2025-04-26 09:17:55.933710,2025-04-26 09:18:02.424553,0 days 00:00:06.490843,0.1852138981981359,128,32,96,256.0,,3,2,1,0.008516244681977501,0.6,/work3/arnaou/checkpoints/Vc_trial_11_best_state.pt,"{'learning_rate': 0.008516244681977501, 'lr_reduce': 0.6}",TPESampler,COMPLETE
12,0.016510318964719772,2025-04-26 09:18:00.514994,2025-04-26 09:18:11.704968,0 days 00:00:11.189974,0.016344140069337317,192,176,128,176.0,224.0,4,1,1,0.005786225076501995,0.6,/work3/arnaou/checkpoints/Vc_trial_12_best_state.pt,"{'learning_rate': 0.005786225076501995, 'lr_reduce': 0.6}",TPESampler,COMPLETE
13,0.02380962297320366,2025-04-26 09:18:01.969363,2025-04-26 09:18:12.081064,0 days 00:00:10.111701,0.09441894112072065,224,112,224,,,2,3,2,0.0035800543128353957,0.6,/work3/arnaou/checkpoints/Vc_trial_13_best_state.pt,"{'learning_rate': 0.0035800543128353957, 'lr_reduce': 0.6}",TPESampler,COMPLETE
14,0.01308336853981018,2025-04-26 09:18:02.573968,2025-04-26 09:18:11.220861,0 days 00:00:08.646893,0.2770953545739322,208,96,208,,,2,2,2,0.0018357952631413658,0.6,/work3/arnaou/checkpoints/Vc_trial_14_best_state.pt,"{'learning_rate': 0.0018357952631413658, 'lr_reduce': 0.6}",TPESampler,COMPLETE
15,0.02401401847600937,2025-04-26 09:18:11.383422,2025-04-26 09:18:21.153639,0 days 00:00:09.770217,0.11080301622385713,96,176,48,176.0,32.0,4,1,2,0.0010919905925838652,0.6,/work3/arnaou/checkpoints/Vc_trial_15_best_state.pt,"{'learning_rate': 0.0010919905925838652, 'lr_reduce': 0.6}",TPESampler,COMPLETE
16,0.021577343344688416,2025-04-26 09:18:11.822001,2025-04-26 09:18:20.536130,0 days 00:00:08.714129,0.10640073856470297,128,48,240,,,2,2,1,0.006191351549452884,0.6,/work3/arnaou/checkpoints/Vc_trial_16_best_state.pt,"{'learning_rate': 0.006191351549452884, 'lr_reduce': 0.6}",TPESampler,COMPLETE
17,0.013698034919798374,2025-04-26 09:18:12.276406,2025-04-26 09:18:21.132156,0 days 00:00:08.855750,0.14348879287588598,240,48,112,,,2,2,2,0.002839298662209106,0.6,/work3/arnaou/checkpoints/Vc_trial_17_best_state.pt,"{'learning_rate': 0.002839298662209106, 'lr_reduce': 0.6}",TPESampler,COMPLETE
18,0.015564619563519955,2025-04-26 09:18:20.689673,2025-04-26 09:18:33.293363,0 days 00:00:12.603690,0.0663873930806318,224,144,144,208.0,,3,1,2,0.0008336640740117609,0.6,/work3/arnaou/checkpoints/Vc_trial_18_best_state.pt,"{'learning_rate': 0.0008336640740117609, 'lr_reduce': 0.6}",TPESampler,COMPLETE
19,0.01486839447170496,2025-04-26 09:18:21.296915,2025-04-26 09:18:34.681032,0 days 00:00:13.384117,0.17104403005986638,208,112,176,,,2,1,4,0.00862532325912146,0.6,/work3/arnaou/checkpoints/Vc_trial_19_best_state.pt,"{'learning_rate': 0.00862532325912146, 'lr_reduce': 0.6}",TPESampler,COMPLETE
20,0.017762210220098495,2025-04-26 09:18:21.343498,2025-04-26 09:18:35.813657,0 days 00:00:14.470159,0.03795630527724281,128,160,192,144.0,256.0,4,2,2,0.0004308784875857697,0.6,/work3/arnaou/checkpoints/Vc_trial_20_best_state.pt,"{'learning_rate': 0.0004308784875857697, 'lr_reduce': 0.6}",TPESampler,COMPLETE
21,0.022769557312130928,2025-04-26 09:18:33.471893,2025-04-26 09:18:44.353107,0 days 00:00:10.881214,0.1505515045406321,208,144,80,256.0,176.0,4,2,1,0.003247345894759022,0.6,/work3/arnaou/checkpoints/Vc_trial_21_best_state.pt,"{'learning_rate': 0.003247345894759022, 'lr_reduce': 0.6}",TPESampler,COMPLETE
