number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.011084086261689663,2025-04-24 20:47:15.733735,2025-04-24 20:49:46.711880,0 days 00:02:30.978145,0.09790293709621731,128,4,4,64,0.231221382503764,80,3,1,96,0.2810661090763514,128,2,4,48,0.2517929626808741,240,512.0,,2,2,0.0034622033304023627,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_0_best_state.pt,"{'learning_rate': 0.0034622033304023627, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.013903443701565266,2025-04-24 20:47:15.741775,2025-04-24 20:49:58.183712,0 days 00:02:42.441937,0.05894827463309209,176,4,3,80,0.08165794026439895,208,4,2,48,0.052294254680201886,96,3,3,80,0.16299920357652872,328,184.0,376.0,3,1,0.009549928510974337,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_1_best_state.pt,"{'learning_rate': 0.009549928510974337, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.03185221552848816,2025-04-24 20:47:15.791028,2025-04-24 20:49:37.010489,0 days 00:02:21.219461,0.17054732141354653,64,1,1,48,0.11330865218044088,208,3,2,96,0.06712955190637063,128,1,3,64,0.05062471385167315,344,,,1,1,0.0004602532631540414,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_2_best_state.pt,"{'learning_rate': 0.0004602532631540414, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.018356185406446457,2025-04-24 20:49:37.165929,2025-04-24 20:52:18.348113,0 days 00:02:41.182184,0.2724736812876937,112,1,3,80,0.04062011373160732,112,4,1,112,0.1147565973498876,80,3,1,48,0.11213757895676825,192,336.0,472.0,3,1,0.00016961503748861027,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_3_best_state.pt,"{'learning_rate': 0.00016961503748861027, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.03695497289299965,2025-04-24 20:49:46.916343,2025-04-24 20:52:51.369099,0 days 00:03:04.452756,0.0630419398082634,176,3,4,64,0.25069214236758836,208,1,2,80,0.12035930061295802,32,2,2,48,0.18485621928015752,272,376.0,,2,1,0.00012892348224901573,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_4_best_state.pt,"{'learning_rate': 0.00012892348224901573, 'lr_reduce': 0.6}",TPESampler,COMPLETE
5,0.028458837419748306,2025-04-24 20:49:58.360000,2025-04-24 20:52:18.579122,0 days 00:02:20.219122,0.2771845333439778,176,2,2,96,0.24404261539044841,80,3,3,48,0.09369465019314908,112,2,1,32,0.02396166640939883,464,144.0,240.0,3,1,0.008989730261433989,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_5_best_state.pt,"{'learning_rate': 0.008989730261433989, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.026399314403533936,2025-04-24 20:52:18.508471,2025-04-24 20:55:02.860868,0 days 00:02:44.352397,0.04247310876224162,80,2,4,80,0.22751939446407501,192,3,2,112,0.1362647580660629,80,1,4,64,0.03224851109348723,152,192.0,88.0,3,2,0.00020923374841254832,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_6_best_state.pt,"{'learning_rate': 0.00020923374841254832, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.015822799876332283,2025-04-24 20:52:18.740828,2025-04-24 20:54:07.996231,0 days 00:01:49.255403,0.10001980554329716,192,2,4,32,0.04790396908363618,224,4,3,96,0.2663950460179235,128,1,1,112,0.06091156760246019,256,496.0,,2,2,0.00537049855233334,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_7_best_state.pt,"{'learning_rate': 0.00537049855233334, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.05088000372052193,2025-04-24 20:52:51.602670,2025-04-24 20:54:47.547532,0 days 00:01:55.944862,0.10212125119254085,160,1,2,96,0.2765709906022855,112,1,4,112,0.12367377984412589,112,1,2,32,0.16155675252513796,224,400.0,384.0,3,1,0.00042551957375256484,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_8_best_state.pt,"{'learning_rate': 0.00042551957375256484, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.04982041195034981,2025-04-24 20:54:08.253073,2025-04-24 20:56:42.618118,0 days 00:02:34.365045,0.24446207572334083,208,4,1,32,0.19678239668799055,240,3,4,96,0.14151464493754026,112,3,1,80,0.2520139084972869,248,,,1,2,0.007757319374881455,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_9_best_state.pt,"{'learning_rate': 0.007757319374881455, 'lr_reduce': 0.6}",TPESampler,COMPLETE
10,0.06819891184568405,2025-04-24 20:54:47.880470,2025-04-24 20:56:46.015593,0 days 00:01:58.135123,0.2077455354785169,64,2,2,112,0.2608219223702228,112,1,3,96,0.12011510642633107,96,1,4,80,0.16229378217387297,512,,,1,2,0.0007924695230482708,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_10_best_state.pt,"{'learning_rate': 0.0007924695230482708, 'lr_reduce': 0.6}",TPESampler,COMPLETE
