number,value,datetime_start,datetime_complete,duration,params_constant_value,params_kernel_type,params_length_scale,params_noise_level,params_nu,system_attrs_auto:sampler,state
0,1.330751854096971,2025-04-24 20:58:22.981477,2025-04-24 20:58:26.333444,0 days 00:00:03.351967,1463.0480283345387,Matern,0.0041779322032917485,8.263773253630382e-09,0.5,RandomSampler,COMPLETE
1,1.3307518540986463,2025-04-24 20:58:23.113600,2025-04-24 20:58:32.553162,0 days 00:00:09.439562,1.6384756623589453e-05,Matern,4495.011307405061,1.0268753115173781e-09,0.5,RandomSampler,COMPLETE
2,1.3307518540991805,2025-04-24 20:58:23.174797,2025-04-24 20:58:26.879814,0 days 00:00:03.705017,2.5502145353693e-05,RBF,0.003104803324051908,4.3110631093469516e-08,2.5,RandomSampler,COMPLETE
3,1.330751854098505,2025-04-24 20:58:26.545132,2025-04-24 20:58:31.618562,0 days 00:00:05.073430,0.0008772298712052494,RBF,137.29943602675453,2.7010807744938207e-08,1.5,TPESampler,COMPLETE
4,1.3307518540985959,2025-04-24 20:58:27.099918,2025-04-24 20:58:30.201164,0 days 00:00:03.101246,2686.2717092078988,Matern,0.007282817312555588,4.107657663706715e-08,2.5,TPESampler,COMPLETE
5,1.330751854099817,2025-04-24 20:58:30.408685,2025-04-24 20:58:32.968221,0 days 00:00:02.559536,116.02268422096265,Matern,2.132641894618457e-05,7.251588490731278e-05,1.5,TPESampler,COMPLETE
6,1.330751854098314,2025-04-24 20:58:31.825136,2025-04-24 20:58:35.515450,0 days 00:00:03.690314,6.091239906078505e-05,Matern,2.6209782212300174e-05,4.1703050886829995e-06,0.5,TPESampler,COMPLETE
7,1.3677559959368413,2025-04-24 20:58:32.741165,2025-04-24 20:58:34.821118,0 days 00:00:02.079953,6.282845435213746e-06,RBF,0.0014488895718956006,0.19153851617860326,0.5,TPESampler,COMPLETE
8,0.210644595575979,2025-04-24 20:58:33.161572,2025-04-24 20:58:36.342706,0 days 00:00:03.181134,19.824052207839955,RBF,203.05443772260827,0.064262600409344,0.5,TPESampler,COMPLETE
9,0.21064472868114767,2025-04-24 20:58:35.026452,2025-04-24 20:58:41.097629,0 days 00:00:06.071177,2.266730091994054e-05,RBF,6.115099629088782,7.889713906140387e-05,1.5,TPESampler,COMPLETE
10,1.330751854098946,2025-04-24 20:58:35.719215,2025-04-24 20:58:41.049385,0 days 00:00:05.330170,0.0002161225552029682,RBF,93.78835975257189,5.421697220902778e-06,1.5,TPESampler,COMPLETE
11,1.330751854087915,2025-04-24 20:58:36.539067,2025-04-24 20:58:38.958825,0 days 00:00:02.419758,9.024400773007253,Matern,3.6037739343816456e-05,9.341773506896975e-08,1.5,TPESampler,COMPLETE
12,1.367756951665171,2025-04-24 20:58:39.156770,2025-04-24 20:58:43.591506,0 days 00:00:04.434736,0.726201231488869,RBF,48301.93961010409,0.05418084392406717,0.5,TPESampler,COMPLETE
13,0.210644645498711,2025-04-24 20:58:41.207210,2025-04-24 20:58:44.476951,0 days 00:00:03.269741,320.2211910895137,RBF,21.327757422965952,0.3174800429564143,1.5,TPESampler,COMPLETE
14,0.2741901055910224,2025-04-24 20:58:41.273684,2025-04-24 20:58:44.703879,0 days 00:00:03.430195,26.258450430398387,Matern,15.004965232205235,0.16588199536599996,0.5,TPESampler,COMPLETE
15,0.21064467042508997,2025-04-24 20:58:43.794486,2025-04-24 20:58:46.555752,0 days 00:00:02.761266,93091.8070706295,RBF,1.6308631335295276,0.008054401268650915,0.5,TPESampler,COMPLETE
16,0.21064426613404122,2025-04-24 20:58:44.660782,2025-04-24 20:58:47.735544,0 days 00:00:03.074762,5.978785911457827,RBF,0.5451485630608852,0.023316925777170414,1.5,TPESampler,COMPLETE
17,0.2106448851958389,2025-04-24 20:58:44.855004,2025-04-24 20:58:48.123523,0 days 00:00:03.268519,2022.8094328244415,RBF,471.3356315046775,0.6091315159469752,1.5,TPESampler,COMPLETE
18,1.3307518540997207,2025-04-24 20:58:46.768052,2025-04-24 20:58:50.262253,0 days 00:00:03.494201,100.40730197647329,RBF,15392.784945923706,2.8246557440963344e-07,0.5,TPESampler,COMPLETE
19,1.3307518540987955,2025-04-24 20:58:47.936975,2025-04-24 20:58:51.159486,0 days 00:00:03.222511,35.858186690672625,RBF,0.0002854781406162975,0.01574126110160467,1.5,TPESampler,COMPLETE
20,1.3307518540995549,2025-04-24 20:58:48.572088,2025-04-24 20:58:56.413110,0 days 00:00:07.841022,0.0003216941953305712,Matern,0.0036885037871778824,0.13624443379354897,1.5,TPESampler,COMPLETE
21,1.3307518540986925,2025-04-24 20:58:50.467288,2025-04-24 20:58:54.394094,0 days 00:00:03.926806,2.643047405830804,Matern,1052.8625903229217,0.00013992667200104998,1.5,TPESampler,COMPLETE
22,0.21064461418107475,2025-04-24 20:58:51.362384,2025-04-24 20:58:54.970179,0 days 00:00:03.607795,0.06044590757182463,RBF,31.141550009218363,0.13640357997159944,2.5,TPESampler,COMPLETE
23,0.21064253716680195,2025-04-24 20:58:54.611095,2025-04-24 20:58:58.032242,0 days 00:00:03.421147,156.9893524006823,RBF,4.389695688849217,0.00029456577820859896,1.5,TPESampler,COMPLETE
24,0.21064457712851303,2025-04-24 20:58:55.162889,2025-04-24 20:58:58.517855,0 days 00:00:03.354966,0.4419996910272002,RBF,117.96501645745009,0.25361388624659376,2.5,TPESampler,COMPLETE
25,0.2106462288192054,2025-04-24 20:58:56.616403,2025-04-24 20:58:59.693826,0 days 00:00:03.077423,3.75123360557091,RBF,1.4658999277654627,0.0003995398104034482,2.5,TPESampler,COMPLETE
26,0.21064476832158646,2025-04-24 20:58:58.236779,2025-04-24 20:59:01.369719,0 days 00:00:03.132940,0.11024082073742311,RBF,2.0691438862358678,0.0007286561782463467,1.5,TPESampler,COMPLETE
27,1.3307518540983219,2025-04-24 20:58:58.698478,2025-04-24 20:59:03.422233,0 days 00:00:04.723755,6317.452648865394,RBF,31.58093510705505,6.285523456013094e-06,1.5,TPESampler,COMPLETE
28,1.3307518540969037,2025-04-24 20:58:59.909235,2025-04-24 20:59:03.542632,0 days 00:00:03.633397,105.02445706497147,RBF,20163.508746266478,0.0006299691541059544,2.5,TPESampler,COMPLETE
29,1.3307518540987464,2025-04-24 20:59:01.582729,2025-04-24 20:59:05.469971,0 days 00:00:03.887242,25582.21488545364,Matern,18466.131340602704,1.56371163482522e-07,2.5,TPESampler,COMPLETE
30,1.3307518540158685,2025-04-24 20:59:03.608683,2025-04-24 20:59:06.365218,0 days 00:00:02.756535,3.953591165684731,Matern,0.06625902763900746,0.008630745202015547,1.5,TPESampler,COMPLETE
31,0.210643350891641,2025-04-24 20:59:03.740809,2025-04-24 20:59:08.807125,0 days 00:00:05.066316,0.0011379111086328884,RBF,5.686181881554488,0.5345032345796087,1.5,TPESampler,COMPLETE
32,0.1726185556289472,2025-04-24 20:59:05.670578,2025-04-24 20:59:08.869697,0 days 00:00:03.199119,75019.85230649747,Matern,3.7320503977199078,0.00012216501679879676,1.5,TPESampler,COMPLETE
33,0.21064485368919467,2025-04-24 20:59:06.570860,2025-04-24 20:59:09.304797,0 days 00:00:02.733937,0.49693183491170934,RBF,1.2093193569692444,0.003088137187395775,0.5,TPESampler,COMPLETE
34,0.17261953745393088,2025-04-24 20:59:08.935055,2025-04-24 20:59:14.278678,0 days 00:00:05.343623,46216.93219560671,Matern,0.9395083912134118,3.0095075341820164e-05,1.5,TPESampler,COMPLETE
