number,value,datetime_start,datetime_complete,duration,params_final_dropout,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
0,0.12057562917470932,2025-04-25 22:49:59.124784,2025-04-25 22:50:18.292029,0 days 00:00:19.167245,0.07481617822531574,256,272,512.0,,3,0.0004385098605073526,0.6,checkpoints/mlp_Vc_trial_0_best_state.pt,"{'learning_rate': 0.0004385098605073526, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
1,0.06629805266857147,2025-04-25 22:49:59.139246,2025-04-25 22:50:19.614259,0 days 00:00:20.475013,0.08741536933324628,32,400,,,2,0.0008340885037168283,0.6,checkpoints/mlp_Vc_trial_1_best_state.pt,"{'learning_rate': 0.0008340885037168283, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
2,0.08271025121212006,2025-04-25 22:49:59.202310,2025-04-25 22:50:10.754304,0 days 00:00:11.551994,0.12226669807858459,112,432,272.0,,3,0.0022073170869805593,0.6,checkpoints/mlp_Vc_trial_2_best_state.pt,"{'learning_rate': 0.0022073170869805593, 'lr_reduce': 0.6}",RandomSampler,COMPLETE
3,0.08273555338382721,2025-04-25 22:50:11.267077,2025-04-25 22:50:22.684358,0 days 00:00:11.417281,0.035407953432984404,192,304,176.0,,3,0.002350944409962089,0.6,checkpoints/mlp_Vc_trial_3_best_state.pt,"{'learning_rate': 0.002350944409962089, 'lr_reduce': 0.6}",GPSampler,COMPLETE
4,0.16869081556797028,2025-04-25 22:50:18.583762,2025-04-25 22:50:28.508031,0 days 00:00:09.924269,0.21527275069113253,176,64,336.0,160.0,4,0.0013115162834250694,0.6,checkpoints/mlp_Vc_trial_4_best_state.pt,"{'learning_rate': 0.0013115162834250694, 'lr_reduce': 0.6}",GPSampler,COMPLETE
5,0.12184783816337585,2025-04-25 22:50:19.875465,2025-04-25 22:50:35.748267,0 days 00:00:15.872802,0.05490925939416878,432,448,,,2,0.0011061651409488829,0.6,checkpoints/mlp_Vc_trial_5_best_state.pt,"{'learning_rate': 0.0011061651409488829, 'lr_reduce': 0.6}",TPESampler,COMPLETE
6,0.10044354200363159,2025-04-25 22:50:22.974846,2025-04-25 22:50:42.126149,0 days 00:00:19.151303,0.27213695734316495,112,368,368.0,,3,0.0049479162241410305,0.6,checkpoints/mlp_Vc_trial_6_best_state.pt,"{'learning_rate': 0.0049479162241410305, 'lr_reduce': 0.6}",TPESampler,COMPLETE
7,0.13187448680400848,2025-04-25 22:50:28.823018,2025-04-25 22:50:55.239886,0 days 00:00:26.416868,0.0021090872650404214,208,96,,,2,0.0008200499507762736,0.6,checkpoints/mlp_Vc_trial_7_best_state.pt,"{'learning_rate': 0.0008200499507762736, 'lr_reduce': 0.6}",TPESampler,COMPLETE
8,0.15495668351650238,2025-04-25 22:50:36.041715,2025-04-25 22:51:10.701722,0 days 00:00:34.660007,0.01905875399088741,304,48,144.0,,3,0.00019156248098442223,0.6,checkpoints/mlp_Vc_trial_8_best_state.pt,"{'learning_rate': 0.00019156248098442223, 'lr_reduce': 0.6}",TPESampler,COMPLETE
9,0.17157578468322754,2025-04-25 22:50:42.551333,2025-04-25 22:52:01.709576,0 days 00:01:19.158243,0.22226461903395436,160,192,,,2,0.00010437657388871746,0.6,checkpoints/mlp_Vc_trial_9_best_state.pt,"{'learning_rate': 0.00010437657388871746, 'lr_reduce': 0.6}",TPESampler,COMPLETE
