number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
0,1.3054537155835242,2025-04-24 21:33:55.536884,2025-04-24 21:33:57.651243,0 days 00:00:02.114359,True,squared_error,35,sqrt,13,2,626,RandomSampler,COMPLETE
1,1.3024592888596749,2025-04-24 21:33:55.552566,2025-04-24 21:33:56.566906,0 days 00:00:01.014340,False,squared_error,40,log2,6,3,319,RandomSampler,COMPLETE
2,1.1823314338130184,2025-04-24 21:33:55.613193,2025-04-24 21:33:56.970487,0 days 00:00:01.357294,True,absolute_error,38,sqrt,4,2,122,RandomSampler,COMPLETE
3,1.2753128250056536,2025-04-24 21:33:56.754385,2025-04-24 21:33:58.375609,0 days 00:00:01.621224,True,squared_error,6,log2,2,14,485,TPESampler,COMPLETE
4,0.616946988934491,2025-04-24 21:33:57.156640,2025-04-24 21:34:26.138956,0 days 00:00:28.982316,True,absolute_error,32,,3,32,971,TPESampler,COMPLETE
5,0.7660775310243318,2025-04-24 21:33:58.105312,2025-04-24 21:34:03.797512,0 days 00:00:05.692200,False,absolute_error,31,sqrt,1,14,248,TPESampler,COMPLETE
6,0.9837913054152824,2025-04-24 21:33:58.632466,2025-04-24 21:33:59.549130,0 days 00:00:00.916664,True,squared_error,25,sqrt,3,2,372,TPESampler,COMPLETE
7,0.9644052883931774,2025-04-24 21:33:59.705333,2025-04-24 21:34:09.395128,0 days 00:00:09.689795,True,absolute_error,25,log2,1,2,966,TPESampler,COMPLETE
8,0.43959725470757366,2025-04-24 21:34:03.957637,2025-04-24 21:34:07.415008,0 days 00:00:03.457371,True,squared_error,16,,4,2,912,TPESampler,COMPLETE
9,1.2154379728069364,2025-04-24 21:34:07.572435,2025-04-24 21:34:11.150053,0 days 00:00:03.577618,True,absolute_error,22,sqrt,4,2,777,TPESampler,COMPLETE
10,1.102041811148199,2025-04-24 21:34:09.551437,2025-04-24 21:34:10.634334,0 days 00:00:01.082897,False,squared_error,10,sqrt,5,3,651,TPESampler,COMPLETE
11,1.2777852866396249,2025-04-24 21:34:10.791319,2025-04-24 21:34:12.543591,0 days 00:00:01.752272,True,squared_error,27,sqrt,10,46,806,TPESampler,COMPLETE
12,0.40843025748123385,2025-04-24 21:34:11.496686,2025-04-24 21:34:15.177604,0 days 00:00:03.680918,True,squared_error,35,,2,7,787,TPESampler,COMPLETE
