number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
0,1.4140017443720314,2025-04-24 20:59:24.526329,2025-04-24 20:59:25.093427,0 days 00:00:00.567098,0.002665006551442968,0.003174415662479116,0.0002768052408637356,poly,RandomSampler,COMPLETE
1,1.4140516612424432,2025-04-24 20:59:24.539473,2025-04-24 20:59:25.019969,0 days 00:00:00.480496,0.003464924382317082,0.0257926057157229,0.0001655155909368738,poly,RandomSampler,COMPLETE
2,1.0979112794183887,2025-04-24 20:59:24.606916,2025-04-24 20:59:25.155806,0 days 00:00:00.548890,0.6813824003032415,0.6756195957603794,0.00024855004959330515,sigmoid,RandomSampler,COMPLETE
3,0.6638995408102485,2025-04-24 20:59:25.192949,2025-04-24 20:59:27.211406,0 days 00:00:02.018457,72.64701541972542,0.19435689006209084,0.29926888946607794,poly,TPESampler,COMPLETE
4,0.6038972119386444,2025-04-24 20:59:25.260948,2025-04-24 20:59:25.850089,0 days 00:00:00.589141,11.93899631547964,0.3188058869869686,0.10013793474714362,rbf,TPESampler,COMPLETE
5,1.35900884766877,2025-04-24 20:59:25.395095,2025-04-24 20:59:25.895243,0 days 00:00:00.500148,0.04956254694106734,0.5717256677786202,0.8393709098200345,rbf,TPESampler,COMPLETE
6,0.7562037575202837,2025-04-24 20:59:25.964950,2025-04-24 20:59:26.657135,0 days 00:00:00.692185,0.17665145967007334,0.0864720317752256,0.006593603670979703,poly,TPESampler,COMPLETE
7,1.3660773679053422,2025-04-24 20:59:26.013827,2025-04-24 20:59:26.736061,0 days 00:00:00.722234,0.07961781322474354,0.0016560336813108948,0.0177559431083097,sigmoid,TPESampler,COMPLETE
8,13.062779019719901,2025-04-24 20:59:26.797721,2025-04-24 20:59:27.276915,0 days 00:00:00.479194,0.7503386961291497,0.0994929886421028,0.0369423178569603,sigmoid,TPESampler,COMPLETE
9,4.972931497034285,2025-04-24 20:59:26.863752,2025-04-24 20:59:27.404983,0 days 00:00:00.541231,0.6433945083601664,0.3670421882878561,0.01320637120444505,sigmoid,TPESampler,COMPLETE
10,0.7299191471966792,2025-04-24 20:59:27.360341,2025-04-24 20:59:28.149934,0 days 00:00:00.789593,65.26683351787513,0.01443267273832715,0.3003565086411615,rbf,TPESampler,COMPLETE
11,0.40823486349294485,2025-04-24 20:59:27.440931,2025-04-24 20:59:28.130849,0 days 00:00:00.689918,15.120054200867049,0.7682656428128096,0.003738478018311723,rbf,TPESampler,COMPLETE
12,0.5331913369256097,2025-04-24 20:59:27.568684,2025-04-24 20:59:28.481878,0 days 00:00:00.913194,33.72990827079923,0.011947041527591616,0.07871413518872392,rbf,TPESampler,COMPLETE
13,0.37830077222766856,2025-04-24 20:59:28.279445,2025-04-24 20:59:28.971038,0 days 00:00:00.691593,47.259047499135924,0.5239106815566232,0.0008365141097201112,rbf,TPESampler,COMPLETE
14,0.38253501619522606,2025-04-24 20:59:28.328113,2025-04-24 20:59:29.114338,0 days 00:00:00.786225,10.378899187556504,0.48973286033981855,0.0012611591415246527,rbf,TPESampler,COMPLETE
15,0.3780047404837218,2025-04-24 20:59:28.836870,2025-04-24 20:59:29.472307,0 days 00:00:00.635437,38.592647785158555,0.10960102246523865,0.00013051062016456225,rbf,TPESampler,COMPLETE
16,0.46190190196748443,2025-04-24 20:59:29.220773,2025-04-24 20:59:29.916572,0 days 00:00:00.695799,7.426492737963885,0.07735994584113257,0.0001342989568565181,rbf,TPESampler,COMPLETE
17,0.4079694280060819,2025-04-24 20:59:29.319802,2025-04-24 20:59:30.060156,0 days 00:00:00.740354,5.673440682819915,0.030157341721843648,0.00037657304140501034,rbf,TPESampler,COMPLETE
18,1.395451411452836,2025-04-24 20:59:29.671077,2025-04-24 20:59:30.513301,0 days 00:00:00.842224,14.385626724997692,0.0028069229064367316,0.00023645770768201206,poly,TPESampler,COMPLETE
19,1.3612456059962148,2025-04-24 20:59:30.184987,2025-04-24 20:59:31.008964,0 days 00:00:00.823977,8.160047966035377,0.5024429778707901,0.000367780881731403,poly,TPESampler,COMPLETE
20,1.4066977483518874,2025-04-24 20:59:30.389678,2025-04-24 20:59:31.223414,0 days 00:00:00.833736,30.23826418521529,0.223157363261537,0.00011603872143982305,poly,TPESampler,COMPLETE
21,0.2525223391681855,2025-04-24 20:59:30.834913,2025-04-24 20:59:33.639655,0 days 00:00:02.804742,74.93781708279712,0.2265388148905807,0.001167468166734954,linear,TPESampler,COMPLETE
22,0.503983808883986,2025-04-24 20:59:31.269201,2025-04-24 20:59:31.909607,0 days 00:00:00.640406,41.42707049054917,0.852674934274234,0.0001551594901367578,rbf,TPESampler,COMPLETE
23,0.33482603814094913,2025-04-24 20:59:31.458071,2025-04-24 20:59:32.054238,0 days 00:00:00.596167,65.07445087996261,0.22679786236047975,0.00025176462080805755,rbf,TPESampler,COMPLETE
24,1.2660584037259857,2025-04-24 20:59:32.102083,2025-04-24 20:59:32.596151,0 days 00:00:00.494068,43.56658348654418,0.39955650993562486,0.0011712043913533422,sigmoid,TPESampler,COMPLETE
25,0.3331493277241657,2025-04-24 20:59:32.290652,2025-04-24 20:59:32.829593,0 days 00:00:00.538941,47.7561052163645,0.1337088604051966,0.000224874985278592,rbf,TPESampler,COMPLETE
26,0.4226245362186158,2025-04-24 20:59:32.785294,2025-04-24 20:59:33.270494,0 days 00:00:00.485200,34.36792757778461,0.034538619024642225,0.00019760984273063992,sigmoid,TPESampler,COMPLETE
27,0.1916098667182807,2025-04-24 20:59:33.073276,2025-04-24 20:59:33.745899,0 days 00:00:00.672623,3.6068784208892932,0.101971751344815,0.0001683128729405052,linear,TPESampler,COMPLETE
